Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Portugal,0.00879936,0.0359818,0.0064778,0.0107055,0.0104103,0.000736371,0.037129331,8.7,79.1,2.571,16.9,1017.8,55.9,9.67071,16.5074,0.0,0.0,54.5294,0.0,2.68971,39.9039,97.12301,26.17811,123.30112,373
2021-01-02,Portugal,0.00964082,0.0359345,0.00661682,0.0107868,0.0114112,0.00079986,0.0392555,8.8,73.4,0.0,16.5,1019.2,93.3,9.72557,18.086,0.0,0.0,51.9304,0.0,2.625,39.7407,94.2961,27.811569999999996,122.10766999999998,555
2021-01-03,Portugal,0.010522,0.0361436,0.00668138,0.0108925,0.0124587,0.000841641,0.041396221,8.2,77.7,0.016,12.1,1019.8,88.4,9.76471,19.7391,0.0,0.0,47.1903,0.0,2.61571,41.8394,91.64541,29.50381,121.14922,601
2021-01-04,Portugal,0.0161463,0.0362542,0.00660098,0.0110546,0.0191325,0.000835897,0.053770277000000005,8.5,80.6,0.1,15.6,1015.0,80.6,9.83114,27.92,0.0,1.41629,37.1789,0.0,2.62129,45.6751,85.47529,39.167429999999996,124.64272,505
2021-01-05,Portugal,0.0189291,0.0364522,0.00665091,0.0115408,0.0224385,0.000836597,0.060395907000000006,6.5,74.9,0.001,19.2,1012.0,119.9,9.821,30.4025,0.0,3.05243,29.885,0.0,2.66757,47.5704,80.12297000000001,43.27593,123.3989,376
2021-01-06,Portugal,0.0224626,0.0366505,0.00661789,0.0121297,0.0266366,0.000817895,0.068664685,5.3,70.3,0.0,25.9,1011.2,117.8,9.70557,33.7355,0.0,5.02186,29.9766,0.0,2.478,48.8534,81.30799999999999,48.46293,129.77093,386
2021-01-07,Portugal,0.0288778,0.0375862,0.00661358,0.0127998,0.0342491,0.000811523,0.08335180299999999,8.0,50.5,0.0,24.8,1010.3,115.7,9.619,42.6081,0.0,6.91143,26.777,0.0,2.46686,50.6656,79.90946,59.13853,139.04799,358
2021-01-08,Portugal,0.0336588,0.0431784,0.0068191,0.0137824,0.0399195,0.000816986,0.09499678600000001,7.2,48.9,0.0,36.1,1007.1,113.6,9.47214,48.6958,0.0,8.63329,30.476,0.0,2.31186,51.0163,83.80416,66.80123,150.60539,431
2021-01-09,Portugal,0.0352574,0.043371,0.00655495,0.0151349,0.0418154,0.000763448,0.09952609800000001,6.4,48.2,0.0,28.7,1006.5,71.5,9.45657,48.7859,0.0,10.3714,36.8813,0.0,2.07957,50.9669,89.92777000000001,68.61386999999999,158.54164,420
2021-01-10,Portugal,0.0361569,0.042523,0.00634743,0.0155514,0.0428822,0.000719085,0.101657015,7.1,58.2,0.0,23.2,1012.9,69.990625,9.51157,47.4254,0.0,12.1929,41.2251,0.0,2.05086,49.2442,92.52016,69.12987,161.65003,441
