Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Austria,0.0498843,0.0541935,0.00214532,0.0396559,0.0391486,4.58053e-05,0.1308799253,-0.7,92.5,0.0,5.9,1010.9,8.8,7.377,35.7891,0.0,0.0,21.0009,0.0,0.687143,62.9275,84.615543,43.1661,127.781643,123
2021-01-02,Austria,0.0532373,0.0551346,0.00225575,0.0402607,0.0404736,4.39891e-05,0.1362713391,2.8,85.3,0.0,8.4,1013.3,21.0,7.34614,38.1947,0.0,0.0,19.2484,0.0,0.688571,60.9554,80.892371,45.540839999999996,126.43321099999999,236
2021-01-03,Austria,0.0584594,0.0548989,0.00233471,0.0403816,0.0434309,4.10951e-05,0.1446477051,4.8,83.4,0.3,11.3,1011.1,20.9,7.319,41.9412,0.0,0.0,18.2304,0.0,0.632714,58.9751,77.838214,49.260200000000005,127.09841399999999,310
2021-01-04,Austria,0.0599273,0.0545362,0.00227006,0.0409174,0.0433297,3.75987e-05,0.1464820587,3.1,85.2,0.999,4.8,1013.6,8.4,7.30429,42.9943,0.0,0.0,13.2146,0.0,0.632429,58.196,72.043029,50.298590000000004,122.34161900000001,252
2021-01-05,Austria,0.0626153,0.0543943,0.00227573,0.0409156,0.0439392,3.21443e-05,0.14977797430000003,4.4,86.0,0.0,7.3,1011.4,9.5,7.28543,44.9228,0.0,0.0,9.18886,0.0,0.591571,57.3729,67.15333100000001,52.20823,119.361561,137
2021-01-06,Austria,0.0635797,0.0535516,0.00222443,0.0418476,0.0433807,3.07517e-05,0.1510631817,2.8,84.2,6.104,9.6,1010.8,29.0,7.28343,45.6147,0.0,0.0,9.01529,0.0,0.563429,58.6706,68.249319,52.89813,121.147449,187
2021-01-07,Austria,0.0645469,0.0542635,0.00230006,0.042005,0.0427984,3.17252e-05,0.1516820852,2.8,75.3,0.102,11.4,1014.6,29.5,7.28757,46.3086,0.0,0.0,9.37786,0.0,0.544857,60.7113,70.634017,53.59617,124.230187,159
2021-01-08,Austria,0.0653257,0.0568382,0.0024132,0.0429234,0.0433148,3.35025e-05,0.1540106025,2.9,71.2,0.0,8.0,1016.2,47.8,7.29214,46.8674,0.0,0.0,9.576,0.0,0.545714,63.2302,73.35191400000001,54.15954000000001,127.51145400000001,273
2021-01-09,Austria,0.0650969,0.0569302,0.00243986,0.0434431,0.0431631,3.77699e-05,0.1541807299,2.4,71.6,0.0,10.7,1021.0,31.5,7.29657,46.7032,0.0,0.0,7.634,0.0,0.572857,64.9407,73.147557,53.999770000000005,127.14732700000002,237
2021-01-10,Austria,0.0656042,0.0563913,0.00235856,0.0439443,0.0434995,3.32047e-05,0.1554397647,0.5,72.8,0.0,6.0,1024.4,35.0,7.29971,47.0671,0.0,0.0,4.69843,0.0,0.597857,65.7492,71.04548700000001,54.36681,125.412297,243
2021-01-11,Austria,0.0658708,0.0572275,0.00229582,0.0457187,0.0436762,3.81049e-05,0.1575996249,-0.8,71.1,0.0,8.7,1023.4,58.3,7.30514,47.2584,0.0,0.0,6.165,0.0,0.680857,64.7073,71.553157,54.56354,126.11669700000002,229
2021-01-12,Austria,0.0667728,0.0579456,0.0022515,0.0475791,0.0442743,3.75213e-05,0.16091522130000002,-1.1,73.7,0.604,11.0,1014.9,30.7,7.33371,47.9055,0.0,0.0,7.41429,0.0,0.683714,64.7038,72.801804,55.23921,128.04101400000002,129
2021-01-13,Austria,0.0678902,0.059271,0.0022295,0.0486132,0.0450152,3.87464e-05,0.16378684640000002,3.3,63.4,0.099,23.4,1012.6,60.1,7.33843,48.7072,0.0,0.0,8.95829,0.0,0.716,62.8376,72.51189,56.04563,128.55752,189
