Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Belgium,0.0382422,0.0569677,0.00712967,0.118348,0.0504686,5.80397e-06,0.21419427397,1.7,92.6,0.782,6.5,1009.7,33.9,30.8341,47.464,0.0,0.0,25.2431,119.212,2.31257,6.59788,34.153549999999996,197.51010000000002,231.66365,216
2021-01-02,Belgium,0.0410209,0.0573974,0.00701288,0.12068,0.0538342,5.62281e-06,0.22255360280999997,2.1,89.8,0.023,7.0,1014.2,16.2,31.2146,50.9129,0.0,0.0,17.854,119.091,2.26229,6.33913,26.45542,201.2185,227.67392,309
2021-01-03,Belgium,0.0423104,0.0572502,0.0069454,0.122281,0.0552919,6.57636e-06,0.22683527636,2.7,86.4,0.0,9.8,1015.4,10.4,31.4226,52.5133,0.0,0.0,14.3091,119.312,2.32114,6.22943,22.85967,203.24790000000002,226.10757000000004,406
2021-01-04,Belgium,0.0452494,0.0586079,0.00691324,0.124277,0.0588083,1.4717e-05,0.23526265700000001,2.0,89.8,0.566,13.3,1015.8,8.0,31.5919,56.161,0.0,0.0,19.0379,119.325,2.10257,5.79625,26.93672,207.0779,234.01461999999998,396
2021-01-05,Belgium,0.0509991,0.0598829,0.00687641,0.128159,0.0659161,1.32361e-05,0.25196384609999994,2.0,87.9,0.014,12.2,1016.5,6.2,31.8984,63.2971,0.0,0.0,21.3698,119.366,1.84157,5.6047,28.816070000000003,214.5615,243.37757,376
2021-01-06,Belgium,0.0506866,0.0610051,0.00687788,0.131816,0.0651712,1.30912e-05,0.2545647712,2.3,90.5,0.183,9.7,1016.8,9.7,32.0816,62.9094,0.0,0.0,20.2868,119.397,1.676,5.38785,27.350649999999998,214.388,241.73865,374
2021-01-07,Belgium,0.0519417,0.0630041,0.00705078,0.135365,0.0665208,1.29421e-05,0.26089122210000004,1.7,92.6,1.018,10.6,1015.1,32.7,32.1473,64.4671,0.0,0.0,23.3779,119.412,1.63714,5.2546,30.26964,216.02640000000002,246.29604,414
2021-01-08,Belgium,0.0539752,0.0684993,0.00732088,0.138884,0.069125,1.32135e-05,0.26931829350000003,1.7,91.2,1.046,9.9,1017.0,19.4,32.4357,66.991,0.0,0.0,23.6298,119.417,1.407,5.47174,30.50854,218.8437,249.35224000000002,424
2021-01-09,Belgium,0.0579257,0.0702644,0.0074518,0.142984,0.0741843,1.32421e-05,0.28255904209999994,-1.2,96.6,0.083,4.3,1024.6,46.3,32.6426,71.8941,0.0,0.0,23.3372,119.58,1.73686,5.77264,30.8467,224.11669999999998,254.96339999999998,305
2021-01-10,Belgium,0.0618935,0.0713081,0.00758391,0.145678,0.0792658,1.28055e-05,0.2944340155,-0.2,94.8,0.001,5.1,1025.6,42.1,32.7893,76.8187,0.0,0.0,20.8051,119.817,2.33286,5.57997,28.71793,229.425,258.14293,343
2021-01-11,Belgium,0.0619634,0.0716746,0.00743448,0.147296,0.0793553,4.57929e-06,0.29605375929,3.0,88.8,0.094,17.7,1020.1,15.3,32.7034,76.9054,0.0,0.0,20.9214,119.795,2.43471,5.47743,28.83354,229.4038,258.23734,312
2021-01-12,Belgium,0.0606189,0.0723311,0.0074933,0.147071,0.0776334,3.87263e-06,0.29282047263000005,5.7,87.4,24.656,17.8,1011.9,24.4,32.5454,75.2367,0.0,0.0,22.8507,119.754,2.72971,5.46319,31.0436,227.5361,258.5797,324
2021-01-13,Belgium,0.0639671,0.0727375,0.0073237,0.145372,0.0819214,3.59066e-06,0.29858779065999996,2.4,91.8,0.092,9.4,1018.4,37.7,32.6377,79.3924,0.0,0.0,23.5174,119.738,3.08486,5.67945,32.28171,231.7681,264.04981,339
2021-01-14,Belgium,0.0674529,0.0731703,0.00733894,0.144764,0.0863856,3.58119e-06,0.30594502119,1.6,91.6,8.343,11.1,1018.3,15.6,32.827,83.7187,0.0,0.0,24.2985,119.725,2.934,6.03011,33.26261,236.27069999999998,269.53331000000003,385
2021-01-15,Belgium,0.0718346,0.073386,0.00733933,0.145698,0.0919971,5.41191e-06,0.31687444190999997,0.5,79.1,0.82,9.8,1027.6,15.1,32.8401,89.157,0.0,0.0,25.0211,119.73,2.81543,5.85564,33.69217,241.7271,275.41927,389
2021-01-16,Belgium,0.0678741,0.0740853,0.00719252,0.146847,0.0869249,4.95419e-06,0.30884347419,0.0,83.2,0.752,12.2,1024.7,16.1,32.5503,84.2414,0.0,0.0,30.2608,119.72,2.366,5.65079,38.277590000000004,236.5117,274.78928999999994,285
2021-01-17,Belgium,0.0659017,0.0743828,0.00706936,0.147952,0.084399,5.04287e-06,0.30532710287000003,3.5,91.3,4.159,10.8,1020.4,36.2,32.508,81.7934,0.0,0.0,33.9256,119.706,2.029,5.94424,41.89884,234.00740000000002,275.90623999999997,280
2021-01-18,Belgium,0.0669621,0.0744462,0.00718967,0.146856,0.085757,5.79285e-06,0.30677056285000004,4.0,89.1,0.239,14.5,1023.7,34.8,32.447,83.1096,0.0,0.0,32.6077,119.719,2.31171,5.96764,40.88705,235.2756,276.16265,323
2021-01-19,Belgium,0.0636229,0.0742004,0.00707971,0.146176,0.0814806,6.16676e-06,0.29836537675999997,5.9,88.6,7.507,27.8,1011.0,12.7,32.3846,78.9651,0.0,0.0,30.5496,119.74,2.082,5.53197,38.16357,231.0897,269.25327,314
2021-01-20,Belgium,0.0583769,0.0740102,0.00701111,0.146024,0.0747622,6.4587e-06,0.2861806687,8.3,68.8,0.992,27.1,998.5,37.4,32.177,72.4541,0.0,0.0,31.821,119.739,2.04714,5.45347,39.32161000000001,224.3701,263.69171,266
2021-01-21,Belgium,0.05384,0.0737215,0.00680972,0.143122,0.0689518,7.19543e-06,0.27273071543,7.7,78.3,8.51,29.1,989.6,35.4,31.936,66.8231,0.0,0.0,35.6139,119.73,2.40871,5.18372,43.20633,218.4891,261.69543,329
2021-01-22,Belgium,0.0512251,0.0735221,0.0068121,0.13867,0.065603,8.15035e-06,0.26231835035,4.3,84.6,5.68,12.3,993.2,58.5,31.805,63.5777,0.0,0.0,37.3789,120.49,3.08386,5.0494,45.51216,215.8727,261.38486,388
2021-01-23,Belgium,0.0485328,0.0732197,0.00704383,0.134182,0.062155,8.85073e-06,0.25192248073,3.4,86.1,0.853,13.3,995.2,31.6,31.877,60.2361,0.0,0.0,35.0836,121.791,3.29857,5.13682,43.518989999999995,213.9041,257.42309,289
2021-01-24,Belgium,0.0450272,0.0744839,0.00694444,0.130813,0.0576654,9.69721e-06,0.24045973721,1.1,88.6,2.886,14.0,998.8,41.5,31.9054,55.8851,0.0,0.0,33.8516,123.13,3.35586,5.00521,42.212669999999996,210.9205,253.13317,274
2021-01-25,Belgium,0.043967,0.074463,0.00707348,0.131344,0.0563076,9.37798e-06,0.23870145797999998,2.1,86.3,1.35,9.3,1005.3,52.9,31.9526,54.5693,0.0,0.0,31.4943,124.611,3.67071,5.11021,40.275220000000004,211.1329,251.40812000000003,360
2021-01-26,Belgium,0.0460714,0.0742279,0.0072189,0.131675,0.0590027,1.08881e-05,0.24397888809999999,2.8,78.5,0.155,14.7,1018.1,63.3,31.9697,57.1811,0.0,0.0,33.3751,127.276,4.46029,5.47867,43.314060000000005,216.42680000000001,259.74086,391
2021-01-27,Belgium,0.0508489,0.0744359,0.00729849,0.133001,0.0651211,1.02051e-05,0.2562796951,3.3,92.9,0.666,15.0,1013.5,13.5,32.0677,63.1107,0.0,0.0,34.1391,130.666,4.12314,5.79014,44.05238,225.8444,269.89678,328
2021-01-28,Belgium,0.0536813,0.0746278,0.00738129,0.135813,0.0687485,9.89502e-06,0.26563398501999996,8.5,93.9,15.233,15.7,1004.1,16.3,32.0721,66.6261,0.0,0.0,30.9513,134.103,3.79271,6.179,40.923010000000005,232.8012,273.72420999999997,381
2021-01-29,Belgium,0.0501269,0.0747625,0.00729431,0.134809,0.0641966,7.45886e-06,0.25643426886,9.1,88.1,12.786,19.1,998.3,33.6,31.8317,62.2147,0.0,0.0,35.79,136.741,3.50871,5.9106,45.20931,230.78740000000002,275.99671,354
2021-01-30,Belgium,0.0512302,0.0740959,0.00720306,0.132199,0.0656095,6.66723e-06,0.25624842722999996,3.1,93.1,10.616,15.7,1000.0,14.1,31.627,63.584,0.0,0.0,40.2567,138.896,3.37571,5.67752,49.30993,234.10699999999997,283.41693000000004,270
2021-01-31,Belgium,0.0527106,0.0720108,0.00730345,0.132348,0.0675054,7.18269e-06,0.25987463269,0.7,89.7,3.763,13.1,999.5,32.0,31.2984,65.4214,0.0,0.0,41.6579,141.06,3.66586,5.654,50.97776,237.77980000000002,288.75756,271
2021-02-01,Belgium,0.0539893,0.0719003,0.00715246,0.132562,0.0731548,6.10109e-06,0.26686466109,3.5,95.4,2.681,8.0,994.8,17.4,31.0919,67.0084,0.0,0.0,38.2152,143.032,3.10971,5.59326,46.91817,241.1323,288.05046999999996,319
2021-02-02,Belgium,0.0516944,0.072051,0.00710286,0.131649,0.0729094,1.42048e-05,0.26336986479999996,7.7,91.8,5.159,15.3,999.9,26.9,30.9167,64.1601,0.0,0.0,38.3995,143.763,2.523,5.50355,46.426050000000004,238.8398,285.26585,339
2021-02-03,Belgium,0.048203,0.0720603,0.00708939,0.127805,0.0712114,1.45384e-05,0.2543233284,9.6,86.3,14.315,18.0,997.9,39.7,30.5226,59.8269,0.0,0.0,40.554,143.759,2.75029,5.7156,49.019890000000004,234.1085,283.12839,329
2021-02-04,Belgium,0.0494015,0.0718366,0.00721711,0.123169,0.0768311,1.64738e-05,0.2566351838,7.5,84.9,0.388,12.7,1011.9,53.2,30.1649,61.3143,0.0,0.0,38.7295,143.742,3.52186,5.38557,47.63693000000001,235.2212,282.85812999999996,401
2021-02-05,Belgium,0.0514554,0.0716623,0.00735742,0.122201,0.082371,1.85961e-05,0.26340341609999995,8.0,85.1,0.091,10.2,1011.2,61.5,30.2286,63.8636,0.0,0.0,31.1742,143.748,3.643,5.28307,40.10027,237.84019999999998,277.94046999999995,406
2021-02-06,Belgium,0.0508266,0.0720371,0.00712623,0.121715,0.0835548,1.88396e-05,0.2632414696,5.5,91.5,5.695,12.6,1006.7,24.7,30.3497,63.0831,0.0,0.0,27.7183,143.734,3.79329,5.57023,37.08182,237.16680000000002,274.24862,266
2021-02-07,Belgium,0.0500796,0.0741211,0.00710433,0.119475,0.0845775,1.67193e-05,0.2612531493,-1.7,91.5,6.88,13.4,997.9,8.7,30.665,62.156,0.0,0.0,30.5896,143.728,3.09629,5.31679,39.00268,236.549,275.55168000000003,255
2021-02-08,Belgium,0.0478217,0.0753928,0.00719591,0.121511,0.0807641,1.68132e-05,0.2573095232,-5.2,86.9,0.634,15.1,1000.1,9.3,30.6061,59.3536,0.0,0.0,37.1496,143.76,2.90814,5.37089,45.428630000000005,233.7197,279.14832999999993,311
2021-02-09,Belgium,0.0513446,0.0761778,0.00703545,0.129097,0.0867138,8.32259e-06,0.27419917259,-6.0,75.3,0.463,13.5,1006.6,100.2,30.0259,63.726,0.0,0.0,36.9713,143.818,2.97714,5.38452,45.33296,237.56990000000002,282.90286000000003,278
2021-02-10,Belgium,0.0558433,0.0760913,0.00717144,0.139876,0.0943115,9.05756e-06,0.29721129756000003,-5.7,77.4,0.087,14.7,1010.0,57.0,29.7107,69.3096,0.0,0.0,34.6064,143.889,3.09743,4.93122,42.63505000000001,242.90930000000003,285.54435,361
2021-02-11,Belgium,0.0528685,0.0761371,0.00725113,0.152407,0.0892874,9.01416e-06,0.30182304416,-5.0,75.9,0.002,6.9,1027.2,107.3,29.4046,65.6174,0.0,0.0,34.3641,143.941,3.081,5.21778,42.66288,238.96300000000002,281.62588,406
2021-02-12,Belgium,0.0563643,0.0762293,0.00717754,0.163851,0.0951914,1.00735e-05,0.32259431349999995,-5.6,71.3,0.0,16.5,1029.6,100.4,28.9099,69.9562,0.0,0.0,41.5834,144.026,3.63271,5.96202,51.17813,242.8921,294.07023,395
2021-02-13,Belgium,0.0586917,0.0763345,0.00730243,0.176915,0.099122,1.41849e-05,0.34204531489999995,-4.0,57.8,0.0,14.9,1036.9,98.7,28.5281,72.8448,0.0,0.0,45.9623,144.055,4.68771,5.84263,56.49264,245.42790000000002,301.92053999999996,271
2021-02-14,Belgium,0.0591614,0.0747558,0.00727382,0.186663,0.0999153,1.6703e-05,0.353030223,-0.2,42.7,0.0,18.2,1033.9,94.9,28.3247,73.4278,0.0,0.0,44.8111,144.032,5.99214,6.21623,57.019470000000005,245.7845,302.80397,254
2021-02-15,Belgium,0.0587271,0.0730871,0.00692594,0.187918,0.0991819,1.79512e-05,0.35277089119999994,4.1,74.8,2.665,21.1,1024.6,23.2,28.4451,72.8888,0.0,0.0,45.6438,144.034,6.27529,6.32435,58.24344,245.3679,303.61134,299
2021-02-16,Belgium,0.0562685,0.0718109,0.00704441,0.182448,0.0950295,1.85799e-05,0.34080898989999997,8.8,76.9,0.937,18.5,1015.9,85.6,29.0277,69.8372,0.0,0.0,48.3979,144.027,7.16286,6.34727,61.908030000000004,242.89189999999996,304.79993,298
2021-02-17,Belgium,0.0514904,0.0715027,0.00670009,0.171746,0.08696,2.06595e-05,0.3169171495,9.4,78.7,1.949,19.3,1016.4,61.6,29.2771,63.9069,0.0,0.0,53.0576,144.024,7.76043,6.15585,66.97388,237.208,304.18188,322
2021-02-18,Belgium,0.0491015,0.0711121,0.00651186,0.159011,0.0829255,1.95944e-05,0.2975694544,8.2,78.4,3.341,21.9,1010.1,39.7,29.6333,60.942,0.0,0.0,57.9329,144.033,7.45971,5.91896,71.31156999999999,234.60829999999999,305.91987,355
2021-02-19,Belgium,0.0438946,0.0707779,0.00643791,0.147994,0.0741317,2.00792e-05,0.2724782892,7.1,81.9,0.079,16.2,1015.8,83.7,30.0567,54.4794,0.0,0.0,57.6844,144.027,7.54871,5.50722,70.74033,228.5631,299.30343,403
2021-02-20,Belgium,0.0403567,0.0701966,0.00632978,0.135311,0.0681568,2.08909e-05,0.2501751709,12.4,66.5,0.0,21.6,1010.1,101.2,30.0569,50.0884,0.0,0.0,57.5163,144.033,8.02357,5.91975,71.45962,224.17829999999998,295.63792,253
2021-02-21,Belgium,0.0392075,0.0709663,0.00624162,0.120138,0.066216,2.27863e-05,0.23182590629999997,12.7,58.5,0.0,16.3,1012.5,115.5,29.6454,48.6621,0.0,0.0,57.2516,144.059,8.82114,5.94375,72.01649,222.3665,294.38299000000006,308
2021-02-22,Belgium,0.038065,0.0712636,0.00646192,0.107012,0.0642865,2.35713e-05,0.2158489913,13.2,51.5,0.0,16.3,1018.0,73.5,29.2571,47.2441,0.0,0.0,54.7692,144.061,9.61071,5.75432,70.13423,220.56220000000002,290.69643,352
2021-02-23,Belgium,0.0358369,0.0717111,0.00649325,0.0964119,0.0605235,2.46775e-05,0.1992902275,14.6,64.3,0.0,19.0,1028.2,112.2,28.7083,44.4787,0.0,0.0,53.6686,144.078,10.0714,5.74811,69.48810999999999,217.26500000000001,286.75311,367
2021-02-24,Belgium,0.0341236,0.0721491,0.0065925,0.0891317,0.05763,2.43212e-05,0.18750212119999998,14.6,64.8,0.0,18.2,1028.6,130.8,28.2994,42.3523,0.0,0.0,52.4016,144.06,11.2836,6.08758,69.77278,214.7117,284.48447999999996,327
2021-02-25,Belgium,0.0361317,0.0726324,0.00656569,0.0826597,0.0610213,3.47664e-05,0.1864131564,12.6,72.7,2.034,11.4,1027.0,89.0,28.2379,44.8446,0.0,0.0,47.8429,144.035,12.1209,6.07384,66.03764,217.1175,283.15514,385
2021-02-26,Belgium,0.036852,0.0733132,0.00665318,0.0764934,0.0622378,3.26819e-05,0.1822690619,7.8,74.0,1.653,11.6,1035.2,121.6,28.0953,45.7386,0.0,0.0,40.4937,144.031,12.91,5.97354,59.37724,217.8649,277.24214000000006,383
2021-02-27,Belgium,0.0379348,0.0734029,0.00672594,0.0734724,0.0640666,2.95826e-05,0.1822293226,3.6,88.9,0.173,7.3,1040.4,51.8,28.3989,47.0826,0.0,0.0,32.7874,143.991,12.3094,5.29609,50.39289,219.47250000000003,269.86539,276
2021-02-28,Belgium,0.0379114,0.0734029,0.00690227,0.077193,0.064027,2.8065e-05,0.18606173499999998,5.9,79.2,0.002,12.9,1036.4,136.7,28.4796,47.0534,0.0,0.0,29.1964,143.912,12.6574,5.44971,47.30351,219.445,266.74851,281
2021-03-01,Belgium,0.0404252,0.073642,0.00701453,0.0808594,0.0687246,2.82853e-05,0.1970520153,5.7,81.6,0.0,11.1,1032.2,113.8,28.8531,50.1734,0.0,0.0,26.112,143.688,13.6199,5.33295,45.06484999999999,222.7145,267.77934999999997,335
2021-03-02,Belgium,0.0451631,0.0738447,0.00702708,0.0853469,0.077267,2.75177e-05,0.21483159770000002,8.7,67.2,0.0,8.2,1029.7,143.8,29.3154,56.0539,0.0,0.0,19.1479,143.418,14.3996,5.37493,38.92243,228.78730000000002,267.70973000000004,316
2021-03-03,Belgium,0.0519528,0.073812,0.0069639,0.0892247,0.0893499,2.63419e-05,0.23751764190000002,10.8,68.9,0.088,7.3,1027.9,124.1,29.9024,64.4809,0.0,0.0,11.5514,143.367,14.068,5.33395,30.95335,237.75029999999998,268.70365,256
2021-03-04,Belgium,0.0535986,0.0739756,0.00691002,0.0928518,0.0925704,1.49813e-05,0.2459458013,5.7,93.0,11.163,8.8,1022.4,11.6,30.0461,66.5235,0.0,0.0,9.60179,143.325,12.7943,5.53182,27.92791,239.89459999999997,267.82250999999997,341
2021-03-05,Belgium,0.0571613,0.0738841,0.00693441,0.0991913,0.0991029,1.57326e-05,0.2624056426,3.2,60.2,0.848,13.6,1028.7,160.3,30.157,70.9454,0.0,0.0,12.8792,143.255,13.4319,5.53313,31.844230000000003,244.35739999999998,276.20163,373
2021-03-06,Belgium,0.0571253,0.0741225,0.00690289,0.103908,0.0992923,1.51891e-05,0.26724367909999996,2.1,59.7,0.0,9.9,1033.0,162.3,29.9753,70.9006,0.0,0.0,13.7414,143.225,14.9774,5.83569,34.55449,244.1009,278.65539,251
2021-03-07,Belgium,0.0579136,0.0730738,0.00674193,0.105757,0.100886,1.37538e-05,0.27131228380000005,2.1,69.9,0.0,10.3,1026.5,119.3,29.9774,71.8791,0.0,0.0,11.6266,143.243,14.8854,5.41871,31.93071,245.09949999999998,277.03020999999995,245
2021-03-08,Belgium,0.0598412,0.0729537,0.00663827,0.108822,0.104244,1.35208e-05,0.2795589908,4.5,61.3,0.0,5.8,1023.7,141.8,29.7711,74.2715,0.0,0.0,9.74043,143.403,15.2634,5.55455,30.55838,247.4456,278.00398,286
2021-03-09,Belgium,0.0573811,0.0729347,0.00657131,0.109591,0.0999583,1.16474e-05,0.2735133574,5.4,86.1,0.621,9.5,1020.0,40.6,29.7433,71.2181,0.0,0.0,10.015,143.659,13.367,5.31761,28.69961,244.62040000000002,273.32001,332
2021-03-10,Belgium,0.0532866,0.0728662,0.00672611,0.113237,0.0928257,1.19755e-05,0.2660873855,6.5,75.2,1.015,18.8,1015.5,72.2,29.3447,66.1363,0.0,0.0,17.0726,143.708,12.5269,5.33686,34.93636,239.18900000000002,274.12536000000006,339
2021-03-11,Belgium,0.0487125,0.0725212,0.00681062,0.117261,0.0848576,1.15278e-05,0.2576532478,9.5,70.2,0.97,32.8,1000.9,100.9,28.8297,60.4592,0.0,0.0,23.4325,143.679,14.0301,5.34264,42.805240000000005,232.9679,275.77314,334
2021-03-12,Belgium,0.0428734,0.0723842,0.00675905,0.115677,0.0746859,9.1007e-06,0.24000445069999998,6.9,74.4,0.105,25.8,1006.6,67.8,28.7763,53.2121,0.0,0.0,27.0629,143.644,12.1834,5.60943,44.855729999999994,225.63240000000002,270.48812999999996,347
2021-03-13,Belgium,0.0412583,0.0722656,0.00677871,0.114862,0.0718724,7.85609e-06,0.23477926609000002,7.3,71.7,6.081,27.6,998.2,108.3,28.4281,51.2075,0.0,0.0,31.8132,143.654,10.9573,5.48585,48.25635,223.2896,271.54595,216
2021-03-14,Belgium,0.0396893,0.0725362,0.00679565,0.113301,0.069139,7.0895e-06,0.22893203950000002,5.8,77.1,3.243,15.2,1011.0,71.5,28.4127,49.2601,0.0,0.0,34.3114,143.631,10.042,5.74516,50.09856,221.3038,271.40236,249
2021-03-15,Belgium,0.03438,0.0727133,0.006808,0.111617,0.0598902,6.45484e-06,0.21270165484,6.4,80.8,3.268,17.7,1016.6,96.1,28.5959,42.6705,0.0,0.0,40.3271,143.657,9.36743,5.71218,55.406710000000004,214.92340000000002,270.33011,306
2021-03-16,Belgium,0.0358352,0.0728679,0.00684617,0.1113,0.0624252,8.41149e-06,0.21641498149000002,5.3,88.7,3.974,8.4,1025.0,47.6,28.6976,44.4766,0.0,0.0,41.1332,143.673,9.42914,6.17124,56.73358,216.8472,273.58078000000006,369
2021-03-17,Belgium,0.038149,0.0729222,0.00687971,0.111224,0.066456,7.73763e-06,0.22271644763000004,5.6,86.0,3.227,14.2,1027.1,52.5,29.1521,47.3484,0.0,0.0,40.3184,143.71,9.22629,5.97954,55.524229999999996,220.21050000000002,275.73473,356
2021-03-18,Belgium,0.0398279,0.0729338,0.00690535,0.11206,0.0693806,9.20891e-06,0.22818305891000001,4.8,81.4,0.145,8.5,1025.3,57.5,29.859,49.4321,0.0,0.0,35.2363,143.814,8.54043,5.60703,49.38376,223.1051,272.48886000000005,390
2021-03-19,Belgium,0.042876,0.0729321,0.00703936,0.114886,0.0746904,1.16632e-05,0.2395034232,5.0,65.7,0.238,16.6,1024.7,185.5,29.9279,53.2153,0.0,0.0,32.4453,143.907,10.8216,5.67947,48.94637000000001,227.05020000000002,275.99656999999996,416
