Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Croatia,0.00846429,0.0133553,0.000241846,0.0123647,0.0102045,4.98988e-05,0.031325234800000004,3.6,85.6,3.895,5.0,1011.8,34.3,2.90743,7.79786,0.0,3.532,7.74207,0.0,0.0601429,22.4792,30.2814129,14.23729,44.518702899999994,38
2021-01-02,Croatia,0.00841371,0.0136241,0.000258295,0.0121516,0.0100127,5.1053e-05,0.030887358,6.2,81.7,1.117,8.4,1012.3,11.7,2.87643,7.764,0.0,3.50329,7.15664,0.0,0.0581429,22.8339,30.0486829,14.14372,44.192402900000005,41
2021-01-03,Croatia,0.0084364,0.0136662,0.00025155,0.0117916,0.00990496,5.14319e-05,0.0304359419,5.7,93.4,8.324,4.4,1011.6,9.5,2.84657,7.71086,0.0,3.557,6.61879,0.0,0.0617143,22.7297,29.4102043,14.11443,43.5246343,58
2021-01-04,Croatia,0.00851925,0.0137624,0.000256483,0.011405,0.00985653,5.08386e-05,0.0300881016,5.7,91.8,2.729,4.4,1011.9,14.7,2.838,7.69657,0.0,3.64571,5.5125,0.0,0.0644286,23.7197,29.2966286,14.18028,43.4769086,69
2021-01-05,Croatia,0.00857471,0.0137878,0.000271654,0.0111504,0.00976499,5.16382e-05,0.0298133922,5.3,89.5,0.873,7.1,1011.0,20.4,2.84429,7.60686,0.0,3.753,4.97679,0.0,0.0615714,24.5731,29.6114614,14.20415,43.815611399999995,59
2021-01-06,Croatia,0.00848974,0.0134992,0.000270005,0.011068,0.0095164,4.99778e-05,0.029394122800000002,4.3,91.1,4.454,6.3,1010.6,14.8,2.86714,7.34086,0.0,3.82971,4.79093,0.0,0.063,24.6206,29.47453,14.03771,43.51224,50
2021-01-07,Croatia,0.00839354,0.0137941,0.000278166,0.0109433,0.00925342,5.38351e-05,0.028922261099999996,2.5,88.4,0.195,5.9,1014.9,29.5,2.89443,7.345,0.0,3.73414,4.65564,0.0,0.0691429,24.5168,29.2415829,13.973569999999999,43.2151529,56
2021-01-08,Croatia,0.0083512,0.0147683,0.000319433,0.010941,0.00920675,5.68386e-05,0.028875221599999997,2.3,88.4,0.032,6.1,1015.3,7.5,2.91186,7.33429,0.0,3.69957,4.64779,0.0,0.0614286,24.2017,28.9109186,13.94572,42.8566386,72
2021-01-09,Croatia,0.00844848,0.014934,0.000322054,0.0111919,0.00931399,5.50449e-05,0.0293314689,1.9,78.0,1.459,7.8,1020.9,16.6,2.946,7.38114,0.0,3.76571,5.74243,0.0,0.0631429,23.7309,29.5364729,14.09285,43.6293229,32
2021-01-10,Croatia,0.00842104,0.01499,0.000333759,0.0114593,0.00928374,5.59367e-05,0.029553775699999996,0.9,82.8,0.039,8.1,1022.2,8.5,2.99871,7.42086,0.0,3.71543,6.37657,0.0,0.0587143,23.515,29.9502843,14.135,44.0852843,68
