Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Cyprus,0.00688738,0.00444993,0.000813914,0.00361739,0.00318553,2.16545e-06,0.014506379449999997,12.5,76.3,0.0,5.1,1020.7,82.7,0.0,0.0,10.6196,0.0,0.498643,0.0,0.0,0.0,0.498643,10.6196,11.118243,21
2021-01-02,Cyprus,0.00737547,0.0045395,0.000807449,0.00339727,0.00330306,2.2384e-06,0.014885487400000001,12.6,77.4,0.0,2.9,1022.7,60.5,0.0,0.0,10.7218,0.0,0.454929,0.0,0.0,0.0,0.454929,10.7218,11.176729,59
2021-01-03,Cyprus,0.00749949,0.00455352,0.000848322,0.00322419,0.00326214,1.84371e-06,0.01483598571,13.0,74.7,0.0,3.9,1022.6,87.3,0.0,0.0,10.7341,0.0,0.438071,0.0,0.0,0.0,0.438071,10.7341,11.172171,69
2021-01-04,Cyprus,0.00790644,0.00458559,0.000864566,0.00305013,0.00331963,1.87548e-06,0.015142641480000002,13.4,74.4,0.0,4.6,1021.1,78.5,0.0,0.0,10.8009,0.0,0.342857,0.0,0.0,0.0,0.342857,10.8009,11.143757,76
2021-01-05,Cyprus,0.00836333,0.00459407,0.000853347,0.0029272,0.00338887,1.60476e-06,0.015534351759999999,11.8,75.0,0.0,5.0,1021.5,72.0,0.0,0.0,10.7914,0.0,0.381,0.0,0.0,0.0,0.381,10.7914,11.1724,53
2021-01-06,Cyprus,0.00876996,0.00449789,0.000863401,0.0027927,0.0034348,1.42871e-06,0.01586228971,11.9,75.6,0.0,4.8,1024.4,76.2,0.0,0.0,10.6701,0.0,0.368286,0.0,0.0,0.0,0.368286,10.6701,11.038386,66
2021-01-07,Cyprus,0.00935111,0.00459614,0.000899629,0.00264089,0.00354841,1.10553e-06,0.01644114453,12.9,73.0,0.0,4.3,1023.8,92.1,0.0,0.0,10.6348,0.0,0.385357,0.0,0.0,0.0,0.385357,10.6348,11.020157000000001,49
2021-01-08,Cyprus,0.0099028,0.00492076,0.000976874,0.00259466,0.00375776,1.19208e-06,0.01723328608,11.9,75.8,0.0,4.8,1023.0,87.4,0.0,0.0,10.7399,0.0,0.420071,0.0,0.0,0.0,0.420071,10.7399,11.159971,61
2021-01-09,Cyprus,0.0102103,0.00497598,0.000944669,0.00260372,0.00387443,1.43178e-06,0.01763455078,12.8,74.1,0.0,3.8,1022.2,97.7,0.0,0.0,10.6917,0.0,0.404857,0.0,0.0,0.0,0.404857,10.6917,11.096557,57
2021-01-10,Cyprus,0.0105433,0.00499463,0.000932048,0.00262801,0.00400081,1.04885e-06,0.01810521685,12.8,70.7,0.0,1.0,1024.2,92.2,0.0,0.0,10.7451,0.0,0.325929,0.0,0.0,0.0,0.325929,10.7451,11.071029000000001,60
2021-01-11,Cyprus,0.0105555,0.00502457,0.000853804,0.00264786,0.00400543,1.07076e-06,0.01806366476,13.3,71.3,0.0,1.4,1025.9,76.0,0.0,0.0,10.7413,0.0,0.282643,0.0,0.0,0.0,0.282643,10.7413,11.023943000000001,47
2021-01-12,Cyprus,0.0105016,0.00507516,0.000809852,0.00251002,0.00398499,1.27797e-06,0.01780773997,14.6,79.5,0.0,8.5,1022.9,80.8,0.0,0.0,10.62,0.0,0.336929,0.0,0.0,0.0,0.336929,10.62,10.956928999999999,55
2021-01-13,Cyprus,0.0104376,0.0052161,0.00075931,0.0023766,0.00396071,1.25898e-06,0.017535478979999998,15.4,80.6,0.812,12.3,1010.2,47.6,0.0,0.0,10.6587,0.0,0.366893,0.0,0.0,0.0,0.366893,10.6587,11.025592999999999,52
2021-01-14,Cyprus,0.010392,0.00524181,0.000747598,0.00265538,0.00394341,1.06696e-06,0.01773945496,12.1,70.2,0.09,9.2,1007.7,49.1,0.0,0.0,10.7057,0.0,0.511857,0.0,0.0,0.0,0.511857,10.7057,11.217557,44
2021-01-15,Cyprus,0.0104637,0.00525136,0.000718841,0.00281457,0.00397059,1.22047e-06,0.01796892147,11.9,65.5,0.89,6.6,1013.5,106.8,0.0,0.0,10.5974,0.0,0.565964,0.0,0.0,0.0,0.565964,10.5974,11.163364,48
2021-01-16,Cyprus,0.0103532,0.00528648,0.000619004,0.00309066,0.00392867,8.97542e-07,0.017992431542,10.7,86.4,13.339,4.7,1010.6,55.0,0.0,0.0,10.6594,0.0,0.760475,0.0,0.0,0.0,0.760475,10.6594,11.419875,33
2021-01-17,Cyprus,0.0103926,0.00533025,0.000586564,0.00342161,0.00394361,8.94938e-07,0.018345278937999997,10.4,80.2,2.467,12.4,1007.6,70.3,0.0,0.0,10.6945,0.0,0.865179,0.0,0.0,0.0,0.865179,10.6945,11.559679,64
2021-01-18,Cyprus,0.0105971,0.00533303,0.000565281,0.00393829,0.00402121,8.62873e-07,0.019122743873,9.7,72.1,2.453,11.5,1015.2,102.2,0.0,0.0,10.8198,0.0,1.00696,0.0,0.0,0.0,1.00696,10.8198,11.82676,46
2021-01-19,Cyprus,0.0105842,0.00532107,0.00058007,0.00469532,0.00401632,4.42152e-07,0.019876352152,8.9,88.8,29.49,3.1,1014.2,82.8,0.0,0.0,11.2178,0.0,1.01925,0.0,0.0,0.0,1.01925,11.2178,12.23705,45
2021-01-20,Cyprus,0.0103907,0.00531173,0.000533933,0.0056192,0.00394289,5.17622e-07,0.020487240622,6.8,63.2,2.122,11.8,1021.5,108.4,0.0,0.0,11.5179,0.0,1.02881,0.0,0.0,0.0,1.02881,11.5179,12.54671,45
2021-01-21,Cyprus,0.00987954,0.00530161,0.000529362,0.00603812,0.00374894,9.09567e-07,0.020196871566999997,6.2,69.6,0.0,3.0,1032.1,110.9,0.0,0.0,11.8685,0.0,0.879914,0.0,0.0,0.0,0.879914,11.8685,12.748413999999999,48
2021-01-22,Cyprus,0.00946417,0.00529143,0.000537404,0.00644143,0.00359132,8.97025e-07,0.020035221024999994,6.6,73.8,0.0,4.2,1030.7,105.2,0.0,0.0,12.3211,0.0,0.830379,0.0,0.0,0.0,0.830379,12.3211,13.151479,52
