Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Czech Republic,0.119558,0.0334318,0.00112618,0.0642248,0.0374623,4.49247e-05,0.2224162047,-0.3,84.5,0.001,4.9,1009.5,28.4,15.538,9.39921,0.214786,85.2777,1.97214,83.2426,2.12886,5.515,9.616,193.672296,203.28829599999997,54
2021-01-02,Czech Republic,0.125686,0.0344884,0.00103337,0.0650613,0.0384869,4.26577e-05,0.23031022769999998,-1.1,93.2,0.0,4.3,1014.4,8.5,15.6243,10.4432,0.205643,89.329,1.84856,83.1853,1.98429,5.78843,9.62128,198.787443,208.40872299999998,90
2021-01-03,Czech Republic,0.130171,0.0352859,0.00102688,0.0659426,0.0390958,3.9108e-05,0.23627538800000003,2.2,96.5,1.907,7.2,1011.1,5.0,15.7057,10.4538,0.198357,92.7443,1.76571,83.0877,1.56214,5.89543,9.223279999999999,202.18985700000002,211.413137,122
2021-01-04,Czech Republic,0.136462,0.036782,0.00101858,0.0665028,0.0400529,3.5476e-05,0.244071756,2.7,96.9,1.28,4.7,1013.9,9.8,15.823,11.145,0.200214,97.1214,1.24943,83.0707,1.48629,5.80579,8.541509999999999,207.36031400000002,215.901824,108
2021-01-05,Czech Republic,0.141353,0.0379323,0.000970181,0.0671316,0.0405686,2.66684e-05,0.2500500494,1.8,93.5,2.683,7.7,1012.9,8.4,15.955,11.6903,0.187643,100.531,0.921429,83.1,1.12843,5.71479,7.764649,211.463943,219.228592,98
2021-01-06,Czech Republic,0.146336,0.0392449,0.000900672,0.067903,0.0410785,2.15964e-05,0.2562397684,0.6,92.5,5.389,6.1,1011.6,11.8,16.09,12.1507,0.188857,104.051,0.796857,83.1196,0.900571,5.72993,7.427358,215.60015700000002,223.02751500000002,80
2021-01-07,Czech Republic,0.152867,0.0409661,0.000931874,0.0685919,0.0420081,1.79534e-05,0.2644168274,0.2,91.2,1.005,9.9,1013.2,3.2,16.2243,14.1908,0.158286,107.83,0.719143,83.1471,0.503143,5.8715,7.093786,221.550486,228.644272,92
2021-01-08,Czech Republic,0.158823,0.0451521,0.000978665,0.0698605,0.0436449,2.24893e-05,0.27332955429999994,0.0,84.2,0.136,14.4,1014.3,33.8,16.3359,15.3949,0.152857,111.652,0.670571,83.1561,0.428571,6.17164,7.2707820000000005,226.691757,233.962539,116
2021-01-09,Czech Republic,0.160048,0.0457247,0.00097842,0.0716083,0.0439814,2.62341e-05,0.27664235410000004,0.3,84.7,0.189,7.0,1020.6,48.3,16.4007,14.9321,0.162714,112.853,0.623714,83.211,0.436857,6.0135,7.074071,227.55951399999998,234.63358499999998,84
2021-01-10,Czech Republic,0.162068,0.0455858,0.000924776,0.0727711,0.0445366,2.90183e-05,0.2803294943,0.0,87.3,0.002,4.9,1024.5,17.0,16.4626,14.9841,0.165714,114.359,0.515143,83.3154,0.584857,6.07607,7.176069999999999,229.286814,236.46288399999995,97
2021-01-11,Czech Republic,0.162343,0.0457706,0.000877056,0.0737318,0.044612,3.36406e-05,0.28159749659999994,-2.1,85.1,7.434,9.4,1022.7,49.9,16.4949,14.6974,0.176821,114.73,0.640286,83.4091,0.860429,6.05393,7.554645000000001,229.508221,237.062866,108
2021-01-12,Czech Republic,0.163089,0.046465,0.000861059,0.0740259,0.044817,3.18322e-05,0.28282479120000004,-0.4,78.9,8.099,18.4,1010.4,12.8,16.516,14.6796,0.183536,115.304,0.81,83.4819,0.885286,6.14021,7.835496,230.165036,238.000532,87
2021-01-13,Czech Republic,0.162966,0.0467458,0.000882484,0.0740853,0.0447832,3.29706e-05,0.2827499546,1.0,72.4,7.434,23.0,1011.0,36.4,16.5247,14.0831,0.194964,115.557,1.0625,83.4936,0.994,6.13521,8.19171,229.853364,238.045074,98
2021-01-14,Czech Republic,0.162223,0.0474355,0.000893415,0.0742377,0.0445791,3.54401e-05,0.2819686551,0.0,77.1,1.36,17.7,1013.2,22.5,16.4764,13.2681,0.203679,115.472,1.37093,83.5066,1.09514,6.2725,8.73857,228.926779,237.665349,101
2021-01-15,Czech Republic,0.163319,0.0478075,0.000906958,0.0741272,0.0448801,3.52088e-05,0.2832684668,-0.6,82.4,15.686,12.4,1021.7,23.0,16.4976,13.8026,0.227679,115.968,1.46907,83.515,1.07843,6.28093,8.82843,230.010879,238.839309,111
2021-01-16,Czech Republic,0.165709,0.0494254,0.00093846,0.0744096,0.045537,3.18047e-05,0.2866258647,-4.0,76.0,0.539,14.0,1024.1,31.3,16.5163,15.1326,0.224107,116.996,1.71893,83.5323,1.13557,6.23093,9.085429999999999,232.40130700000003,241.48673700000003,79
2021-01-17,Czech Republic,0.169198,0.0503775,0.000885982,0.0745177,0.0464958,3.06526e-05,0.2911281346,-3.5,74.6,0.0,6.5,1020.5,28.6,16.54,16.4393,0.22725,118.871,1.7995,83.5383,1.12914,6.15936,9.088000000000001,235.61584999999997,244.70385,85
2021-01-18,Czech Republic,0.169593,0.0509112,0.000887235,0.0744219,0.0466044,2.62632e-05,0.29153279819999994,-1.3,79.6,0.201,11.8,1022.0,29.1,16.5221,16.3752,0.230071,119.208,1.90036,83.5231,0.929714,6.1215,8.951574,235.858471,244.810045,75
2021-01-19,Czech Republic,0.171343,0.0508351,0.000853497,0.0745804,0.0470854,2.87277e-05,0.2938910247,2.2,78.5,0.176,22.3,1015.2,30.4,16.4713,17.6525,0.224357,119.782,2.17071,83.4837,0.979429,6.03936,9.189499000000001,237.613857,246.803356,82
