Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Denmark,0.0280286,0.0281042,0.0017607,0.0218501,0.0155976,8.06664e-05,0.0673176664,2.8,92.2,8.126,10.1,1005.6,5.0,19.3247,8.778,0.997,15.5859,32.896,0.0,0.151571,0.0,33.047571,44.6856,77.73317100000001,90
2021-01-02,Denmark,0.030906,0.0285332,0.00184074,0.0221703,0.0162517,7.92577e-05,0.07124799770000001,1.1,92.6,0.098,6.5,1014.1,13.2,20.0824,10.024,1.02486,17.0389,26.305,0.0,0.201857,0.0,26.506857,48.17016,74.677017,206
2021-01-03,Denmark,0.0323706,0.0286195,0.0019523,0.0225064,0.0164786,7.79722e-05,0.0733858722,1.8,86.6,0.078,20.6,1023.2,18.3,20.902,10.5961,1.08529,17.7789,22.0516,0.0,0.251286,0.0,22.302886,50.36229,72.665176,293
2021-01-04,Denmark,0.0331482,0.0289666,0.00199086,0.0227336,0.0160564,7.93847e-05,0.0740084447,0.5,81.9,0.004,25.2,1024.7,17.2,21.4336,10.5409,1.09471,18.4043,25.5109,0.0,0.283286,0.0,25.794186,51.47351,77.267696,268
2021-01-05,Denmark,0.032891,0.0293604,0.00193887,0.0229878,0.0149161,7.89224e-05,0.0728126924,1.6,78.0,0.0,24.0,1023.7,12.4,22.3513,10.4647,1.07014,18.2709,33.1523,0.0,0.310286,0.0,33.462585999999995,52.15704000000001,85.61962600000001,206
2021-01-06,Denmark,0.0351758,0.0296411,0.00183594,0.0232909,0.0151,7.81431e-05,0.0754807831,1.3,90.1,3.502,26.2,1015.0,4.3,23.1397,11.0693,1.05929,19.6807,39.6841,0.0,0.306571,0.0,39.990671,54.94899,94.93966100000002,203
2021-01-07,Denmark,0.0383168,0.0301934,0.00198807,0.0235659,0.0155122,8.94831e-05,0.07947245309999999,1.2,93.6,4.229,17.8,1010.0,11.8,23.2612,11.7207,1.08229,21.6962,41.1817,0.0,0.3,0.0,41.4817,57.76039,99.24209,209
2021-01-08,Denmark,0.0409134,0.0310344,0.00208887,0.0240018,0.0165634,9.90979e-05,0.0836665679,1.4,93.0,2.797,15.3,1011.9,6.2,22.6914,12.1757,1.09771,23.4151,43.5784,0.0,0.287571,0.0,43.865971,59.379909999999995,103.245881,204
2021-01-09,Denmark,0.0431098,0.0313839,0.00200196,0.0246023,0.0174526,9.78561e-05,0.0872645161,1.4,87.3,0.005,11.8,1020.6,22.0,21.8953,12.4379,1.10586,24.9463,44.2931,0.0,0.280429,0.0,44.573529,60.38536,104.958889,141
2021-01-10,Denmark,0.0457173,0.0314962,0.00194453,0.0250018,0.0185083,9.33199e-05,0.09126524990000001,1.1,90.5,1.259,16.8,1018.9,11.9,20.7677,13.2601,1.12714,26.4496,44.615,0.0,0.276429,0.0,44.891429,61.60454,106.49596899999999,216
2021-01-11,Denmark,0.0457794,0.0316122,0.00192393,0.0253318,0.0185334,9.16363e-05,0.09166016630000001,3.3,94.7,3.65,26.0,1007.8,5.6,19.2346,13.1351,1.12686,26.5724,47.8953,0.0,0.250571,0.0,48.145871,60.068960000000004,108.21483099999999,246
2021-01-12,Denmark,0.04633,0.0318055,0.00193292,0.0254329,0.0187563,9.22953e-05,0.0925444153,1.9,90.4,3.143,18.9,997.3,20.1,18.1391,13.1115,1.14771,26.9947,47.0076,0.0,0.338857,0.0,47.346456999999994,59.39301,106.739467,191
2021-01-13,Denmark,0.0448418,0.0320942,0.00196818,0.0254533,0.0181538,9.13485e-05,0.0905084285,1.7,90.1,2.451,23.8,999.0,10.2,17.6787,12.4438,1.15143,26.2427,48.2881,0.0,0.365571,0.0,48.653671,57.51663,106.17030100000001,179
2021-01-14,Denmark,0.0443105,0.0322807,0.00197807,0.0255056,0.0179387,9.29747e-05,0.0898258447,0.6,80.5,0.006,24.6,1018.2,28.0,18.0115,12.3051,1.16043,25.9086,48.7189,0.0,0.391571,0.0,49.110471,57.385630000000006,106.49610100000001,194
2021-01-15,Denmark,0.0420391,0.0323021,0.00197436,0.0254677,0.0170192,9.32352e-05,0.0865935952,-3.0,75.4,0.0,17.4,1025.5,27.6,17.7306,11.4009,1.18071,24.6806,47.7469,0.0,0.423571,0.0,48.170471,54.99281,103.163281,197
2021-01-16,Denmark,0.0417779,0.0325252,0.00197606,0.0255647,0.0169134,9.40841e-05,0.0863261441,-3.6,83.0,0.0,10.8,1022.8,26.0,18.7689,11.3603,1.18721,24.4983,47.8036,0.0,0.466143,0.0,48.269743000000005,55.81471,104.08445300000001,109
2021-01-17,Denmark,0.0428261,0.0326942,0.00193104,0.0256018,0.0173378,9.28595e-05,0.08778959950000001,-2.1,88.1,0.009,5.2,1019.9,14.0,20.7756,11.6033,1.1775,25.1694,44.508,0.0,0.507286,0.0,45.015286,58.72580000000001,103.741086,146
2021-01-18,Denmark,0.0445677,0.0327529,0.00183823,0.0255689,0.0180429,8.9322e-05,0.090107052,0.5,90.6,1.438,14.3,1015.2,7.7,22.4263,12.4314,1.18836,26.0094,37.0263,0.0,0.515857,0.0,37.542156999999996,62.055460000000004,99.597617,181
2021-01-19,Denmark,0.0443184,0.0326793,0.00181989,0.0256234,0.0179419,8.44006e-05,0.0897879906,2.5,97.3,2.997,14.0,1003.8,6.2,23.7367,12.5136,1.16093,25.7897,32.3236,0.0,0.415429,0.0,32.739029,63.20093,95.939959,149
2021-01-20,Denmark,0.0433801,0.0322767,0.00181062,0.0254129,0.0175621,8.21487e-05,0.0882478687,5.1,96.0,13.536,19.2,995.3,4.5,23.5806,12.3401,1.14307,25.1837,33.423,0.0,0.388857,0.0,33.811857,62.24747,96.059327,193
2021-01-21,Denmark,0.0394544,0.0319648,0.00178652,0.0249492,0.0159728,7.76344e-05,0.0822405544,5.6,80.3,1.109,29.3,989.3,19.0,22.8569,11.1777,1.0865,22.8949,42.7863,0.0,0.475714,0.0,43.262014,58.016,101.278014,168
2021-01-22,Denmark,0.0372108,0.031835,0.00184441,0.0244172,0.0150645,7.28092e-05,0.0786097192,4.8,84.9,4.927,32.3,985.2,17.0,22.9612,10.5444,1.01007,21.6031,53.756,0.0,0.529571,0.0,54.285571,56.11877,110.404341,188
2021-01-23,Denmark,0.0354674,0.0315542,0.00183098,0.0237955,0.0143587,7.00617e-05,0.0755226417,2.7,93.5,0.0,12.9,995.2,17.1,21.9369,9.82086,0.963143,20.7279,57.2243,0.0,0.517286,0.0,57.741586,53.448803,111.190389,97
2021-01-24,Denmark,0.0343433,0.0312927,0.0017346,0.0233448,0.0139036,6.72625e-05,0.0733935625,2.0,93.7,0.005,5.6,996.2,18.1,21.0556,9.43957,0.962571,20.089,54.4804,0.0,0.509286,0.0,54.989686000000006,51.546741,106.536427,128
2021-01-25,Denmark,0.0348712,0.0311605,0.00182979,0.0231844,0.0141173,6.80437e-05,0.0740707337,1.2,95.8,1.398,9.5,999.7,12.2,20.8111,9.21286,0.963143,20.6313,50.7931,0.0,0.600286,0.0,51.393386,51.618403,103.01178900000001,175
2021-01-26,Denmark,0.036246,0.0311329,0.00186011,0.0231598,0.0146739,6.9504e-05,0.076009314,0.5,88.4,0.004,11.9,1008.8,21.4,20.1251,9.27629,0.996,21.6279,49.0763,0.0,0.772143,0.0,49.848443,52.02529,101.873733,146
