Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Estonia,0.0125974,0.00670701,0.000167259,0.0115404,0.0014911,1.22409e-05,0.025808399899999994,0.5,96.0,0.0,8.0,1011.4,2.5,2.16071,0.0642857,4.42629,0.870857,2.03529,0.0,0.0112857,0.024,2.0705757,7.5221427,9.592718399999999,22
2021-01-02,Estonia,0.0138556,0.00667525,0.000185319,0.0115327,0.00156765,1.21406e-05,0.027153409599999997,0.8,89.3,1.079,11.5,1012.7,3.6,2.16514,0.0642857,5.08043,0.793571,2.04329,0.0,0.0124286,0.024,2.0797185999999996,8.1034267,10.183145299999998,38
2021-01-03,Estonia,0.0149998,0.00683134,0.000203771,0.0114491,0.0016424,1.18359e-05,0.0283069069,-1.0,89.7,6.749,11.1,1020.4,1.2,2.17871,0.0642857,5.61386,0.772,1.89457,0.0,0.0131429,0.024,1.9317129000000002,8.6288557,10.5605686,38
2021-01-04,Estonia,0.0165306,0.00685465,0.000227274,0.0112885,0.00172819,1.12417e-05,0.0297858057,-0.8,91.9,1.188,4.0,1026.6,1.3,2.206,0.0644286,6.17657,0.862714,1.60729,0.0,0.0125714,0.024,1.6438614,9.309712600000001,10.953574000000001,54
2021-01-05,Estonia,0.0177838,0.00688896,0.000240709,0.0114646,0.00177371,1.06773e-05,0.031273496299999995,-1.4,86.7,0.0,9.9,1028.7,1.9,2.23529,0.0627143,6.59786,0.969286,1.20857,0.0,0.0128571,0.024,1.2454271,9.8651503,11.110577399999999,49
2021-01-06,Estonia,0.0183188,0.00689283,0.00025086,0.0116737,0.00173301,1.12727e-05,0.0319876427,-1.4,85.1,0.0,15.2,1023.7,1.8,2.28729,0.0604286,6.74543,1.04129,0.868429,0.0,0.00857143,0.024,0.9010004300000001,10.1344386,11.03543903,43
2021-01-07,Estonia,0.0198834,0.00694783,0.000271976,0.0119544,0.00178298,1.10459e-05,0.033903801899999995,-2.0,92.2,0.597,19.5,1016.5,2.0,2.29486,0.0604286,7.34629,1.11371,0.980857,0.0,0.00742857,0.024,1.01228557,10.815288599999999,11.827574169999998,51
2021-01-08,Estonia,0.0243432,0.00716088,0.000301045,0.012395,0.00218289,1.1763e-05,0.039233897999999996,-3.4,88.5,0.0,15.2,1016.1,11.0,2.33943,0.0635714,9.21286,1.19629,1.08914,0.0,0.006,0.024,1.11914,12.8121514,13.9312914,54
2021-01-09,Estonia,0.0261423,0.00715022,0.000289379,0.0130461,0.00234422,1.23053e-05,0.0418343043,-4.3,84.9,0.0,9.0,1019.4,3.9,2.37386,0.0635714,9.92557,1.26229,1.07286,0.0,0.00671429,0.024,1.1035742899999998,13.6252914,14.72886569,33
2021-01-10,Estonia,0.0274476,0.00705083,0.000265328,0.0137847,0.00246127,1.18298e-05,0.0439707278,-4.3,87.4,1.105,10.6,1017.1,6.1,2.38986,0.0635714,10.4346,1.31657,1.22971,0.0,0.00642857,0.024,1.26013857,14.2046014,15.46473997,31
2021-01-11,Estonia,0.0280079,0.00706563,0.000253909,0.0144091,0.00251151,1.17381e-05,0.0451941571,-2.0,92.4,1.064,16.8,1011.1,10.5,2.40043,0.0634286,10.7157,1.29029,1.57171,0.0,0.00671429,0.024,1.6024242899999999,14.4698486,16.072272890000004,51
