Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Finland,0.0395379,0.027633,0.00146761,0.015056,0.0228576,0.000239182,0.079158292,2.1,92.6,0.001,8.6,1012.0,1.6,20.9866,13.9284,0.0158571,18.5494,22.1023,66.6703,0.0,41.0393,63.1416,120.15055709999999,183.2921571,74
2021-01-02,Finland,0.0405889,0.0285959,0.00144964,0.0167061,0.0219467,0.000251621,0.080942961,0.0,91.7,3.736,14.7,1013.6,2.5,21.0364,14.9159,0.0158571,18.674,21.863,66.6781,0.0,40.27,62.133,121.32025709999999,183.4532571,118
2021-01-03,Finland,0.042749,0.0295425,0.00140453,0.018391,0.0217823,0.000247783,0.084574613,-2.6,92.8,2.064,13.6,1021.0,0.9,21.4766,16.0142,0.0138571,19.4881,18.2491,66.6841,0.0,40.6404,58.8895,123.6768571,182.5663571,129
2021-01-04,Finland,0.0457111,0.0299267,0.00134771,0.0200166,0.0217077,0.000257644,0.089040754,-1.3,91.5,0.0,13.1,1028.6,1.3,22.3776,17.0452,0.0147143,20.8856,13.3379,66.6907,0.0,40.8817,54.2196,127.0138143,181.23341430000002,153
2021-01-05,Finland,0.0475542,0.0300155,0.00137823,0.0218057,0.0208111,0.00026735,0.09181658,-2.6,91.2,0.0,12.8,1030.8,0.3,23.2067,17.5654,0.0177857,21.8256,10.3273,66.8537,0.0,40.8056,51.1329,129.4691857,180.6020857,122
2021-01-06,Finland,0.0498875,0.0293913,0.00135331,0.0236439,0.0201,0.000267835,0.095252545,-2.9,88.9,0.0,14.6,1026.1,0.7,23.8986,17.9896,0.0175,23.1589,8.23414,66.912,0.0,40.3589,48.59304,131.97660000000002,180.56964,123
2021-01-07,Finland,0.0526014,0.029809,0.00137219,0.0254631,0.0194937,0.000275912,0.09920630200000001,-0.8,87.2,0.617,18.1,1018.6,1.5,24.551,18.2863,0.0160714,24.8281,6.33671,66.9174,0.0,40.5063,46.84301000000001,134.5988714,181.4418814,151
2021-01-08,Finland,0.0559418,0.0308673,0.00152969,0.025934,0.0207316,0.000285514,0.104422604,-2.5,87.7,0.0,16.3,1018.4,1.8,25.101,18.7498,0.0126429,26.8253,6.657,67.1011,0.0,40.7237,47.380700000000004,137.7898429,185.1705429,146
2021-01-09,Finland,0.0594831,0.0307709,0.00163372,0.0265829,0.022044,0.000271854,0.11001557399999999,-6.3,82.2,0.0,12.0,1021.6,7.0,25.4827,19.1056,0.0113571,29.0217,6.70914,67.0994,0.0,40.9866,47.69574,140.72075710000001,188.41649710000002,118
2021-01-10,Finland,0.063099,0.0305254,0.00165511,0.0270145,0.023384,0.000265811,0.11541842100000001,-4.6,89.0,2.625,13.7,1017.7,1.5,25.5421,19.6403,0.0129286,31.1597,9.171,67.1009,0.0,40.9066,50.0776,143.4559286,193.53352859999998,134
2021-01-11,Finland,0.0649227,0.0307834,0.00162501,0.0273711,0.0240598,0.000264317,0.11824292699999998,0.1,93.0,3.03,20.7,1011.4,3.2,25.2923,19.8404,0.0132143,32.28,13.3251,67.1051,0.0,40.5967,53.9218,144.53101429999998,198.4528143,167
2021-01-12,Finland,0.0663315,0.0314709,0.00164506,0.0274803,0.0245819,0.000257156,0.120295916,-0.7,94.6,14.677,29.4,1004.3,1.8,24.9414,19.7894,0.0134286,33.2683,19.88,67.1016,0.0,40.5746,60.4546,145.11412860000002,205.56872860000001,118
2021-01-13,Finland,0.0678802,0.032823,0.00176723,0.0275024,0.0251559,0.000267226,0.12257295599999998,-4.1,91.5,7.555,27.2,1011.4,2.3,25.1329,19.7019,0.0148571,34.3726,25.1897,67.0951,0.0,40.8004,65.9901,146.3173571,212.3074571,169
2021-01-14,Finland,0.0700727,0.0331721,0.00178581,0.0275589,0.0259684,0.000279752,0.12566556199999998,-13.5,82.7,0.259,17.6,1020.0,7.5,25.5064,19.6768,0.0175714,35.8763,25.0991,67.0966,0.0,41.1919,66.291,148.1736714,214.4646714,164
2021-01-15,Finland,0.0724147,0.0334948,0.00168103,0.027518,0.0268363,0.000287438,0.128737468,-18.6,77.7,0.093,13.2,1020.7,13.4,25.8743,19.585,0.0205,37.5213,25.419,67.0956,0.0,42.0426,67.4616,150.0967,217.55829999999997,160
2021-01-16,Finland,0.0735059,0.0341564,0.00163947,0.0276228,0.0272407,0.000282488,0.130291358,-15.5,84.0,0.41,9.5,1019.9,31.3,25.9276,19.4252,0.0186429,38.3603,25.3393,67.105,0.0,42.5136,67.8529,150.8367429,218.68964290000002,113
2021-01-17,Finland,0.0740279,0.034584,0.00165423,0.0276629,0.0274342,0.000287003,0.131066233,-12.1,90.0,0.0,8.8,1019.1,11.5,25.8887,19.403,0.0190714,38.7281,22.0336,67.111,0.0,42.9733,65.0069,151.1498714,216.15677140000003,128
2021-01-18,Finland,0.0753245,0.0347747,0.00169668,0.0276273,0.0279147,0.000296846,0.132860026,-6.7,93.5,2.696,6.5,1015.2,4.0,26.0179,19.427,0.0196429,39.595,18.8616,67.1159,0.0,43.5377,62.3993,152.1754429,214.5747429,181
2021-01-19,Finland,0.0759516,0.0345805,0.00167763,0.0276862,0.028147,0.000298581,0.13376101099999999,0.0,93.2,1.691,15.7,1011.4,3.4,25.8956,19.5939,0.0194286,39.9219,12.3576,67.129,0.0,43.8056,56.163199999999996,152.5598286,208.72302860000002,131
2021-01-20,Finland,0.0759937,0.0343323,0.00164382,0.0274587,0.0281627,0.000296411,0.133555331,-3.5,82.0,0.176,16.0,1010.0,13.1,25.4779,19.5934,0.0198571,39.9504,9.43143,67.147,0.0,44.0276,53.45903,152.18855710000003,205.6475871,166
2021-01-21,Finland,0.0732277,0.0343863,0.00166185,0.0269578,0.0271376,0.000292713,0.12927766300000001,-4.3,91.2,9.215,25.4,1001.0,3.7,25.0133,19.3491,0.017,38.2179,14.6986,67.1547,0.0,43.5507,58.2493,149.752,208.00130000000001,158
2021-01-22,Finland,0.0691389,0.0343017,0.00178258,0.026383,0.0256223,0.000292278,0.12321905800000002,1.5,94.9,2.63,16.0,993.5,5.7,24.5883,19.0727,0.0164286,35.6031,20.2701,67.0819,0.0,42.5971,62.8672,146.3624286,209.2296286,164
2021-01-23,Finland,0.0655097,0.033802,0.00179357,0.0257112,0.0242774,0.000292226,0.11758409600000001,2.8,88.7,0.005,20.1,995.6,5.7,23.9787,18.8938,0.0171429,33.2417,25.8309,67.0867,0.0,41.9756,67.8065,143.2180429,211.02454289999997,112
2021-01-24,Finland,0.0635664,0.0333264,0.0018245,0.0252241,0.0235572,0.00028508,0.11445728,1.9,95.3,1.45,14.4,996.4,3.2,23.5704,18.9211,0.0171429,31.904,25.5866,67.0916,0.0,42.135,67.7216,141.5042429,209.2258429,117
2021-01-25,Finland,0.0622607,0.0331282,0.00183495,0.0250509,0.0230733,0.000276968,0.11249681800000001,1.1,94.4,7.068,15.9,996.2,2.8,23.3513,18.9436,0.0163571,31.0033,25.8954,67.094,0.0,42.6126,68.508,140.4085571,208.91655709999998,173
2021-01-26,Finland,0.0616329,0.0327561,0.00182187,0.0250243,0.0228407,0.000279147,0.11159891699999998,0.9,93.2,3.771,11.4,1000.2,9.1,23.174,18.9983,0.0165714,30.5436,26.4514,67.0939,0.0,43.025,69.4764,139.8263714,209.3027714,147
2021-01-27,Finland,0.0612424,0.0325695,0.00185535,0.0253085,0.0226959,0.000282998,0.11138514800000002,0.5,98.5,2.188,9.0,998.8,2.4,23.0053,19.1119,0.0167143,30.21,24.811,67.0956,0.0,43.734,68.545,139.43951429999998,207.98451430000003,180
2021-01-28,Finland,0.0628791,0.0321696,0.00180441,0.0256144,0.0233025,0.000286004,0.113886414,-3.2,91.3,0.424,9.9,1003.1,4.8,22.9786,19.3735,0.0218571,31.1626,19.1174,67.093,0.0,44.7337,63.8511,140.6295571,204.4806571,171
2021-01-29,Finland,0.0658074,0.0321391,0.00185747,0.0256758,0.0243877,0.000290981,0.118019351,-3.7,90.9,2.134,15.0,996.1,8.8,23.0393,19.7021,0.0263571,32.9539,14.0883,67.1753,0.0,45.769,59.857299999999995,142.89695709999998,202.7542571,187
2021-01-30,Finland,0.0684706,0.03264,0.00186098,0.0255473,0.0253747,0.000297081,0.121550661,-5.8,88.9,4.472,18.5,987.2,7.9,23.3881,19.9949,0.0300714,34.5869,10.4894,67.1777,0.0,46.6851,57.174499999999995,145.1776714,202.3521714,112
2021-01-31,Finland,0.0695854,0.0329619,0.00188293,0.025594,0.0257878,0.000300397,0.123150527,-6.7,90.5,2.026,11.0,990.1,13.8,23.7861,20.0176,0.0306429,35.3309,10.1474,67.1799,0.0,46.6883,56.835699999999996,146.3451429,203.18084290000002,132
2021-02-01,Finland,0.0712943,0.0330109,0.00185518,0.0252161,0.0266624,0.000308488,0.125336468,-7.5,91.7,0.0,8.2,998.4,9.5,24.2009,19.9945,0.0317143,36.5059,8.59729,67.1801,0.0,46.6037,55.200990000000004,147.9131143,203.1141043,179
2021-02-02,Finland,0.073005,0.0333285,0.00188238,0.0258185,0.0275407,0.000311318,0.128557898,-4.2,87.9,0.594,10.0,1006.8,4.6,24.6594,19.9667,0.0317143,37.6857,8.21557,67.1764,0.0,46.4319,54.64747,149.51991429999998,204.16738429999998,154
2021-02-03,Finland,0.0742985,0.0335471,0.00181435,0.0259775,0.0282612,0.00031249,0.13066404,-6.7,86.6,3.771,15.6,1003.0,36.4,25.0417,19.933,0.0312857,38.5857,10.1201,67.1757,0.0,46.2547,56.3748,150.7673857,207.14218570000003,174
2021-02-04,Finland,0.0755641,0.0336796,0.00190521,0.0260873,0.0289791,0.000314259,0.132849969,-13.0,82.0,0.0,15.8,1011.5,66.0,25.267,19.8892,0.0308571,39.4729,13.1433,67.1816,0.0,46.4639,59.607200000000006,151.8415571,211.4487571,155
2021-02-05,Finland,0.0767359,0.0336728,0.00185062,0.0264965,0.0296636,0.000312087,0.13505870699999997,-14.6,80.4,0.0,13.9,1019.9,70.8,25.3567,19.9312,0.0295,40.2456,16.2994,67.1836,0.0,46.5324,62.8318,152.7466,215.5784,176
2021-02-06,Finland,0.0774052,0.0333346,0.00193317,0.0269709,0.0301406,0.000306551,0.13675642099999996,-13.2,83.2,0.0,11.4,1024.3,24.5,25.4149,19.9838,0.0302143,40.6687,17.3969,67.1823,0.0,46.441,63.837900000000005,153.2799143,217.1178143,114
2021-02-07,Finland,0.0780928,0.0330361,0.00184914,0.0274537,0.0306116,0.000304218,0.138311458,-8.5,85.4,0.0,13.9,1022.8,15.0,25.334,19.961,0.0265,41.1529,21.0564,67.1814,0.0,46.2157,67.2721,153.6558,220.9279,116
2021-02-08,Finland,0.0781984,0.0328671,0.00182967,0.0289041,0.030653,0.000297097,0.139882267,-7.3,80.8,0.0,10.1,1023.7,14.3,25.3537,19.9584,0.0273571,41.2256,22.3764,67.1726,0.0,45.996,68.3724,153.7376571,222.11005710000003,163
2021-02-09,Finland,0.0783638,0.032653,0.00182389,0.0297065,0.0307179,0.000299184,0.140911274,-11.4,89.1,0.0,10.4,1021.6,19.0,25.856,19.9448,0.0275714,41.346,22.4886,67.1734,0.0,46.434,68.9226,154.3477714,223.27037140000002,157
2021-02-10,Finland,0.0788457,0.0323824,0.00188814,0.0309662,0.0309067,0.00029513,0.14290187000000001,-14.2,88.4,0.0,10.2,1020.4,34.6,26.3047,19.9337,0.0273571,41.6804,20.6834,67.1724,0.0,46.6496,67.333,155.11855709999998,222.45155709999997,177
2021-02-11,Finland,0.0788961,0.0322551,0.00178457,0.0325302,0.0309265,0.000288175,0.144425545,-17.3,84.2,0.0,11.6,1023.8,57.8,26.6717,19.9244,0.0247857,41.7223,17.2439,67.078,0.0,46.6053,63.849199999999996,155.4211857,219.2703857,159
2021-02-13,Finland,0.077618,0.032117,0.00163905,0.035968,0.0304255,0.000291231,0.14594178100000002,-5.4,90.3,0.0,12.0,1024.7,10.8,27.0514,19.8093,0.0199351,40.9259,14.9367,67.0617,0.0,46.654,61.590700000000005,154.8682351,216.4589351,106
