Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,France,0.0741432,0.27559,0.0233161,0.377238,0.0978793,0.0035323,0.5761089,1.7,80.3,0.014,7.0,1010.7,35.7,14.4543,96.6854,4.35386,0.229429,104.027,1156.66,11.5687,196.575,312.1707,1272.3829890000002,1584.553689,1143
2021-01-02,France,0.0819731,0.276954,0.0235124,0.384741,0.105987,0.00348475,0.59969825,1.6,84.6,0.014,5.1,1014.8,39.2,14.4729,107.42,4.45629,0.223857,91.7304,1167.43,10.5819,198.656,300.9683,1294.0030470000002,1594.971347,1759
2021-01-03,France,0.0888639,0.275026,0.0239758,0.391619,0.112989,0.00351439,0.62096209,3.1,83.3,0.011,8.5,1014.1,25.8,14.4593,115.468,4.55571,1.04757,79.2364,1189.39,11.4967,197.18,287.9131,1324.9205800000002,1612.8336800000002,2123
2021-01-04,France,0.100093,0.276364,0.024008,0.399722,0.124536,0.00348208,0.6518410800000001,2.9,82.1,0.179,13.0,1013.6,9.1,14.4969,127.148,4.68286,2.74629,61.1766,1203.21,11.4861,193.879,266.5417,1352.28405,1618.82575,1857
2021-01-05,France,0.110489,0.278768,0.0240675,0.412504,0.134661,0.00338797,0.68510947,2.9,82.9,0.007,13.0,1014.7,8.0,14.5399,137.544,4.77879,4.47023,53.7716,1209.78,11.0554,200.517,265.344,1371.11292,1636.45692,1599
2021-01-06,France,0.121835,0.280709,0.0236576,0.4256,0.145952,0.0032403,0.7202848999999999,3.3,83.8,0.035,10.3,1016.3,7.8,14.621,149.23,4.90307,6.21991,46.3263,1216.63,10.8913,208.206,265.42359999999996,1391.60398,1657.02758,1622
2021-01-07,France,0.128993,0.286106,0.02379,0.437631,0.152295,0.00325567,0.7459646700000001,3.1,83.1,0.063,8.4,1017.2,17.4,14.7147,155.154,5.0035,7.99305,38.4349,1223.82,11.8206,220.349,270.6045,1406.68525,1677.28975,1669
2021-01-08,France,0.134348,0.309431,0.0240675,0.449877,0.158617,0.00340793,0.77031743,2.6,74.0,0.049,6.1,1018.5,25.8,14.7504,158.627,5.0775,9.78907,38.1444,1229.66,12.8431,233.635,284.6225,1417.90397,1702.52647,1821
2021-01-09,France,0.143559,0.311745,0.0233041,0.460511,0.169491,0.0031365,0.8000016,1.2,79.9,0.0,12.4,1023.3,47.9,14.7463,167.565,5.07221,11.6101,45.0814,1232.27,13.4611,236.419,294.9615,1431.26361,1726.22511,1289
2021-01-10,France,0.152198,0.313741,0.0223477,0.467226,0.179691,0.00288322,0.8243459199999998,1.2,82.4,0.027,10.1,1025.6,48.0,14.7667,177.107,5.07164,12.6253,51.6364,1235.65,14.1726,233.848,299.65700000000004,1445.22064,1744.8776400000002,1492
2021-01-11,France,0.154833,0.315831,0.0218439,0.474286,0.182801,0.00285387,0.83661777,2.7,83.1,0.0,9.3,1023.9,19.2,14.7897,180.665,5.08379,12.7892,57.8673,1237.4,15.6684,238.257,311.7927,1450.7276900000002,1762.5203900000001,1696
2021-01-12,France,0.154897,0.318324,0.0215881,0.476773,0.182877,0.00281291,0.8389480099999999,7.0,87.1,5.196,15.8,1016.9,14.1,14.791,180.829,5.11014,12.9484,77.3644,1236.51,16.0213,237.579,330.9647,1450.18854,1781.15324,1466
2021-01-13,France,0.154014,0.320184,0.0214031,0.471253,0.181835,0.0027758,0.8312809,7.9,89.8,1.739,11.9,1020.9,16.2,14.7874,179.759,5.07671,13.1076,93.0216,1231.04,16.1493,238.414,347.5849,1443.77071,1791.3556099999998,1533
2021-01-14,France,0.155312,0.321964,0.0211091,0.460194,0.183367,0.00278378,0.8227658800000001,9.3,85.7,1.438,18.5,1016.8,25.5,14.7286,181.681,5.06757,13.2668,116.275,1227.92,15.7046,238.371,370.3506,1442.66397,1813.0145700000003,1589
2021-01-15,France,0.159227,0.323283,0.020977,0.448458,0.187989,0.00277049,0.81942149,2.1,73.9,0.165,18.3,1026.3,36.4,14.6414,187.325,4.98836,13.426,129.392,1225.94,15.0081,230.579,374.9791,1446.32076,1821.2998599999999,1748
2021-01-16,France,0.156955,0.326104,0.0206824,0.444594,0.185307,0.00274821,0.81028661,0.5,80.7,7.525,10.3,1025.7,9.0,14.6379,184.287,4.98607,13.5851,131.002,1218.68,15.1267,233.515,379.64369999999997,1436.17607,1815.81977,1093
2021-01-17,France,0.153831,0.332854,0.0206811,0.441572,0.181619,0.00270405,0.80040715,5.5,82.3,1.782,10.6,1023.7,32.8,14.733,180.072,4.97907,13.7443,132.802,1212.58,15.13,240.159,388.091,1426.10837,1814.1993700000003,1260
