Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Germany,0.509561,0.34599,0.0251035,0.785053,0.212429,0.000768123,1.5329146230000001,2.0,88.3,0.843,7.6,1007.6,14.9,143.172,133.307,9.79132,268.652,331.218,186.206,27.1608,79.0238,437.4026,741.1283199999999,1178.53092,704
2021-01-02,Germany,0.5673,0.354913,0.0255567,0.797342,0.229956,0.000778238,1.6209329380000002,1.1,88.0,0.002,7.8,1014.6,27.4,143.689,146.581,9.82986,305.412,265.871,187.121,25.1945,78.6648,369.7303,792.6328599999999,1162.36316,1458
2021-01-03,Germany,0.56047,0.359197,0.0256764,0.808257,0.221178,0.000780042,1.616361442,0.5,92.3,6.554,17.3,1015.4,4.5,144.988,153.422,9.84554,334.635,287.951,190.097,22.8199,76.0135,386.7844,832.98754,1219.77194,1741
2021-01-04,Germany,0.605053,0.360891,0.025899,0.819387,0.23131,0.000771469,1.682420469,0.7,94.5,0.57,14.0,1017.1,4.5,145.288,163.218,9.87293,363.291,299.225,188.371,21.0077,76.8258,397.05850000000004,870.04093,1267.0994300000002,1642
2021-01-05,Germany,0.65933,0.362305,0.0259146,0.829245,0.244577,0.000752708,1.7598193080000002,1.6,93.8,0.292,14.2,1016.6,5.3,145.377,173.528,9.88479,399.162,307.043,188.958,18.4163,77.1003,402.5596,916.9097899999999,1319.4693900000002,1405
2021-01-06,Germany,0.712696,0.36213,0.0257648,0.842596,0.257651,0.000730224,1.8394380240000001,2.0,92.8,2.114,14.6,1010.8,17.1,145.349,177.031,9.8865,438.402,273.115,189.807,14.4338,76.3223,363.8711,960.4755,1324.3466,1460
2021-01-07,Germany,0.767355,0.368492,0.0267701,0.857725,0.27071,0.000784174,1.923344274,1.2,87.8,0.012,14.7,1010.0,7.8,145.478,179.816,9.89232,479.07,249.038,190.438,10.0782,77.7957,336.9119,1004.69432,1341.60622,1467
2021-01-08,Germany,0.81459,0.385042,0.0284069,0.869429,0.287374,0.000851062,2.000650962,1.0,88.6,0.029,9.8,1012.0,10.3,145.468,178.936,9.87968,516.193,255.14,190.443,8.29996,80.2778,343.71776,1040.91968,1384.6374400000002,1699
2021-01-09,Germany,0.846488,0.388957,0.0284258,0.879823,0.298627,0.00085852,2.05422232,1.4,92.9,0.065,9.9,1019.6,9.0,145.732,174.388,9.85168,543.64,251.861,190.284,8.22546,80.1175,340.20396,1063.89568,1404.0996400000001,1411
2021-01-10,Germany,0.886588,0.388404,0.0285439,0.890513,0.312773,0.000871497,2.1192893969999997,0.9,86.2,0.0,11.0,1023.8,26.5,145.595,185.941,9.82518,567.817,224.356,191.492,11.3448,79.5209,315.2217,1100.67018,1415.8918800000001,1690
2021-01-11,Germany,0.879778,0.391008,0.0281856,0.897384,0.310371,0.000898944,2.116617544,0.5,81.7,0.252,16.1,1017.4,15.7,145.41,181.161,9.79829,565.42,260.435,191.889,13.6675,79.2875,353.39,1093.6782899999998,1447.0682899999997,1521
2021-01-12,Germany,0.853437,0.395,0.0279689,0.895431,0.301078,0.000944909,2.0788598090000003,1.5,90.4,4.663,19.5,1003.9,8.5,144.775,173.048,9.83246,549.838,308.829,191.384,14.488,80.038,403.355,1068.87746,1472.23246,1338
2021-01-13,Germany,0.822713,0.400586,0.0278468,0.894407,0.290239,0.000984172,2.036189972,1.7,84.9,2.265,24.1,1005.9,14.7,144.061,168.599,9.81546,528.712,347.922,189.452,16.8224,81.7131,446.45750000000004,1040.6394599999999,1487.0969599999999,1467
2021-01-14,Germany,0.820102,0.403098,0.0273625,0.896883,0.289318,0.0010505,2.034716,1.1,88.4,1.068,18.8,1013.4,16.8,143.296,178.307,9.88821,520.831,376.183,189.181,17.4427,81.4843,475.11,1041.50321,1516.6132100000002,1551
2021-01-15,Germany,0.823924,0.40437,0.0270923,0.903434,0.290667,0.00110453,2.04622183,-0.2,80.3,0.05,16.4,1023.2,9.7,142.997,180.351,9.90386,522.558,382.172,189.29,19.285,82.1551,483.61210000000005,1045.09986,1528.71196,1672
2021-01-16,Germany,0.817439,0.40637,0.0267085,0.912242,0.288379,0.00110997,2.04587847,-1.6,72.6,0.002,16.5,1023.2,21.5,142.652,181.986,9.91739,516.547,397.354,189.514,19.2116,82.3421,498.9077,1040.6163900000001,1539.5240900000001,1171
2021-01-17,Germany,0.824112,0.41554,0.0260096,0.917221,0.290733,0.00106399,2.05913959,-1.9,79.2,0.0,6.4,1020.3,24.2,142.351,185.045,9.92057,519.886,382.358,190.184,17.2119,82.0072,481.57710000000003,1047.38657,1528.9636699999999,1251
2021-01-18,Germany,0.840881,0.416663,0.0259535,0.916655,0.296649,0.00105249,2.08119099,-1.7,91.7,4.594,10.2,1019.2,13.3,142.385,191.356,9.982,529.054,363.926,191.486,15.7706,81.4685,461.1651,1064.263,1525.4280999999999,1358
2021-01-19,Germany,0.84235,0.415778,0.0259038,0.91328,0.297167,0.00101494,2.07971574,2.5,93.4,7.969,15.3,1009.3,9.4,142.924,185.77,10.348,533.24,326.961,192.589,15.712,80.9905,423.6635,1064.871,1488.5344999999998,1219
2021-01-20,Germany,0.825142,0.41359,0.0259345,0.894229,0.291096,0.00103227,2.0374337700000003,5.9,75.3,0.166,17.3,1003.2,28.8,143.349,182.05,10.6466,521.897,329.57,192.344,17.4453,80.8773,427.89259999999996,1050.2866000000001,1478.1792000000003,1551
2021-01-21,Germany,0.760771,0.412649,0.0260749,0.858291,0.268387,0.000996832,1.914520732,8.6,59.8,0.038,18.2,997.1,40.2,143.486,163.42,10.5924,483.214,352.482,190.455,21.7375,79.545,453.76450000000006,991.1673999999999,1444.9318999999998,1425
2021-01-22,Germany,0.720056,0.412247,0.0259237,0.815499,0.254023,0.000996874,1.816498574,7.4,71.1,0.917,16.9,993.0,19.9,143.446,165.16,10.5186,450.696,417.232,188.34,24.1864,78.015,519.4334,958.1606,1477.594,1616
2021-01-23,Germany,0.713218,0.411019,0.0255381,0.77857,0.251611,0.000987096,1.769924196,2.0,91.8,5.257,7.8,997.2,11.1,143.487,166.401,10.4488,444.713,427.373,188.084,25.3856,78.44,531.1985999999999,953.1338000000001,1484.3324000000002,1133
2021-01-24,Germany,0.704215,0.405564,0.025352,0.757079,0.248435,0.000975064,1.7360560639999998,1.0,95.4,2.49,7.8,996.7,14.1,143.759,158.621,10.3826,442.442,433.758,187.485,26.7694,78.7494,539.2768,942.6896,1481.9663999999998,1139
2021-01-25,Germany,0.723998,0.406295,0.0254135,0.753466,0.255414,0.000973603,1.759265103,1.3,88.9,0.23,12.9,1002.8,29.1,143.886,164.405,10.2982,454.376,380.46,187.704,28.8501,79.6825,488.9926,960.6692,1449.6617999999999,1336
2021-01-26,Germany,0.757714,0.407529,0.0254918,0.761656,0.267309,0.000984548,1.813155348,1.0,84.1,0.324,14.3,1011.3,56.2,143.891,175.409,9.80421,474.306,365.231,188.332,30.4299,80.1785,475.83939999999996,991.74221,1467.5816100000002,1282
2021-01-27,Germany,0.818197,0.408583,0.025342,0.780487,0.288646,0.000932865,1.913604865,1.8,81.9,0.052,11.8,1013.0,60.0,143.776,191.901,9.51168,511.531,338.656,190.632,28.5909,80.873,448.1199,1047.35168,1495.4715800000001,1332
2021-01-28,Germany,0.885253,0.409496,0.0252652,0.803533,0.312302,0.000932817,2.0272860169999998,1.7,84.3,1.446,12.8,1004.5,29.4,143.726,209.469,9.44964,553.021,307.092,192.736,24.6629,82.0191,413.77399999999994,1108.40164,1522.1756399999997,1398
2021-01-29,Germany,0.893785,0.411372,0.0255583,0.819994,0.315312,0.000892053,2.0555413529999997,-1.2,82.5,1.104,10.6,999.5,29.1,143.648,205.677,9.47579,561.875,298.901,194.469,23.2891,83.0868,405.2769,1115.14479,1520.4216900000001,1515
2021-01-30,Germany,0.879433,0.412636,0.0258563,0.831997,0.310249,0.000873275,2.048408575,-1.1,86.9,1.666,9.9,1002.0,22.7,143.391,205.216,9.51854,551.0,295.91,194.748,23.308,85.2346,404.4526,1103.87354,1508.3261400000001,1091
2021-01-31,Germany,0.860434,0.408379,0.0258728,0.840016,0.303546,0.000952694,2.030821494,-4.5,86.3,0.0,7.1,1006.1,77.1,143.191,200.859,9.56493,538.851,297.508,195.405,25.9341,87.5777,411.0198,1087.87093,1498.89073,1303
2021-02-01,Germany,0.842327,0.407363,0.0257803,0.840835,0.318773,0.000973411,2.0286887109999996,-3.6,72.1,0.0,13.3,1000.3,60.7,142.736,195.797,9.57336,527.844,312.96,195.495,26.1342,88.4521,427.5463,1071.4453600000002,1498.9916600000001,1404
2021-02-02,Germany,0.818883,0.406122,0.026121,0.829767,0.329961,0.000970094,2.005702094,0.8,88.3,1.235,10.1,1002.1,39.1,142.215,182.945,9.61168,517.335,297.738,195.382,26.2357,88.5767,412.5504,1047.48868,1460.03908,1259
2021-02-03,Germany,0.779068,0.406265,0.0261086,0.805833,0.332814,0.000982574,1.944806174,4.5,96.3,11.334,8.6,998.6,32.8,142.248,173.926,9.5795,491.91,331.655,195.086,25.2682,88.6013,445.52449999999993,1012.7495,1458.274,1428
2021-02-04,Germany,0.757651,0.405611,0.0261634,0.781878,0.344395,0.00102171,1.91110911,1.2,92.2,0.83,14.2,1010.8,14.6,141.991,170.829,9.58711,477.166,345.27,192.682,32.0324,88.7683,466.0707,992.2551100000001,1458.32581,1589
2021-02-05,Germany,0.761524,0.404164,0.026205,0.76949,0.364033,0.00105716,1.92230916,-0.1,85.4,1.104,19.0,1019.0,22.2,142.098,178.304,9.57475,475.709,323.902,190.902,32.4008,88.173,444.4758,996.5877500000001,1441.06355,1703
2021-02-06,Germany,0.721367,0.402219,0.026271,0.760485,0.359711,0.00104218,1.8688761799999998,-1.8,73.1,0.023,26.8,1019.0,37.8,142.178,172.592,9.572,448.021,391.572,189.689,32.1938,86.3518,510.11760000000004,962.052,1472.1696,1181
2021-02-07,Germany,0.681492,0.410372,0.0262448,0.759154,0.354813,0.000950141,1.8226539409999998,-6.0,68.0,0.824,32.8,1012.0,20.9,141.967,170.085,9.60375,418.608,438.005,186.734,28.3153,86.7805,553.1007999999999,926.9977500000001,1480.0985500000002,980
2021-02-08,Germany,0.665282,0.412972,0.0258598,0.779394,0.346373,0.000896468,1.817805268,-8.9,74.4,2.026,22.0,1004.9,27.2,142.107,167.707,9.65889,407.43,477.437,185.722,27.3522,87.8595,592.6487,912.6248899999999,1505.27359,1095
2021-02-09,Germany,0.673815,0.414986,0.0257988,0.82446,0.350816,0.000899907,1.875789707,-8.5,81.3,0.002,7.2,1006.5,34.3,142.42,165.71,9.85382,415.077,480.685,185.644,25.6832,89.3998,595.768,918.7048199999999,1514.4728199999997,1097
2021-02-10,Germany,0.704093,0.418019,0.0256943,0.893544,0.36658,0.000897205,1.9908085049999997,-7.4,79.6,0.075,7.3,1011.7,60.0,142.412,163.182,10.0503,439.885,431.195,185.991,25.435,91.1139,547.7438999999999,941.5202999999999,1489.2641999999998,1336
2021-02-11,Germany,0.717558,0.420643,0.0258118,0.973026,0.37359,0.000853185,2.090838985,-4.6,83.7,0.035,12.0,1025.9,49.4,141.9,152.766,10.2425,456.387,397.478,188.475,20.6416,91.3174,509.437,949.7705,1459.2074999999998,1503
2021-02-12,Germany,0.724593,0.422572,0.0256232,1.05003,0.377253,0.000859747,2.178358947,-5.0,78.1,0.0,11.0,1035.3,104.5,141.932,140.061,10.287,469.392,381.511,190.591,22.8923,91.817,496.2203,952.263,1448.4832999999999,1697
2021-02-13,Germany,0.774049,0.424809,0.0253572,1.11417,0.403002,0.00092022,2.3174984199999997,-6.3,82.4,0.0,11.1,1040.6,91.4,142.247,142.263,10.3006,506.371,312.711,191.882,28.6781,92.5568,433.9459,993.0636,1427.0095000000001,1280
2021-02-14,Germany,0.813771,0.418606,0.0253056,1.15726,0.423683,0.000991792,2.421011392,-5.5,87.5,0.0,10.2,1041.9,84.1,142.813,151.371,10.2899,531.705,292.859,194.778,36.9662,91.1034,420.92859999999996,1030.9569,1451.8855,1223
2021-02-15,Germany,0.814308,0.416072,0.0254144,1.1627,0.423962,0.00100527,2.4273896699999997,-5.3,74.4,2.195,11.8,1033.1,67.1,143.129,153.189,10.2255,531.086,300.112,194.946,38.9478,89.4076,428.4674,1032.5755,1461.0429,1270
2021-02-16,Germany,0.805107,0.414947,0.0249244,1.13061,0.419172,0.00102056,2.38083396,1.3,95.6,1.809,9.3,1018.6,34.3,142.69,170.056,10.0346,514.031,318.57,194.627,43.0618,87.4517,449.0835,1031.4386,1480.5221,1314
2021-02-17,Germany,0.764586,0.411782,0.0247637,1.0693,0.398075,0.00105548,2.25778018,4.8,90.6,2.584,14.1,1014.2,34.2,142.303,174.153,9.82857,480.36,373.465,194.216,49.7731,85.3758,508.61389999999994,1000.86057,1509.4744699999999,1493
2021-02-18,Germany,0.721516,0.409608,0.0244903,0.991849,0.375651,0.00107457,2.11458087,6.8,78.8,0.007,11.0,1017.3,77.6,142.923,179.98,9.621,443.682,434.708,193.379,59.4275,84.8556,578.9911000000001,969.585,1548.5761,1602
2021-02-19,Germany,0.691301,0.408264,0.0243793,0.907304,0.35992,0.00107851,1.98398281,6.2,77.8,3.322,14.3,1016.4,96.3,141.663,189.188,9.57457,414.814,463.493,191.52,68.0922,85.2056,616.7908,946.7595699999999,1563.55037,1744
2021-02-20,Germany,0.630654,0.406823,0.0241102,0.814789,0.328344,0.00109803,1.79899523,5.8,76.3,0.0,11.4,1019.7,92.7,139.846,184.534,9.54196,370.645,503.646,190.539,79.0542,83.5694,666.2696,895.10596,1561.3755600000002,1255
2021-02-21,Germany,0.58709,0.407321,0.0243522,0.722145,0.305663,0.00116261,1.6404128100000002,8.7,69.2,0.0,12.0,1018.8,114.5,137.771,174.022,9.50664,343.213,502.769,189.78,90.5004,85.3035,678.5729,854.29264,1532.86554,1306
