Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Greece,0.0436365,0.0313739,0.00166242,0.0239233,0.025713,0.000364087,0.095299307,11.4,68.6,1.216,5.2,1016.4,79.4,0.0,39.6159,0.0,15.3853,25.1766,0.0,6.565,0.0,31.741600000000002,55.001200000000004,86.7428,135
2021-01-02,Greece,0.0466468,0.0324417,0.00167229,0.0249455,0.0276738,0.000363954,0.101302344,11.0,78.3,0.778,3.4,1019.5,51.2,0.0,44.3151,0.0,15.2716,23.2068,0.0,6.95986,0.0,30.16666,59.5867,89.75336,233
2021-01-03,Greece,0.047529,0.0310807,0.00182417,0.0249039,0.0283357,0.00037583,0.1029686,14.6,81.6,4.575,9.2,1019.0,69.4,0.0,46.0289,0.0,15.0371,25.7811,0.0,7.41771,0.0,33.198809999999995,61.066,94.26481,364
2021-01-04,Greece,0.0490792,0.0303482,0.00186074,0.0248017,0.0294142,0.000370404,0.105526244,14.8,81.7,3.815,14.7,1011.9,35.2,0.0,48.3163,0.0,15.0579,21.5031,0.0,6.44071,0.0,27.94381,63.3742,91.31801,282
2021-01-05,Greece,0.0508657,0.0298251,0.00188467,0.0259077,0.0306503,0.000367496,0.10967586599999998,12.2,64.5,0.0,9.4,1015.8,90.5,0.0,51.266,0.0,14.8943,21.8694,0.0,6.78,0.0,28.6494,66.16029999999999,94.80969999999999,225
2021-01-06,Greece,0.0533562,0.0245199,0.00187729,0.0270071,0.0323154,0.000371944,0.114927934,11.4,74.7,0.0,5.5,1020.5,79.2,0.0,55.0006,0.0,14.8919,21.6692,0.0,6.69214,0.0,28.36134,69.8925,98.25384,245
2021-01-07,Greece,0.0547036,0.0243003,0.00195188,0.0272324,0.0333086,0.000381782,0.11757826199999999,12.5,81.0,0.0,4.4,1018.3,40.1,0.0,56.778,0.0,15.0357,24.7395,0.0,6.17214,0.0,30.91164,71.8137,102.72534,266
2021-01-08,Greece,0.0555317,0.0282012,0.00216006,0.0256877,0.0338128,0.000429236,0.11762149599999999,15.1,81.7,0.0,9.9,1014.7,83.0,0.0,58.1757,0.0,14.9417,26.0093,0.0,5.52257,0.0,31.531869999999998,73.1174,104.64927,324
2021-01-09,Greece,0.054934,0.0293568,0.00212842,0.0240866,0.0334489,0.000437769,0.115035689,17.2,82.2,0.577,12.0,1012.4,89.8,0.0,57.2946,0.0,14.9333,29.8028,0.0,5.41771,0.0,35.220510000000004,72.2279,107.44841000000001,232
2021-01-10,Greece,0.0560253,0.0294965,0.00204403,0.0236861,0.0341134,0.000436661,0.11630549100000001,16.4,83.2,0.0,6.5,1015.4,89.9,0.0,58.6909,0.0,15.0757,29.5112,0.0,5.20429,0.0,34.71549,73.7666,108.48209,336
2021-01-11,Greece,0.0561744,0.0303647,0.00195062,0.0225999,0.0342042,0.000446857,0.11537597699999999,18.3,70.3,0.0,14.8,1013.2,98.0,0.0,58.7163,0.0,15.194,30.2059,0.0,5.10771,0.0,35.31361,73.91029999999999,109.22390999999999,266
2021-01-12,Greece,0.0562886,0.0309505,0.00194442,0.0216683,0.0342737,0.000446338,0.11462135799999999,17.1,68.9,5.899,17.1,1007.4,25.9,0.0,58.8319,0.0,15.2271,32.5966,0.0,4.40414,0.0,37.00074,74.059,111.05973999999999,217
2021-01-13,Greece,0.0562105,0.0361824,0.00187484,0.0222359,0.0342261,0.000445081,0.114992421,11.9,57.3,0.0,10.1,1007.0,100.5,0.0,57.5267,0.0,15.9371,31.925,0.0,4.49229,0.0,36.41729,73.46379999999999,109.88108999999999,266
2021-01-14,Greece,0.0562418,0.0367895,0.00184409,0.0237424,0.0342452,0.000446413,0.11651990300000001,9.8,58.0,0.097,11.9,1009.1,104.6,0.0,56.2016,0.0,16.757,30.4503,0.0,5.44657,0.0,35.89687,72.9586,108.85547,271
2021-01-15,Greece,0.0575283,0.0371816,0.00171829,0.026602,0.0350285,0.000439895,0.12131698499999999,7.8,63.7,0.213,17.4,1011.6,37.4,0.0,57.0356,0.0,17.4101,31.5421,0.0,5.65971,0.0,37.20181,74.4457,111.64751000000001,293
2021-01-16,Greece,0.0598606,0.0383151,0.00165715,0.0303508,0.0364487,0.000434697,0.128751947,5.2,79.4,10.447,15.3,1008.8,20.7,0.0,59.3814,0.0,18.096,29.4823,0.0,5.059,0.0,34.5413,77.4774,112.0187,197
2021-01-17,Greece,0.0616076,0.0385851,0.00151328,0.034716,0.0375124,0.000427251,0.135776531,2.5,51.6,3.431,15.2,1014.2,106.6,0.0,61.3844,0.0,18.4627,27.6994,0.0,5.68343,0.0,33.38283,79.8471,113.22993,253
2021-01-18,Greece,0.0648198,0.0388969,0.00148204,0.0393069,0.0394683,0.000423195,0.14550023499999998,3.1,68.9,0.135,13.1,1018.5,50.2,0.0,64.7654,0.0,19.3176,28.8454,0.0,6.66029,0.0,35.50569,84.083,119.58869,257
2021-01-19,Greece,0.068378,0.0391402,0.00140228,0.0429672,0.0416348,0.000428081,0.15481036099999998,4.4,59.1,0.0,8.5,1023.3,114.4,0.0,67.7196,0.0,20.7371,24.4661,0.0,7.59914,0.0,32.06524,88.4567,120.52194,232
2021-01-20,Greece,0.0694713,0.0394304,0.00139543,0.0444797,0.0423005,0.000428053,0.158074983,5.8,59.1,0.0,6.4,1027.0,112.5,0.0,68.126,0.0,21.4729,24.1424,0.0,8.23329,0.0,32.37569,89.5989,121.97458999999999,251
2021-01-21,Greece,0.0705201,0.0397253,0.00136929,0.0443899,0.0429392,0.000427146,0.15964563599999998,9.2,71.9,0.0,5.8,1026.8,111.4,0.0,68.8016,0.0,22.008,23.3851,0.0,7.97643,0.0,31.361530000000002,90.80959999999999,122.17112999999998,267
2021-01-22,Greece,0.0698898,0.0400367,0.00134885,0.0430639,0.0425554,0.000415211,0.157273161,11.2,78.9,0.0,8.3,1023.4,74.3,0.0,66.7943,0.0,22.6433,24.5684,0.0,7.79943,0.0,32.36783,89.4376,121.80543,275
2021-01-23,Greece,0.0680778,0.0407786,0.00125775,0.0405831,0.041452,0.000414547,0.15178519699999998,12.8,69.7,0.0,15.6,1016.4,40.0,0.0,62.759,0.0,23.4327,24.8566,0.0,8.00186,0.0,32.85846,86.1917,119.05016,184
2021-01-24,Greece,0.0656252,0.0417299,0.00118642,0.0371708,0.0399586,0.00040869,0.14434970999999996,12.5,72.2,5.967,10.4,1011.1,89.0,0.0,57.7933,0.0,24.2047,25.1524,0.0,7.70443,0.0,32.85683,81.998,114.85483,229
2021-01-25,Greece,0.0612852,0.0417348,0.00121474,0.0334599,0.0373161,0.000410758,0.133686698,14.8,61.8,0.113,15.8,1008.1,121.8,0.0,51.9156,0.0,23.8324,24.7073,0.0,8.023,0.0,32.7303,75.74799999999999,108.47829999999999,264
2021-01-26,Greece,0.0580386,0.0416408,0.0012209,0.0306137,0.0353393,0.000403034,0.125615534,12.9,72.7,0.088,17.2,1005.6,43.2,0.0,48.2613,0.0,23.1101,25.0809,0.0,6.77057,0.0,31.85147,71.3714,103.22287,198
2021-01-27,Greece,0.0580696,0.0415497,0.00121408,0.0303802,0.0353581,0.000395665,0.125417645,7.1,57.2,5.052,14.0,1005.4,86.8,0.0,48.3404,0.0,23.0906,27.8899,0.0,6.11686,0.0,34.00676,71.431,105.43776,243
2021-01-28,Greece,0.057155,0.0415615,0.00121839,0.0316936,0.0348012,0.000396212,0.125264402,4.7,43.7,0.0,8.6,1013.6,123.5,0.0,48.3531,0.0,22.2643,26.9187,0.0,6.82643,0.0,33.74513,70.6174,104.36253,268
2021-01-29,Greece,0.0555473,0.041655,0.00125322,0.0324634,0.0338223,0.000394977,0.123481197,8.3,62.7,0.0,6.6,1012.6,126.5,0.0,46.946,0.0,21.6661,26.7327,0.0,7.30857,0.0,34.04127,68.6121,102.65337,277
2021-01-30,Greece,0.054381,0.0410522,0.00127225,0.0323397,0.0331122,0.000394213,0.121499363,13.7,65.4,0.387,10.3,1003.2,111.9,0.0,46.5254,0.0,20.8736,28.2966,0.0,8.12929,0.0,36.42589,67.399,103.82489,180
2021-01-31,Greece,0.0529077,0.0398888,0.00124852,0.0325248,0.0322151,0.000400127,0.119296247,12.3,75.1,0.0,11.3,1007.6,115.4,0.0,46.103,0.0,19.8073,29.9106,0.0,8.08714,0.0,37.99774,65.9103,103.90804000000001,234
