Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Hungary,0.0241059,0.0362541,0.000667028,0.054362,0.0164636,1.20437e-07,0.09559864843699999,2.0,91.9,1.268,6.1,1012.0,27.0,5.80661,17.9051,0.0,8.03625,1.92359,46.427,1.51468,0.613214,4.051484,78.17496,82.22644399999999,40
2021-01-02,Hungary,0.0238195,0.0363247,0.000710785,0.0548477,0.0162903,1.20437e-07,0.09566840543699999,3.6,84.8,0.0,9.8,1016.2,25.8,5.86682,17.675,0.0,7.95111,1.77541,46.4495,1.62507,0.564429,3.964909,77.94243,81.907339,60
2021-01-03,Hungary,0.0234855,0.0362351,0.000752528,0.0542543,0.0160843,6.83602e-08,0.0945766963602,5.1,81.9,0.004,11.5,1013.7,14.4,5.87886,17.1796,0.0,7.98754,1.90427,46.4699,1.70271,0.516,4.12298,77.5159,81.63888,91
2021-01-04,Hungary,0.0240583,0.0363433,0.000715978,0.0531641,0.0165081,8.12511e-08,0.0944465592511,5.8,92.7,0.007,7.8,1012.9,11.8,5.85104,18.5313,0.0,7.625,1.62982,46.5173,1.74125,0.476143,3.847213,78.52464,82.37185299999999,82
2021-01-05,Hungary,0.0255104,0.0364432,0.000697186,0.0533293,0.0175343,6.19692e-07,0.09707180569200001,4.8,87.1,0.005,10.5,1010.4,19.5,5.81629,20.7636,0.0,7.41971,1.13307,46.5461,1.39861,0.436429,2.9681089999999997,80.54570000000001,83.51380900000002,79
2021-01-06,Hungary,0.0270667,0.0366758,0.000692324,0.0547466,0.0186303,8.38067e-07,0.10113676206700001,3.6,93.6,2.696,8.5,1011.8,7.4,5.77129,22.7613,0.0,7.4355,1.14671,46.5431,1.50043,0.398214,3.0453539999999997,82.51119,85.55654399999999,79
2021-01-07,Hungary,0.0287644,0.0369825,0.00072636,0.0562344,0.0198235,1.07526e-06,0.10554973525999999,1.6,85.1,0.541,7.2,1014.4,32.3,5.63875,24.9642,0.0,7.43864,1.0735,46.535,1.808,0.361,3.2424999999999997,84.57659,87.81909000000002,66
2021-01-08,Hungary,0.0293669,0.0374491,0.000768277,0.0577154,0.0202387,1.16491e-06,0.10809044191,0.3,89.8,0.143,5.7,1016.1,14.9,5.46668,25.6332,0.0,7.50714,0.947929,46.1812,1.58439,0.322893,2.8552120000000003,84.78822,87.64343199999999,77
2021-01-09,Hungary,0.0308075,0.0375086,0.000772476,0.0596941,0.0212315,1.24064e-06,0.11250681664,-2.1,96.6,0.0,4.8,1021.0,42.6,5.37154,27.2823,0.0,7.64136,0.600536,46.1786,1.565,0.285607,2.451143,86.47380000000001,88.924943,55
2021-01-10,Hungary,0.0321771,0.0374234,0.000729526,0.0616193,0.0221754,1.24073e-06,0.11670256673000001,-1.9,93.2,0.0,6.5,1023.5,5.3,5.27661,29.101,0.0,7.61911,0.37125,46.1689,1.43282,0.263571,2.067641,88.16561999999999,90.233261,66
