Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Italy,0.192832,0.189044,0.00678854,0.399414,0.0895734,0.00235419,0.6909621300000001,8.5,80.4,4.54,18.4,1010.4,43.3,70.0606,231.033,1.55343,46.6913,80.5643,0.0,20.4233,102.543,203.5306,349.33833,552.86893,339
2021-01-02,Italy,0.191501,0.198522,0.00702459,0.412359,0.0894837,0.00244775,0.7028160399999999,10.1,80.2,23.288,22.5,1005.6,48.4,70.9189,229.385,1.47114,46.4573,89.8529,0.0,19.6233,105.523,214.9992,348.23233999999997,563.23154,762
2021-01-03,Italy,0.194946,0.200187,0.00717868,0.418902,0.0916081,0.00245127,0.7150860499999999,6.9,86.6,24.511,14.2,1009.4,16.8,70.5461,235.336,1.46643,46.2277,87.1864,0.0,18.6127,106.843,212.64210000000003,353.57623,566.21833,1186
2021-01-04,Italy,0.206443,0.198659,0.00724066,0.416468,0.0976974,0.00249813,0.73034719,7.0,83.2,13.128,9.7,1010.3,79.1,70.3306,253.015,1.83086,46.4633,81.6251,0.0,19.6177,110.395,211.6378,371.63975999999997,583.27756,1066
2021-01-05,Italy,0.216618,0.193988,0.00717827,0.412799,0.103231,0.002585,0.74241127,7.6,83.1,26.235,15.9,1008.3,20.7,70.157,267.855,1.76671,47.4597,78.0571,0.0,19.0136,115.112,212.1827,387.23841,599.42111,780
2021-01-06,Italy,0.225883,0.174027,0.00683565,0.412295,0.108267,0.00264623,0.75592688,7.8,70.1,0.387,11.7,1012.2,45.7,70.1633,280.475,1.96271,48.699,76.6116,0.0,18.9837,115.896,211.4913,401.30001000000004,612.7913100000001,749
2021-01-07,Italy,0.24814,0.182403,0.00685194,0.410413,0.119522,0.00279426,0.7877212,5.4,82.1,0.994,7.4,1012.7,23.8,72.7873,313.774,2.15343,50.1147,70.729,0.0,16.0487,122.751,209.52870000000001,438.82943,648.35813,826
2021-01-08,Italy,0.26927,0.204718,0.0074529,0.417108,0.1297,0.00313429,0.82666519,6.0,83.4,0.228,8.8,1009.0,42.8,76.4847,346.481,2.552,50.6341,67.3171,0.0,16.7646,128.565,212.6467,476.1518,688.7984999999999,1032
2021-01-09,Italy,0.281209,0.209729,0.00747976,0.428343,0.135451,0.00310941,0.85559217,5.8,84.5,3.047,14.0,1010.0,22.5,76.9403,364.8,2.583,51.178,60.9237,0.0,16.3227,129.64,206.88639999999998,495.5013,702.3877,759
2021-01-10,Italy,0.290667,0.211033,0.00736783,0.437997,0.140007,0.00305184,0.8790906700000001,6.6,87.3,5.913,15.5,1008.0,18.3,77.7036,378.958,2.59229,51.8317,57.5911,0.0,14.92,129.318,201.8291,511.08559,712.91469,1046
2021-01-11,Italy,0.302314,0.212122,0.00716473,0.449122,0.145617,0.0028283,0.9070460300000001,4.6,80.5,0.014,10.0,1012.2,79.8,79.5374,395.45,2.71643,53.1116,56.4636,0.0,15.3646,128.173,200.00119999999998,530.81543,730.81663,797
2021-01-12,Italy,0.306838,0.217689,0.00705109,0.464671,0.147795,0.00264352,0.9289986100000001,4.8,82.1,0.124,7.2,1013.8,101.4,81.9774,401.548,3.15257,53.4843,51.7887,0.0,17.8244,125.161,194.7741,540.16227,734.9363699999999,635
2021-01-13,Italy,0.309746,0.237607,0.00718753,0.479322,0.149196,0.00245285,0.94790438,5.2,78.8,0.025,8.1,1014.5,104.9,85.2581,404.393,3.32957,54.4499,53.3426,0.0,21.1086,126.838,201.2892,547.43057,748.7197699999999,663
2021-01-14,Italy,0.304747,0.23771,0.00724251,0.491717,0.146789,0.00232169,0.9528172000000001,8.4,83.0,0.0,8.8,1011.0,78.3,85.7903,397.151,3.31486,53.9674,64.5973,0.0,24.2621,124.006,212.86540000000002,540.22356,753.08896,675
2021-01-15,Italy,0.305764,0.236861,0.00714267,0.493159,0.147278,0.00220796,0.95555163,7.7,70.4,0.27,9.3,1010.0,47.5,85.7539,398.812,3.224,54.0276,66.3841,0.0,23.5454,121.916,211.84550000000002,541.8175,753.663,856
2021-01-16,Italy,0.299634,0.240552,0.00701035,0.495359,0.144325,0.00207451,0.9484028600000001,4.5,55.4,0.022,14.0,1016.2,102.4,86.3346,390.796,3.21414,52.9129,70.9837,0.0,27.3666,121.412,219.7623,533.2576399999999,753.0199399999999,576
2021-01-17,Italy,0.295423,0.240741,0.00669618,0.496441,0.142297,0.00188151,0.94273869,2.1,76.1,0.323,10.4,1015.1,28.1,87.0194,385.953,3.23343,51.7301,72.359,0.0,28.4897,121.369,222.21769999999998,527.93593,750.15363,670
2021-01-18,Italy,0.291065,0.240722,0.00678041,0.49937,0.140198,0.00187898,0.93929239,4.3,68.3,0.036,9.9,1021.1,110.8,88.2571,381.311,3.19857,50.329,76.795,0.0,30.013,121.256,228.06400000000002,523.0956699999999,751.1596699999999,771
2021-01-19,Italy,0.293561,0.240671,0.00680129,0.500375,0.1414,0.00186192,0.94399921,5.8,71.6,0.106,8.1,1025.6,104.2,89.0577,387.111,3.56243,48.9813,76.7706,0.0,29.9283,120.519,227.21790000000001,528.71243,755.9303300000001,614
2021-01-20,Italy,0.299203,0.240364,0.00668119,0.500451,0.144118,0.00182324,0.95227643,9.3,75.6,0.449,14.4,1023.0,57.0,90.0153,399.079,3.56371,47.2706,76.2963,0.0,27.5471,117.47,221.3134,539.9286099999999,761.2420099999999,643
2021-01-21,Italy,0.296166,0.239672,0.00664416,0.501081,0.142655,0.00181858,0.94836474,12.7,79.6,0.266,21.6,1017.0,44.0,90.7434,395.699,3.49429,46.4161,74.232,0.0,24.726,115.191,214.149,536.35279,750.50179,663
2021-01-22,Italy,0.282364,0.239635,0.00665687,0.500833,0.136007,0.00177746,0.92763833,13.1,85.2,3.488,24.1,1009.6,26.1,90.5911,375.756,3.37843,45.1139,72.5928,0.0,24.0603,114.144,210.7971,514.83943,725.63653,791
2021-01-23,Italy,0.27361,0.238293,0.00668185,0.494492,0.13179,0.00173965,0.9083134999999999,11.2,68.6,20.677,23.2,1002.1,91.8,89.8166,364.089,3.38829,43.6347,65.9962,0.0,21.93,114.246,202.17219999999998,500.92859,703.10079,526
2021-01-24,Italy,0.263635,0.239718,0.00664335,0.48359,0.126986,0.00170006,0.8825544100000001,10.0,80.0,18.985,18.1,999.1,30.5,89.0244,347.494,3.09386,44.1644,65.9306,0.0,21.5017,116.48,203.91230000000002,483.77666000000005,687.6889600000001,611
2021-01-25,Italy,0.252655,0.239564,0.00658227,0.472456,0.121697,0.00165355,0.85504382,8.0,77.7,4.909,14.8,1004.5,30.3,87.7643,331.805,2.95071,43.0633,63.5729,0.0,19.7059,118.859,202.13779999999997,465.58331,667.7211100000001,728
2021-01-26,Italy,0.241027,0.239495,0.00669741,0.463253,0.116096,0.00163969,0.8287131,5.8,61.6,0.58,11.2,1012.4,126.3,86.888,314.64,2.37371,42.5631,61.2579,0.0,21.7453,122.246,205.24919999999997,446.46481000000006,651.71401,651
2021-01-27,Italy,0.23868,0.239427,0.00673583,0.455442,0.114966,0.00164157,0.8174654,4.1,65.2,0.501,5.3,1016.6,103.8,86.0723,310.198,2.68186,42.7099,56.9564,0.0,23.0761,124.958,204.9905,441.66205999999994,646.6525599999999,652
2021-01-28,Italy,0.237925,0.239744,0.00689391,0.454536,0.114602,0.00163309,0.81559,5.8,62.0,0.007,7.1,1015.5,88.6,84.6929,308.825,2.958,42.5826,53.1977,0.0,25.7124,127.699,206.6091,439.05850000000004,645.6676,692
2021-01-29,Italy,0.234324,0.239267,0.00684181,0.456171,0.112868,0.00161823,0.81182304,10.5,81.4,0.198,10.1,1009.0,25.5,84.7854,303.972,2.86657,42.0821,63.6835,0.0,26.7046,129.169,219.55710000000002,433.70606999999995,653.26317,787
2021-01-30,Italy,0.23555,0.238863,0.00683665,0.458754,0.113458,0.00162167,0.81622032,11.3,73.5,0.044,12.4,1004.7,104.0,84.9619,305.188,2.66429,42.6987,71.7811,0.0,28.9539,128.201,228.93599999999998,435.51288999999997,664.44889,536
2021-01-31,Italy,0.237764,0.23873,0.00688108,0.458313,0.114524,0.00163148,0.81911356,11.5,82.1,8.668,14.7,995.4,89.1,85.0853,309.633,2.76429,42.0979,79.4706,0.0,29.5276,126.545,235.5432,439.58049,675.12369,619
2021-02-01,Italy,0.240387,0.239983,0.00697097,0.453568,0.12324,0.00162113,0.8257871,10.0,83.3,0.207,8.8,999.4,83.8,86.2811,309.254,2.75443,44.8629,81.6113,0.0,29.8783,125.907,237.39659999999998,443.15243000000004,680.54903,756
2021-02-02,Italy,0.246571,0.240772,0.00695847,0.446061,0.134717,0.00161433,0.8359217999999999,11.2,81.3,0.0,6.6,1010.0,131.2,86.9119,312.494,2.96986,48.7196,81.7716,0.0,28.8389,124.05,234.6605,451.09536,685.75586,608
2021-02-03,Italy,0.241754,0.242189,0.00711247,0.436555,0.140111,0.00161189,0.82714436,11.8,80.8,0.065,12.5,1017.2,75.5,86.3096,300.753,2.988,51.0756,85.253,0.0,28.4351,124.481,238.1691,441.1262,679.2953,667
2021-02-04,Italy,0.239847,0.243116,0.00714207,0.422607,0.146698,0.00159902,0.81789309,13.0,80.1,0.0,13.2,1017.9,89.7,87.1917,293.111,2.76043,53.983,83.2736,0.0,27.4791,123.782,234.5347,437.04612999999995,671.58083,686
2021-02-05,Italy,0.245031,0.244291,0.00729935,0.406134,0.156451,0.00160537,0.8165207200000001,12.2,77.5,0.025,8.6,1016.5,131.3,87.5841,300.132,2.96343,54.6267,71.615,0.0,29.2251,125.263,226.10309999999998,445.30623,671.4093300000001,835
2021-02-06,Italy,0.24447,0.24809,0.00739113,0.390255,0.160881,0.00159091,0.8045880400000001,14.5,59.2,0.0,14.6,1011.9,125.3,87.7121,299.456,3.14871,54.3424,64.4711,0.0,28.49,126.464,219.4251,444.65921000000003,664.08431,514
2021-02-07,Italy,0.240221,0.251721,0.00742355,0.378916,0.162743,0.00154173,0.79084528,15.1,66.3,14.663,24.0,1001.7,11.6,87.2091,292.798,3.36614,54.0509,62.301,0.0,27.8753,125.186,215.3623,437.42414,652.7864400000001,586
2021-02-08,Italy,0.229488,0.251976,0.00739215,0.370448,0.155472,0.00156252,0.7643626700000001,11.2,77.8,2.107,15.1,1000.0,80.0,85.8424,280.789,3.14286,51.0523,63.2143,0.0,30.1881,124.088,217.4904,420.82656,638.3169599999999,693
2021-02-09,Italy,0.21833,0.252112,0.00739424,0.360703,0.147912,0.00155962,0.7358988599999999,12.6,78.6,12.397,17.4,1004.0,93.5,84.4519,270.841,2.73371,46.5597,64.0185,0.0,28.7289,126.682,219.4294,404.58631,624.01571,575
2021-02-10,Italy,0.216557,0.252618,0.00731032,0.351569,0.146711,0.00155966,0.72370698,13.1,83.3,1.22,17.9,1005.6,32.0,83.9409,274.588,2.18886,43.0427,64.0294,0.0,27.782,129.82,221.63139999999999,403.76046,625.39186,621
2021-02-11,Italy,0.220349,0.253293,0.00730981,0.344988,0.149281,0.00157045,0.72349826,10.1,84.6,0.054,6.4,1003.6,131.3,82.8529,285.795,1.97643,40.1719,68.602,0.0,31.1296,134.138,233.8696,410.79623000000004,644.66583,736
2021-02-13,Italy,0.230777,0.253407,0.00724921,0.358417,0.156345,0.00157356,0.75436177,5.9,75.1,1.121,20.0,1017.6,49.7,81.4546,300.72,1.59829,41.6096,70.256,0.0,29.2723,137.648,237.1763,425.3824900000001,662.55879,562
2021-02-14,Italy,0.234337,0.25527,0.00726762,0.383071,0.158757,0.00158987,0.78502249,2.4,43.2,0.177,25.0,1028.3,162.1,81.0213,304.664,1.25343,42.9597,69.0808,0.0,35.3626,140.62,245.0634,429.89842999999996,674.96183,701
2021-02-15,Italy,0.240741,0.253804,0.00728177,0.408134,0.163096,0.00158435,0.82083712,3.3,45.6,0.033,9.5,1035.4,165.0,81.2686,312.318,1.14086,44.6516,73.0675,0.0,38.1264,140.683,251.87689999999998,439.37906,691.25596,751
2021-02-16,Italy,0.24795,0.253506,0.00708645,0.432934,0.167979,0.00156797,0.85751742,4.3,61.1,0.004,6.3,1029.8,117.9,82.303,320.888,1.58014,46.1356,74.1356,0.0,40.707,139.655,254.4976,450.90673999999996,705.4043399999999,591
