Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Latvia,0.000576735,0.0085641,0.000598008,0.018855,0.000415094,1.02371e-08,0.0204448472371,-0.7,97.1,0.0,8.4,1010.7,5.6,3.29386,0.776714,0.0,0.0,0.321643,0.0,0.0,19.973,20.294643,4.070574,24.365216999999998,26
2021-01-02,Latvia,0.000541942,0.00789697,0.000629864,0.0188425,0.00033343,1.02371e-08,0.020347746237100003,-0.5,94.0,0.0,8.2,1014.8,4.6,3.30314,0.729857,0.0,0.0,0.313643,0.0,0.0,21.0044,21.318043,4.032997,25.35104,60
2021-01-03,Latvia,0.000541942,0.00759323,0.000625299,0.0187059,0.000332368,1.02371e-08,0.0202055192371,-0.7,97.1,0.0,6.6,1023.2,6.3,3.31329,0.729857,0.0,0.0,0.278857,0.0,0.0,21.4863,21.765157,4.043146999999999,25.808304,94
2021-01-04,Latvia,0.000737546,0.00746117,0.000630647,0.0184434,0.000410351,4.46669e-09,0.02022194846669,-1.0,88.5,0.0,10.8,1024.5,6.0,3.33157,0.993286,0.0,0.0,0.237143,0.0,0.0,21.8326,22.069743,4.3248560000000005,26.394599,77
2021-01-05,Latvia,0.00134122,0.00739126,0.000610581,0.0187311,0.000654274,4.46669e-09,0.02133717946669,0.3,87.2,0.0,14.6,1023.9,5.3,3.36086,1.80629,0.0,0.0,0.171143,0.0,0.0,21.4423,21.613443,5.16715,26.780593,64
2021-01-06,Latvia,0.00195572,0.00729286,0.000620982,0.0190728,0.000883453,1.02318e-08,0.0225329652318,0.5,84.6,0.0,12.4,1018.6,3.3,3.38114,2.63386,0.0,0.0,0.120286,0.0,0.0,21.4826,21.602886,6.015,27.617886000000002,70
2021-01-07,Latvia,0.00297458,0.0079673,0.000638149,0.0195313,0.00122152,2.11843e-08,0.024365570184300005,-1.0,91.5,0.0,10.9,1012.6,4.5,3.39757,4.006,0.0,0.0,0.117,0.0,0.0,22.2239,22.3409,7.40357,29.74447,50
2021-01-08,Latvia,0.00408976,0.00892389,0.000702114,0.0202513,0.00167947,2.11843e-08,0.026722665184300002,-1.3,91.9,0.0,9.8,1012.8,7.0,3.41243,5.50786,0.0,0.0,0.121429,0.0,0.0,23.425,23.546429,8.92029,32.466719,72
2021-01-09,Latvia,0.00533838,0.00929818,0.0006809,0.021315,0.00219222,2.11843e-08,0.029526521184300006,-3.6,88.8,0.0,12.2,1016.7,5.6,3.44043,7.18943,0.0,0.0,0.137143,0.0,0.0,23.1977,23.334843,10.62986,33.964703,57
2021-01-10,Latvia,0.00639383,0.00922837,0.000690056,0.0225219,0.00262565,3.67201e-08,0.032231472720100005,-4.1,89.7,0.0,11.2,1019.8,9.3,3.44043,8.61086,0.0,0.0,0.168429,0.0,0.0,23.0821,23.250529,12.051290000000002,35.301819,87
