Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Lithuania,0.00442812,0.0186547,0.000360443,0.00481704,0.00796522,1.33136e-06,0.017572154359999998,-0.6,99.4,1.715,13.7,1008.1,6.8,2.05529,1.116,0.024,0.0,3.34536,0.0,0.0107143,0.715929,4.0720033,3.19529,7.2672932999999995,32
2021-01-02,Lithuania,0.00443914,0.0186475,0.000413563,0.00508194,0.00803162,1.33136e-06,0.01796759436,-1.9,98.5,0.293,11.0,1015.8,4.2,2.052,1.11886,0.024,0.0,3.18636,0.0,0.0107143,0.696786,3.8938603,3.1948600000000003,7.088720300000001,57
2021-01-03,Lithuania,0.00444906,0.0186415,0.000441753,0.00535355,0.00809637,7.7873e-07,0.018341511730000003,-0.4,99.5,0.003,10.2,1020.9,5.8,2.05243,1.12143,0.024,0.0,2.04979,0.0,0.0105714,0.688929,2.7492903999999996,3.1978600000000004,5.9471504,65
2021-01-04,Lithuania,0.00446835,0.0186869,0.000503848,0.00560332,0.00817829,2.65869e-07,0.018754073869,-0.4,100.0,0.011,10.2,1020.0,5.2,2.06686,1.12643,0.024,0.0,1.71193,0.0,0.0107143,0.693643,2.4162873,3.21729,5.6335773,68
2021-01-05,Lithuania,0.00448984,0.0187164,0.000548321,0.00587873,0.00826419,2.66027e-07,0.019181347027000004,0.4,98.7,0.507,14.8,1018.4,3.8,2.09214,1.132,0.024,0.0,1.87171,0.0,0.0107143,0.730071,2.6124953,3.2481400000000002,5.8606353,59
2021-01-06,Lithuania,0.00439009,0.0187315,0.000551847,0.00616701,0.00813287,2.65989e-07,0.019242082989,-0.9,94.0,1.04,13.1,1015.4,9.5,2.11943,1.10614,0.024,0.0,1.70757,0.0,0.011,0.756286,2.474856,3.24957,5.724426,47
2021-01-07,Lithuania,0.00475796,0.0187582,0.000580235,0.00644915,0.00886538,1.53129e-07,0.020652878129000005,-0.4,95.9,3.972,9.5,1010.5,4.7,2.13129,1.2015,0.024,0.0,1.81071,0.0,0.0112857,0.782929,2.6049246999999998,3.35679,5.961714700000001,45
2021-01-08,Lithuania,0.00498024,0.0187849,0.000621897,0.00656843,0.00927954,1.5345e-07,0.021450260449999998,-2.1,99.2,9.12,6.8,1009.2,3.8,2.14543,1.25912,0.024,0.0,1.82886,0.0,0.0115714,0.780857,2.6212884,3.4285500000000004,6.0498384000000005,66
2021-01-09,Lithuania,0.00499852,0.0187902,0.000601863,0.00673276,0.0093136,1.5345e-07,0.02164689645,-3.4,96.8,2.791,7.9,1012.9,3.1,2.14857,1.26386,0.024,0.0,1.85414,0.0,0.0118571,0.769286,2.6352831,3.4364299999999997,6.0717131,48
2021-01-10,Lithuania,0.00501174,0.0187825,0.000575688,0.00684208,0.00933824,1.5319e-07,0.02176790119,-4.8,94.5,0.001,8.3,1019.4,2.4,2.14943,1.26729,0.024,0.0,1.80643,0.0,0.0117143,0.766571,2.5847153,3.4407200000000002,6.025435300000001,47
