Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Luxembourg,0.00099458,0.0165814,0.00268176,0.00745559,0.00233834,1.13534e-09,0.01347027113534,0.9,93.7,2.662,9.9,1009.2,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
2021-01-02,Luxembourg,0.00106506,0.0168246,0.00267679,0.00760253,0.0024899,1.13534e-09,0.01383428113534,-0.7,95.8,0.002,10.4,1014.5,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
2021-01-03,Luxembourg,0.00108297,0.0166257,0.00273091,0.00770336,0.00251914,1.13534e-09,0.01403638113534,0.3,88.0,0.009,15.0,1013.3,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148
2021-01-04,Luxembourg,0.00114174,0.0165997,0.00268039,0.00782912,0.0026402,1.13534e-09,0.014291451135340002,0.1,96.7,0.361,15.5,1014.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
2021-01-05,Luxembourg,0.00120772,0.0165805,0.00262271,0.00807366,0.00277673,1.13534e-09,0.01468082113534,0.6,93.0,0.002,18.2,1014.2,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
2021-01-06,Luxembourg,0.00126644,0.0165713,0.0025851,0.00830409,0.00289618,1.13534e-09,0.015051811135340001,0.9,92.1,0.622,14.4,1014.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
2021-01-07,Luxembourg,0.00135036,0.0165273,0.00261789,0.00852767,0.00307318,1.13534e-09,0.01556910113534,-0.1,91.2,0.036,14.4,1015.5,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
2021-01-08,Luxembourg,0.00143003,0.0168124,0.00265651,0.00874934,0.00325449,0.0,0.01609037,0.0,91.2,0.072,17.2,1016.9,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
2021-01-09,Luxembourg,0.00147443,0.0167912,0.00262647,0.00900763,0.00335554,0.0,0.01646407,-0.4,87.4,0.0,14.0,1023.3,42.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
2021-01-10,Luxembourg,0.00152252,0.0168125,0.00255772,0.00917735,0.00346499,7.86627e-10,0.016722580786627,-0.9,87.4,0.039,11.0,1025.3,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
2021-01-11,Luxembourg,0.00152427,0.016913,0.00254766,0.00927925,0.00346899,7.86627e-10,0.016820170786627002,-2.0,85.3,0.006,11.9,1023.6,43.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89
2021-01-12,Luxembourg,0.0015165,0.0170145,0.00256698,0.00926511,0.00345129,7.86627e-10,0.016799880786627,2.1,93.6,5.437,20.6,1013.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
2021-01-13,Luxembourg,0.00150726,0.0171155,0.00260204,0.00915806,0.00343026,6.17792e-09,0.01669762617792,0.8,93.8,1.025,15.3,1018.9,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
2021-01-14,Luxembourg,0.00150067,0.0172687,0.00254316,0.00911976,0.00341528,6.17792e-09,0.016578876177919998,-0.2,95.3,3.028,14.9,1018.4,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
2021-01-15,Luxembourg,0.00151102,0.0174164,0.00255353,0.00917856,0.00343882,1.47893e-08,0.0166819447893,-2.0,83.1,3.999,21.3,1025.2,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
2021-01-16,Luxembourg,0.00149507,0.0176274,0.00265543,0.00925098,0.00340252,1.47893e-08,0.0168040147893,-3.3,86.4,0.259,10.8,1027.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
2021-01-17,Luxembourg,0.00150075,0.0178297,0.00256296,0.00932062,0.00341546,1.40027e-08,0.016799804002699998,-0.1,95.3,1.866,13.1,1020.6,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90
2021-01-18,Luxembourg,0.00153028,0.017831,0.00266104,0.00925156,0.00348266,1.40027e-08,0.0169255540027,1.5,94.2,0.002,16.2,1026.1,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
2021-01-19,Luxembourg,0.00152842,0.0178367,0.00261714,0.00920867,0.00347843,1.40526e-08,0.0168326740526,1.6,91.2,2.077,21.1,1016.8,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
2021-01-20,Luxembourg,0.00150048,0.0178446,0.00253339,0.00919912,0.00341483,8.66132e-09,0.016647828661320002,4.7,77.5,0.0,19.0,1004.9,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
2021-01-21,Luxembourg,0.00142667,0.0177936,0.00260374,0.00901634,0.00324685,8.70305e-09,0.016293608703049998,7.4,80.9,5.803,27.0,995.6,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70
2021-01-22,Luxembourg,0.00136668,0.0177435,0.00260181,0.00873585,0.00311034,9.16222e-11,0.0158146800916222,3.9,91.2,15.498,14.9,994.5,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
