Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Netherlands,0.112659,0.0625705,0.015211,0.161539,0.0739165,6.86496e-06,0.36333236496,2.4,93.0,0.65,7.7,1007.7,40.9,45.6561,116.704,0.0,42.365,29.4872,11.5702,0.13775,0.0,29.624950000000002,216.2953,245.92025,508
2021-01-02,Netherlands,0.126475,0.0642719,0.0154613,0.163326,0.0812188,7.87128e-06,0.38648897128,2.9,97.5,1.118,7.0,1012.9,26.2,43.4382,131.896,0.0,47.0347,21.3046,11.6075,0.134071,0.0,21.438671,233.97639999999998,255.41507099999998,734
2021-01-03,Netherlands,0.131809,0.064381,0.0155567,0.164179,0.0832593,1.17113e-05,0.3948157113,3.5,87.0,0.005,16.0,1016.9,42.8,40.5513,134.625,0.0,50.7112,19.4617,11.6081,0.147714,0.0,19.609414,237.4956,257.105014,844
2021-01-04,Netherlands,0.133772,0.0651692,0.0157474,0.165537,0.0829834,1.28126e-05,0.3980526126,3.1,84.8,0.886,27.0,1018.3,31.9,44.3403,134.801,0.0,52.5593,22.6106,11.6003,0.132107,0.0,22.742707000000003,243.3009,266.043607,773
2021-01-05,Netherlands,0.136481,0.0655614,0.0158054,0.17054,0.0830272,1.25006e-05,0.40586610059999995,3.0,89.1,0.23,22.0,1018.3,26.6,45.9066,134.701,0.0,55.315,27.997,11.6018,0.125893,0.0,28.122893,247.52439999999999,275.64729300000005,642
2021-01-06,Netherlands,0.139355,0.0656236,0.0158371,0.174603,0.0830359,1.28068e-05,0.4128438068,2.5,86.9,0.23,12.8,1017.2,24.1,44.5905,135.914,0.0,57.4495,26.7385,11.6019,0.106643,0.0,26.845142999999997,249.55589999999998,276.401043,681
2021-01-07,Netherlands,0.144762,0.0669783,0.0161644,0.178552,0.0844646,1.23704e-05,0.4239553704,2.9,91.3,6.695,13.9,1012.6,35.0,45.1268,139.29,0.0,60.8126,29.5575,11.6009,0.103929,0.0,29.661429000000002,256.8303,286.491729,649
2021-01-08,Netherlands,0.147249,0.07192,0.0163321,0.18113,0.0859158,1.49858e-05,0.43064188579999996,1.9,93.8,0.826,6.3,1015.7,44.4,47.6846,139.552,0.0,63.1307,29.2975,11.6,0.111429,0.0,29.408929,261.9673,291.376229,739
2021-01-09,Netherlands,0.145109,0.0735395,0.0161908,0.18548,0.0846671,2.28515e-05,0.43146975149999994,0.5,89.5,0.109,6.2,1023.6,69.4,49.3541,134.46,0.0,64.0441,29.4357,11.5991,0.137964,0.0,29.573664,259.45730000000003,289.03096400000004,656
2021-01-10,Netherlands,0.146406,0.0741707,0.0162011,0.188656,0.0854239,2.27942e-05,0.4367097942,2.5,87.8,0.0,12.1,1023.4,46.1,49.0314,135.183,0.0,64.9027,27.3941,11.599,0.149464,0.0,27.543564,260.7161,288.259664,698
2021-01-11,Netherlands,0.145759,0.0746277,0.0158975,0.189377,0.0850466,2.21915e-05,0.43610229149999996,5.7,86.6,1.924,25.5,1015.5,20.9,47.607,132.979,0.0,65.5761,26.9062,11.6082,0.145536,0.0,27.051736,257.7703,284.822036,613
2021-01-12,Netherlands,0.142911,0.0754299,0.0157033,0.187115,0.0833846,2.36762e-05,0.42913757620000004,5.6,84.6,10.547,22.0,1008.7,46.4,45.9314,128.211,0.0,65.5906,28.1927,11.608,0.184893,0.0,28.377592999999997,251.341,279.718593,540
2021-01-13,Netherlands,0.139692,0.0761839,0.0155191,0.183666,0.0815066,2.61469e-05,0.42040984690000005,4.5,78.2,0.589,20.8,1015.3,19.8,46.4018,121.195,0.0,66.5805,31.2795,11.604,0.219071,0.0,31.498571,245.7813,277.27987099999996,551
2021-01-14,Netherlands,0.139479,0.0761581,0.0151362,0.181944,0.0813822,3.19261e-05,0.4179733261,1.9,79.3,0.035,13.2,1019.7,23.3,45.3186,121.059,0.0,66.45,31.4269,11.604,0.24525,0.0,31.67215,244.4316,276.10375,581
2021-01-15,Netherlands,0.144378,0.0761608,0.0148201,0.183717,0.0842406,3.67687e-05,0.42719246870000005,1.4,78.6,0.0,8.1,1028.1,33.5,43.9967,129.34,0.0,66.3758,31.6856,11.605,0.22375,0.0,31.90935,251.3175,283.22685,599
2021-01-16,Netherlands,0.14549,0.0771661,0.0145776,0.185832,0.0848896,3.0507e-05,0.430819707,1.1,84.4,1.426,18.3,1022.9,38.0,44.6971,130.647,0.0,66.7019,36.3368,11.6065,0.197286,0.0,36.534085999999995,253.6525,290.186586,512
2021-01-17,Netherlands,0.152741,0.0771266,0.0142284,0.188599,0.0891201,2.92171e-05,0.44471771709999997,3.8,92.2,0.728,12.8,1017.9,58.5,46.538,141.471,0.0,67.4489,39.0959,11.6074,0.178143,0.0,39.274043,267.0653,306.339343,566
2021-01-18,Netherlands,0.159207,0.0771433,0.0140931,0.187927,0.092893,2.87738e-05,0.4541488738,5.0,89.0,0.032,19.2,1019.9,41.3,45.8061,149.929,0.0,68.8287,41.7996,11.6079,0.184786,0.0,41.984386,276.1717,318.156086,542
2021-01-19,Netherlands,0.158573,0.0771728,0.0139446,0.187613,0.0925229,2.88333e-05,0.45268233329999996,7.8,90.6,16.687,36.6,1005.1,36.8,48.0065,148.517,0.0,69.0414,38.3657,11.6079,0.151571,0.0,38.517270999999994,277.17280000000005,315.690071,457
2021-01-20,Netherlands,0.154055,0.0769012,0.013821,0.186728,0.0898869,3.00949e-05,0.4445209949,8.8,74.4,0.097,33.6,994.7,22.5,49.7009,142.177,0.0,68.3343,37.4688,11.537,0.127071,0.0,37.595871,271.7492,309.34507099999996,519
2021-01-21,Netherlands,0.143458,0.0770537,0.0137708,0.182022,0.0837037,2.58115e-05,0.42298031149999993,7.3,76.6,5.891,35.7,985.9,21.7,51.5236,126.312,0.0,67.2696,41.2833,11.4995,0.131607,0.0,41.414907,256.6047,298.019607,532
2021-01-22,Netherlands,0.139672,0.0774256,0.0137638,0.175631,0.0814951,2.6758e-05,0.410588658,4.6,83.1,2.366,19.3,990.4,54.3,51.695,120.728,0.0,66.8401,46.0473,11.4994,0.169893,0.0,46.217193,250.76250000000002,296.979693,591
2021-01-23,Netherlands,0.137755,0.0754281,0.0137515,0.170237,0.0803765,2.8027e-05,0.40214802699999996,3.2,87.4,1.268,12.5,993.8,55.8,50.5003,119.573,0.0,65.6228,44.3336,11.4991,0.178786,0.0,44.512386,247.1952,291.707586,451
2021-01-24,Netherlands,0.12783,0.0758488,0.0135068,0.165243,0.0745853,3.43958e-05,0.3811994957999999,1.9,85.9,0.63,8.8,997.4,64.7,48.068,105.856,0.0,63.9431,41.5542,11.4986,0.228,0.0,41.7822,229.3657,271.1479,503
2021-01-25,Netherlands,0.129557,0.0763307,0.0134991,0.165928,0.0755931,3.81203e-05,0.38461532029999995,1.8,85.3,1.575,14.3,1003.9,61.7,49.0248,108.012,0.0,64.3733,38.4804,11.4978,0.284857,0.0,38.765257000000005,232.9079,271.67315699999995,482
2021-01-26,Netherlands,0.137806,0.0763918,0.0134409,0.167046,0.0804062,3.88282e-05,0.3987379282,4.6,83.1,2.179,20.2,1014.5,44.8,47.5667,119.542,0.0,65.6916,38.9737,11.4979,0.335964,0.0,39.309664,244.29819999999998,283.607864,461
2021-01-27,Netherlands,0.145506,0.0767262,0.0136447,0.169354,0.0848986,3.3627e-05,0.41343692699999995,4.7,92.4,0.993,19.5,1010.6,39.1,47.9463,129.646,0.0,67.3153,38.6165,11.573,0.324321,0.0,38.940821,256.4806,295.42142099999995,463
2021-01-28,Netherlands,0.154054,0.0771869,0.0135789,0.17392,0.0898862,3.21469e-05,0.43147124689999994,4.8,95.6,9.695,12.4,1003.2,37.9,47.6659,140.786,0.0,69.1645,33.7659,11.5977,0.294357,0.0,34.060257,269.2141,303.27435699999995,455
2021-01-29,Netherlands,0.150345,0.0773081,0.0133418,0.175095,0.0877223,2.63608e-05,0.42653046080000007,7.1,90.9,9.578,26.7,994.6,48.2,48.1705,134.425,0.0,69.2752,35.6278,11.5994,0.2585,0.0,35.8863,263.4701,299.3564,500
2021-01-30,Netherlands,0.14463,0.0778863,0.0132701,0.17357,0.0843875,2.92052e-05,0.4158868052,0.7,80.8,0.0,22.5,1002.8,58.9,47.248,125.467,0.0,68.9408,39.0631,11.5996,0.286536,0.0,39.349636,253.2554,292.60503600000004,453
2021-01-31,Netherlands,0.142878,0.0779785,0.0133901,0.178261,0.0833654,2.95705e-05,0.4179240705000001,-1.1,81.1,0.0,16.6,1002.0,78.6,48.1788,122.682,0.0,68.8618,40.9458,11.5998,0.307929,0.0,41.253729,251.3224,292.57612900000004,478
2021-02-01,Netherlands,0.143169,0.0786612,0.0133394,0.182072,0.0862163,2.40172e-05,0.42482071720000003,0.7,92.4,1.547,11.6,995.3,33.9,47.547,124.364,0.0,68.1462,37.7383,11.6,0.268571,0.0,38.006871000000004,251.6572,289.66407100000004,470
2021-02-02,Netherlands,0.138894,0.0785706,0.0133107,0.184752,0.085871,2.13581e-05,0.4228490581,3.3,94.4,2.342,12.2,998.7,49.1,48.2956,117.055,0.0,68.2606,36.6043,11.5887,0.231607,0.0,36.835907,245.19989999999999,282.03580700000003,408
2021-02-03,Netherlands,0.133829,0.0786543,0.0131635,0.18447,0.0846684,2.12667e-05,0.4161521667,8.2,94.1,15.263,16.4,995.8,40.6,44.1188,110.976,0.0,66.8528,37.5038,11.5771,0.245107,0.0,37.748906999999996,233.5247,271.27360699999997,456
2021-02-04,Netherlands,0.136011,0.0787383,0.0130952,0.180053,0.0885304,2.47692e-05,0.4177143692,6.7,89.9,0.159,16.0,1010.5,67.5,43.7889,116.448,0.0,65.7539,37.977,11.5913,0.264893,0.0,38.241893,237.58209999999997,275.8239929999999,483
2021-02-05,Netherlands,0.14491,0.0790795,0.0131995,0.177807,0.0963379,2.32117e-05,0.43227761170000006,6.3,93.9,3.353,10.8,1011.0,54.8,43.6389,131.827,0.0,65.4188,32.7116,11.5907,0.271643,0.0,32.983242999999995,252.4754,285.458643,503
2021-02-06,Netherlands,0.142595,0.0810015,0.0133175,0.176969,0.0961766,1.64337e-05,0.4290745337,3.0,91.7,1.039,26.1,1009.7,16.6,45.7259,133.121,0.0,62.3433,32.4988,11.591,0.240179,0.0,32.738979,252.7812,285.52017900000004,443
2021-02-07,Netherlands,0.139369,0.0886989,0.0124418,0.176233,0.0954613,7.49808e-06,0.42351259807999997,-3.5,85.5,6.503,42.8,1002.2,13.2,48.6753,134.665,0.0,58.2096,33.6533,11.5894,0.175286,0.0,33.828586,253.1393,286.967886,209
2021-02-08,Netherlands,0.132384,0.0913792,0.0119301,0.185249,0.090677,8.71996e-06,0.42024881996,-4.5,79.5,0.976,29.6,1003.3,24.8,51.3663,128.569,0.0,54.902,40.9758,11.5534,0.170214,0.0,41.146014,246.39069999999998,287.53671399999996,379
2021-02-09,Netherlands,0.127906,0.0940547,0.0126243,0.196877,0.0876099,1.40327e-05,0.4250312327,-2.9,75.5,1.047,16.4,1008.3,93.7,53.0789,126.287,0.0,51.8098,42.9482,11.5699,0.216536,0.0,43.164736,242.7456,285.91033600000003,440
2021-02-10,Netherlands,0.13014,0.0961938,0.0126678,0.209084,0.0891401,1.89103e-05,0.4410508103,-3.2,77.2,0.176,14.1,1011.8,103.7,57.9292,131.957,0.0,50.6445,41.0158,11.5828,0.287429,0.0,41.303229,252.1135,293.416729,469
2021-02-11,Netherlands,0.123491,0.0978051,0.0127178,0.224479,0.0845857,2.1805e-05,0.445295305,-5.1,78.1,0.176,5.9,1024.9,124.4,59.4168,124.044,0.0,48.7566,39.0695,11.5827,0.366214,0.0,39.435714,243.8001,283.235814,456
2021-02-13,Netherlands,0.117362,0.0992838,0.0127555,0.255436,0.0803875,2.99967e-05,0.4659709967,-4.7,64.7,0.0,18.4,1039.2,100.9,65.5588,117.934,0.0,46.3089,44.351,11.5466,0.574,0.0,44.925,241.3483,286.2733,528
