Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Poland,0.353072,0.15209,0.00307925,0.205624,0.111818,0.000146123,0.673739373,0.0,92.3,0.0,6.1,1010.7,5.7,6.28471,36.035,4.28186,282.912,49.7134,0.0,3.03143,4.16286,56.90769,329.51356999999996,386.42125999999996,180
2021-01-02,Poland,0.368424,0.154332,0.00319577,0.210715,0.114044,0.000148078,0.6965268480000001,0.7,93.9,0.274,7.2,1016.8,11.7,6.19971,38.147,4.74571,294.667,42.831,0.0,2.73714,4.282,49.850139999999996,343.75942,393.60956,328
2021-01-03,Poland,0.36077,0.15502,0.00333891,0.21426,0.109166,0.000139891,0.687674801,1.7,95.0,0.875,13.8,1017.1,13.7,6.13543,40.194,5.26743,286.357,40.5026,0.0,2.22671,4.35407,47.08338,337.95386,385.03724,440
2021-01-04,Poland,0.374116,0.155961,0.00345867,0.216462,0.11039,0.000135235,0.7045619049999999,2.8,94.7,0.027,12.3,1017.0,9.6,6.048,41.9784,5.84171,296.472,33.5549,0.0,2.00614,4.45364,40.014680000000006,350.34011,390.35479,441
2021-01-05,Poland,0.387614,0.156993,0.00350341,0.220365,0.111549,0.000126786,0.7231581960000001,3.2,96.3,6.105,17.0,1012.0,6.5,5.91214,42.9806,6.41214,307.189,30.0,0.0,1.82214,4.49964,36.321780000000004,362.49388000000005,398.81566000000004,295
2021-01-06,Poland,0.394711,0.152495,0.00353403,0.225892,0.110791,0.000123861,0.7350518909999999,1.8,94.3,0.884,9.5,1011.6,8.0,5.77671,42.8571,6.88029,313.08,26.3963,0.0,1.746,4.51186,32.65416,368.59409999999997,401.24825999999996,320
2021-01-07,Poland,0.415202,0.154144,0.00375707,0.229514,0.113764,0.000133657,0.762370727,1.0,94.7,1.938,7.8,1009.7,8.3,5.729,43.5533,7.21471,330.265,24.9696,0.0,1.58071,4.54986,31.10017,386.76201,417.86218,294
2021-01-08,Poland,0.438003,0.160928,0.00409124,0.234012,0.120011,0.000144018,0.7962612579999999,0.6,89.4,0.039,7.4,1012.9,13.3,5.73,43.7426,7.383,349.898,25.4819,0.0,1.67629,4.65064,31.80883,406.7536,438.56243,435
2021-01-09,Poland,0.447509,0.162221,0.00410238,0.238841,0.122616,0.000144479,0.8132128590000001,-0.2,95.2,0.82,12.9,1017.0,8.1,5.73071,43.7883,7.50657,358.061,25.8936,0.0,1.61929,4.72386,32.23675,415.08657999999997,447.32332999999994,312
2021-01-10,Poland,0.455836,0.162261,0.00410908,0.241815,0.124897,0.000140186,0.826797266,0.0,96.8,0.296,9.8,1022.4,6.9,5.69886,43.8159,7.55043,365.27,22.2589,0.0,1.71314,4.80707,28.77911,422.33518999999995,451.11429999999996,394
