Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Romania,0.0540719,0.0358472,0.00138976,0.045486,0.0378059,5.77654e-05,0.1388113254,5.9,86.9,0.454,8.0,1013.9,3.5,1.76129,28.9771,0.0,26.6911,33.3839,33.9621,1.31186,37.9364,72.63216,91.39159000000001,164.02374999999998,39
2021-01-02,Romania,0.0532258,0.0363028,0.00150725,0.0457181,0.037535,5.67605e-05,0.13804291049999998,3.8,89.3,0.0,4.2,1022.6,5.3,1.73986,29.9477,0.0,25.4226,31.8344,33.959,1.71471,42.5557,76.10481,91.06916000000001,167.17397,132
2021-01-03,Romania,0.0527853,0.0356298,0.00158276,0.0455811,0.0375017,6.05123e-05,0.13751137230000002,6.9,97.4,0.319,4.2,1020.2,3.5,1.71657,30.212,0.0,24.9061,30.858,33.955,1.76,45.1666,77.78460000000001,90.78967,168.57427,226
2021-01-04,Romania,0.0517646,0.035547,0.00170669,0.0451928,0.0371182,6.2506e-05,0.135844796,8.9,97.0,0.017,7.0,1015.7,2.3,1.68786,30.3181,0.0,24.012,32.6458,33.9331,1.64714,47.3739,81.66684000000001,89.95106000000001,171.6179,247
2021-01-05,Romania,0.0510211,0.0355244,0.00186062,0.0455352,0.0369412,6.70321e-05,0.1354251521,8.1,88.8,6.163,10.7,1010.4,1.7,1.67529,30.4771,0.0,23.3119,32.873,33.9437,1.50057,49.3611,83.73467,89.40799,173.14266,190
2021-01-06,Romania,0.0504364,0.0358341,0.0019928,0.0464102,0.0368706,6.79365e-05,0.1357779365,5.2,88.6,0.0,4.0,1017.5,2.5,1.65186,30.9321,0.0,22.5641,29.5921,33.9483,1.585,51.2107,82.3878,89.09636,171.48416,215
2021-01-07,Romania,0.0494171,0.0374471,0.00236827,0.0471685,0.0364781,8.15234e-05,0.13551349340000002,6.6,89.4,0.329,7.2,1013.8,3.6,1.65371,31.8317,0.0,21.197,30.2134,33.9109,1.58729,52.7954,84.59609,88.59331,173.1894,219
2021-01-08,Romania,0.0506223,0.0434722,0.00277372,0.0480814,0.0373678,0.000101609,0.13894682900000002,3.3,95.2,14.051,5.8,1013.9,1.0,1.67543,33.1983,0.0,21.3613,28.3287,33.8301,1.264,57.4343,87.027,90.06513000000001,177.09213,263
2021-01-09,Romania,0.0509488,0.045884,0.00289734,0.0499189,0.0376088,0.000104068,0.141477908,2.0,93.9,4.823,3.7,1019.4,1.7,1.69771,33.7066,0.0,21.3233,28.3281,33.8319,0.927,58.5311,87.78620000000001,90.55950999999999,178.34571,192
2021-01-10,Romania,0.0526747,0.0478862,0.0029782,0.0514251,0.0388828,0.000100308,0.146061108,1.4,98.2,7.853,5.9,1022.6,1.7,1.70286,36.0589,0.0,21.3223,24.6509,33.8331,0.902714,60.9643,86.517914,92.91716,179.43507400000001,245
