Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Slovakia,0.0166435,0.0161617,0.000223621,0.0263037,0.0306949,6.87762e-06,0.07387259862,-0.2,96.8,0.003,7.5,1010.9,8.8,8.52886,6.07975,1.17757,3.86329,0.0,46.9364,0.428429,12.5377,12.966128999999999,66.58587,79.551999,8
2021-01-02,Slovakia,0.0175724,0.0166854,0.000216622,0.0268609,0.0326249,6.85456e-06,0.07728167656,2.2,97.5,0.012,9.9,1014.4,23.8,8.43571,6.4558,1.17671,4.10971,0.0,47.1229,0.377857,12.5685,12.946357,67.30083,80.24718700000001,28
2021-01-03,Slovakia,0.0184521,0.0169826,0.000185562,0.02744,0.0344631,3.70913e-06,0.08054447113,3.9,98.7,0.978,8.9,1012.2,10.7,8.34086,6.8377,1.16814,4.33386,0.0,47.0914,0.308143,12.5126,12.820743,67.77196,80.59270300000001,24
2021-01-04,Slovakia,0.018776,0.0170494,0.000182931,0.0278899,0.0352882,3.66885e-06,0.08214069985,4.0,99.8,0.216,4.9,1013.2,4.7,8.31743,7.12387,1.17343,4.32271,0.0,47.078,0.317857,12.7834,13.101257,68.01544000000001,81.11669700000002,19
2021-01-05,Slovakia,0.0186203,0.017129,0.000189415,0.0283896,0.0351973,2.18946e-06,0.08239880446,2.7,98.4,0.0,8.8,1011.0,9.5,8.35929,7.43089,1.179,4.056,0.0,47.0994,0.265429,12.5779,12.843328999999999,68.12458000000001,80.967909,22
2021-01-06,Slovakia,0.0184619,0.0167812,0.00018086,0.0289501,0.0351021,2.11114e-06,0.08269707114,1.1,98.9,7.28,6.7,1011.0,11.4,8.41986,7.71161,1.183,3.80486,0.0,47.1193,0.258429,12.0705,12.328928999999999,68.23863,80.567559,17
2021-01-07,Slovakia,0.0183322,0.0170446,0.000165157,0.0294769,0.0350627,3.59557e-06,0.08304055257,0.8,93.4,0.465,9.8,1014.7,33.1,8.49429,7.99275,1.19114,3.56471,0.0,46.928,0.295286,11.8626,12.157886000000001,68.17089,80.328776,22
2021-01-08,Slovakia,0.0180332,0.0178166,0.000185374,0.0300221,0.0344907,4.04126e-06,0.08273541526,-0.3,99.4,0.002,5.1,1016.7,22.9,8.59614,8.13112,1.196,3.32671,0.0,46.9277,0.324,11.6696,11.9936,68.17767,80.17127,25
2021-01-09,Slovakia,0.0176621,0.017996,0.00019381,0.0307732,0.0337811,4.04914e-06,0.08241425914000002,0.5,88.8,0.001,7.5,1021.0,30.3,8.74143,8.18104,1.21,3.09786,0.0,46.7381,0.341286,11.3595,11.700786,67.96843,79.66921599999999,19
2021-01-10,Slovakia,0.0170247,0.0182458,0.000181581,0.0312729,0.0325618,4.28592e-06,0.08104526692,-1.5,95.6,0.006,4.9,1024.2,20.6,8.87786,7.97162,1.22457,2.88857,0.0,46.7691,0.354286,11.3242,11.678486,67.73172,79.410206,20
