Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Slovenia,0.00687182,0.0117514,6.49531e-05,0.00434347,0.00276953,6.2208e-07,0.01405039518,2.0,93.6,0.486,3.0,1012.2,28.5,0.573286,1.51443,0.0,5.47471,0.0,16.6283,0.178429,17.0179,17.196329000000002,24.190725999999998,41.387055000000004,5
2021-01-02,Slovenia,0.00686115,0.0119153,6.59506e-05,0.0043653,0.00276411,2.74205e-07,0.014056784804999998,3.9,93.8,18.578,4.5,1012.2,12.4,0.571714,1.52486,0.0,5.45857,0.0,16.6119,0.143,16.6773,16.8203,24.167043999999997,40.98734399999999,3
2021-01-03,Slovenia,0.00680595,0.0122106,6.17549e-05,0.00433582,0.00274076,1.98368e-07,0.013944483268,3.3,91.7,29.132,4.3,1011.9,16.7,0.567571,1.52971,0.0,5.40443,0.0,16.6037,0.136286,16.9861,17.122386,24.105411,41.227796999999995,12
2021-01-04,Slovenia,0.00694218,0.0117481,5.48735e-05,0.00428911,0.00279439,1.98368e-07,0.014080751867999999,3.5,91.7,2.139,6.1,1012.2,16.7,0.562286,1.56014,0.0,5.51271,0.0,16.5984,0.136857,17.2646,17.401457,24.233536,41.634993,25
2021-01-05,Slovenia,0.00808548,0.0117667,5.84873e-05,0.00436537,0.00325289,3.25742e-07,0.015762553042,3.5,89.0,2.209,3.3,1011.1,28.5,0.559714,1.62014,0.0,6.53829,0.0,16.5994,0.161,17.0207,17.181700000000003,25.317543999999998,42.499244000000004,29
2021-01-06,Slovenia,0.0101344,0.0120507,6.29266e-05,0.00447805,0.00407552,3.73704e-07,0.018751270304,1.0,95.2,18.541,1.8,1011.1,9.7,0.552857,1.67971,0.0,8.40486,0.0,16.6196,0.149,16.5147,16.663700000000002,27.257026999999997,43.920727,31
2021-01-07,Slovenia,0.0120125,0.012226,6.53417e-05,0.00470956,0.00482947,2.33886e-07,0.021617105586000003,1.0,93.5,0.285,3.7,1015.3,21.3,0.548,1.74414,0.0,10.11,0.0,16.6561,0.137286,16.2903,16.427585999999998,29.058239999999998,45.485825999999996,20
2021-01-08,Slovenia,0.0137271,0.0130567,7.83735e-05,0.0049679,0.00551877,2.6447e-07,0.02429240797,0.3,92.9,5.613,3.9,1015.3,27.8,0.546571,1.72814,0.0,11.7113,0.0,16.672,0.116,16.1944,16.3104,30.658011000000002,46.968411,17
2021-01-09,Slovenia,0.0148884,0.0132493,7.95614e-05,0.00527003,0.00598567,8.21017e-07,0.026224482417,-1.1,86.6,0.0,4.3,1021.5,37.8,0.545143,1.75329,0.0,12.7744,0.0,16.6853,0.138286,15.7249,15.863186,31.758133,47.621319,4
2021-01-10,Slovenia,0.0160814,0.0135751,8.00092e-05,0.00545799,0.00646529,9.17471e-07,0.028085606670999998,-0.9,80.7,0.365,7.6,1022.3,16.9,0.545857,1.78457,0.0,13.8633,0.0,16.6896,0.125571,14.8516,14.977171,32.883327,47.860498,11
