Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Spain,0.0741728,0.215606,0.0175717,0.123263,0.103494,0.0046184,0.3231199,3.5,72.1,0.972,16.6,1010.9,94.5,20.4096,102.819,2.68514,6.81014,214.953,170.725,33.7469,128.492,377.19190000000003,303.44888000000003,680.64078,941
2021-01-02,Spain,0.0768564,0.217388,0.017614,0.124598,0.106043,0.00458289,0.32969429,1.9,55.5,0.0,13.5,1014.8,105.3,20.3957,107.148,2.74329,6.72357,221.769,170.751,33.13,128.899,383.798,307.76156000000003,691.55956,1712
2021-01-03,Spain,0.0805918,0.217786,0.0176857,0.12644,0.110026,0.0046258,0.33936930000000004,2.1,63.3,0.0,12.0,1016.4,104.0,20.4083,113.02,2.85386,6.67157,214.045,170.777,33.8274,130.624,378.4964,313.73073,692.2271300000001,1856
2021-01-04,Spain,0.0915579,0.220707,0.0176474,0.129002,0.123547,0.00462395,0.36637825,2.5,63.8,0.0,12.4,1012.6,82.5,20.5663,129.476,3.07443,7.06843,207.849,170.796,33.9303,133.097,374.8763,330.98116000000005,705.85746,1566
2021-01-05,Spain,0.100883,0.221306,0.0176325,0.135255,0.134682,0.00447002,0.39292252,0.8,69.7,0.0,4.4,1013.4,108.3,20.9111,141.824,3.23757,8.40886,199.963,170.822,34.7457,129.966,364.67470000000003,345.20353,709.8782299999999,1255
2021-01-06,Spain,0.104758,0.204326,0.0172557,0.139191,0.13827,0.00424564,0.40372034,1.2,62.6,0.0,5.3,1014.4,109.1,21.0564,142.565,3.33671,11.5644,176.812,170.842,32.5203,125.468,334.8003,349.36451,684.16481,1160
2021-01-07,Spain,0.11992,0.21257,0.0174236,0.139445,0.156999,0.00432029,0.43810789000000006,0.7,75.0,2.025,8.7,1013.9,20.2,21.0366,157.94,3.67243,16.4966,158.447,170.857,29.4167,129.67,317.53369999999995,370.00262999999995,687.5363299999999,1186
2021-01-08,Spain,0.130031,0.234879,0.0181136,0.147436,0.170237,0.00451847,0.47033607000000005,-0.1,84.4,11.656,11.8,1010.1,29.9,21.0281,164.083,4.14829,22.0433,156.56,170.877,25.9507,134.863,317.3737,382.17969,699.55339,1395
2021-01-09,Spain,0.133603,0.237104,0.016718,0.154616,0.174913,0.00422503,0.48407503,-0.5,98.3,47.306,13.2,1005.4,41.3,21.0776,161.912,4.39357,26.5353,152.523,169.442,22.6551,136.955,312.1331,383.36047,695.49357,1093
2021-01-10,Spain,0.135889,0.240167,0.0152915,0.156791,0.177907,0.00390541,0.48978391,1.2,87.1,1.17,8.0,1013.2,111.4,20.9977,159.277,4.563,30.145,157.936,169.003,19.4411,138.745,316.12210000000005,383.98569999999995,700.1078,1186
2021-01-11,Spain,0.135065,0.240904,0.0139513,0.158453,0.176828,0.00354142,0.48783872000000006,-0.7,75.0,0.011,3.2,1023.3,119.8,20.7871,151.018,4.66257,34.2196,172.045,168.998,21.006,141.586,334.637,379.68527,714.32227,814
2021-01-12,Spain,0.139238,0.243177,0.0130676,0.158658,0.18229,0.00333182,0.49658542,-3.5,79.3,0.0,2.3,1032.1,119.4,20.6259,153.394,4.71014,36.7209,186.158,168.979,23.0939,148.141,357.39289999999994,384.42994,741.8228399999999,783
2021-01-13,Spain,0.144068,0.261838,0.0122828,0.162788,0.188613,0.00310204,0.51085384,-2.2,77.3,0.0,2.9,1032.9,119.2,20.573,158.884,4.79886,37.9526,201.076,168.96,26.213,153.248,380.537,391.16846,771.7054599999999,861
2021-01-14,Spain,0.13814,0.264016,0.0119377,0.167959,0.180853,0.00291105,0.50180075,-1.0,77.5,0.0,2.7,1030.3,119.9,20.7907,150.643,4.82214,37.234,217.197,168.944,30.9016,151.673,399.77160000000003,382.43384,782.20544,896
2021-01-15,Spain,0.139657,0.263823,0.0113076,0.166243,0.182839,0.00274739,0.50279399,0.2,82.9,0.0,3.3,1030.3,117.5,20.8197,155.23,4.82771,35.9289,216.118,168.936,35.9856,150.638,402.7416,385.74231,788.48391,1148
2021-01-16,Spain,0.141305,0.26092,0.0112565,0.166319,0.184997,0.00270087,0.50657837,0.6,81.3,0.0,2.5,1030.9,122.0,21.0046,160.656,4.80329,34.2689,205.88,170.385,40.7151,151.145,397.7401,391.11779,788.85789,1023
2021-01-17,Spain,0.142663,0.2589,0.0114475,0.166539,0.186775,0.00268279,0.5101072900000001,0.9,73.0,0.0,3.0,1031.9,121.4,21.3016,164.785,4.81,33.0856,192.175,170.827,44.7417,150.362,387.2787,394.80920000000003,782.0879,1066
2021-01-18,Spain,0.149826,0.257249,0.0117297,0.166326,0.196152,0.00276955,0.52680325,2.6,78.0,0.0,3.0,1029.9,123.5,21.6236,177.429,4.82643,32.3127,168.201,170.848,46.041,151.689,365.931,407.03973,772.9707299999999,1006
2021-01-19,Spain,0.14524,0.255444,0.0116858,0.167852,0.190148,0.00279081,0.51771661,2.5,82.9,0.0,4.0,1026.4,114.0,21.6906,172.613,4.78343,30.8729,166.147,170.786,44.3594,149.264,359.7704,400.74593,760.51633,872
2021-01-20,Spain,0.133699,0.254257,0.0118299,0.163838,0.175039,0.00283444,0.48724034,3.5,94.0,1.082,6.1,1014.2,17.5,21.7633,159.875,4.62886,27.6571,180.34,170.7,39.1723,146.61,366.1223,384.62426,750.7465599999999,916
2021-01-21,Spain,0.124495,0.252101,0.0116894,0.157878,0.162989,0.00283416,0.4598855599999999,8.0,94.7,1.045,23.6,1013.1,38.3,21.7724,151.565,4.475,24.011,190.585,170.704,35.9254,143.307,369.8174,372.5274,742.3448,930
2021-01-22,Spain,0.113515,0.249717,0.0116256,0.152755,0.148614,0.00285334,0.42936294,8.1,79.5,5.953,28.0,1010.7,78.0,21.9596,141.496,4.24486,19.7926,181.755,170.679,33.2346,138.771,353.76059999999995,358.17206,711.9326599999999,1099
2021-01-23,Spain,0.104222,0.243565,0.0113523,0.14811,0.136448,0.00281079,0.40294309,6.3,91.1,0.933,24.8,1014.5,59.0,22.0619,133.215,4.05229,16.076,169.728,170.664,29.0803,133.467,332.2753,346.06919,678.34449,915
2021-01-24,Spain,0.0963435,0.238545,0.0111952,0.143564,0.126133,0.00282293,0.38005863,9.7,69.3,0.115,21.5,1012.8,98.5,22.1129,126.442,3.90586,12.7633,156.898,170.652,26.6014,129.742,313.2414,335.87605999999994,649.1174599999999,998
2021-01-25,Spain,0.0843773,0.236741,0.0110804,0.139208,0.110467,0.00280249,0.34793519,10.5,91.9,0.16,23.1,1013.1,54.0,22.3411,113.769,3.87543,9.00586,187.166,170.624,21.6279,128.856,337.6499,319.61539000000005,657.2652899999999,948
2021-01-26,Spain,0.0807525,0.235094,0.0110591,0.133424,0.105721,0.00277333,0.33372993,11.6,92.8,0.0,12.4,1022.0,101.2,22.6769,112.379,3.906,6.37314,186.752,170.681,19.3544,132.516,338.62239999999997,316.01604000000003,654.6384400000001,849
