Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Sweden,0.014541,0.0468458,0.00243113,0.00750695,0.0234488,0.000456322,0.048384202,2.7,91.7,5.052,4.1,1009.3,4.2,24.502,0.0,0.0,0.0,56.8415,172.171,0.0,236.407,293.24850000000004,196.673,489.92150000000004,147
2021-01-02,Sweden,0.0155715,0.0466452,0.00243777,0.00761697,0.0243065,0.000463737,0.050396477,1.5,95.6,7.114,5.9,1015.9,6.4,25.2407,0.0,0.0,0.0,50.5531,170.141,0.0,239.775,290.3281,195.3817,485.7098,224
2021-01-03,Sweden,0.0158333,0.0466773,0.00242297,0.00773244,0.0239984,0.000460932,0.050448042,-0.3,87.1,0.023,10.5,1026.8,6.3,26.3243,0.0,0.0,0.0,51.303,170.137,0.0,255.816,307.119,196.4613,503.58029999999997,319
2021-01-04,Sweden,0.0166925,0.0465684,0.00233682,0.00781051,0.0244126,0.000430079,0.051682509,0.3,90.2,0.09,10.5,1029.1,3.9,27.6151,0.0,0.0,0.0,39.468,168.116,0.0,250.971,290.439,195.73110000000003,486.17010000000005,341
2021-01-05,Sweden,0.0176571,0.0468485,0.00234097,0.00789783,0.0249125,0.000404692,0.053213092000000004,-0.4,87.1,0.171,10.8,1029.8,5.6,28.494,0.0,0.0,0.0,35.4736,165.996,0.0,252.004,287.4776,194.49,481.9676,287
2021-01-06,Sweden,0.0185156,0.0461412,0.00231441,0.00800197,0.0252407,0.000352627,0.054425307,-1.6,84.6,0.386,12.1,1023.6,4.2,29.6944,0.0,0.0,0.0,37.457,163.912,0.0,251.207,288.664,193.6064,482.2704,224
2021-01-07,Sweden,0.0197425,0.048627,0.00244509,0.00809645,0.0260663,0.000407395,0.056757735,0.0,94.2,2.921,11.2,1014.9,3.1,31.37,0.0,0.0,0.0,38.2867,162.499,0.0,251.257,289.5437,193.869,483.4127,323
2021-01-08,Sweden,0.0209073,0.0515,0.00270214,0.0082462,0.0276042,0.000435241,0.059895081,0.6,96.5,0.638,8.6,1016.0,5.6,33.3436,0.0,0.0,0.0,39.2693,162.519,0.0,252.74,292.0093,195.86260000000001,487.8719,350
2021-01-09,Sweden,0.0215564,0.0519985,0.00270376,0.0084525,0.0284612,0.000424455,0.061598314999999994,-0.5,91.5,0.069,5.0,1020.5,5.6,34.9461,0.0,0.0,0.0,43.2659,162.526,0.0,250.786,294.0519,197.4721,491.524,202
2021-01-10,Sweden,0.0222596,0.0530994,0.00270451,0.00858976,0.0293896,0.000412719,0.06335618900000001,-0.7,90.5,1.713,11.7,1013.1,6.8,36.1771,0.0,0.0,0.0,45.3611,162.569,0.0,248.082,293.4431,198.74609999999998,492.18919999999997,314
2021-01-11,Sweden,0.0222853,0.0543239,0.00267218,0.00870315,0.0294235,0.000424611,0.063508741,-0.3,93.3,16.026,14.4,1003.6,5.5,36.3977,0.0,0.0,0.0,49.7981,162.637,0.0,259.015,308.81309999999996,199.0347,507.8478,327
2021-01-12,Sweden,0.0221716,0.0554802,0.00256916,0.00873787,0.0292734,0.000422672,0.063174702,-1.0,89.4,12.389,11.6,991.9,3.6,37.4067,0.0,0.0,0.0,56.932,162.722,0.0,257.205,314.137,200.1287,514.2656999999999,262
2021-01-13,Sweden,0.0220365,0.0573062,0.0024608,0.00874488,0.029095,0.000448439,0.06278561899999999,-1.0,93.4,2.223,10.2,1005.6,4.5,38.2944,0.0,0.0,0.0,61.8686,162.789,0.0,257.984,319.8526,201.08339999999998,520.9359999999999,269
