Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,Switzerland,0.00603486,0.0353483,0.00508265,0.0701844,0.0158577,5.8402e-05,0.09721801199999999,0.4,92.9,11.617,5.8,1008.7,16.8,0.0,0.0,0.0,0.0,0.157305,72.0394,0.773857,25.7847,26.715862,72.0394,98.755262,252
2021-01-02,Switzerland,0.00607692,0.0360598,0.00511276,0.0689251,0.0156687,4.46031e-05,0.0958280831,0.4,88.5,0.0,11.8,1010.3,36.6,0.0,0.0,0.0,0.0,0.142019,72.0209,0.375857,26.9049,27.422776000000002,72.0209,99.443676,581
2021-01-03,Switzerland,0.0060595,0.0361711,0.00539752,0.068335,0.0153258,4.30445e-05,0.09516086450000001,-0.7,88.1,0.415,6.1,1011.6,24.3,0.0,0.0,0.0,0.0,0.147377,72.0041,0.224429,26.7826,27.154405999999998,72.0041,99.158506,723
2021-01-04,Switzerland,0.00638676,0.0364259,0.00538504,0.0694472,0.0157534,4.24241e-05,0.0970148241,-1.5,84.8,3.033,5.5,1012.2,14.2,0.0,0.0,0.0,0.0,0.143377,72.0223,0.27,32.0782,32.491577,72.0223,104.51387700000001,500
2021-01-05,Switzerland,0.00677347,0.0364932,0.00543775,0.071093,0.0163289,4.22913e-05,0.09967541129999999,-1.3,85.5,3.033,6.8,1012.5,13.6,0.0,0.0,0.0,0.0,0.077,72.0277,0.272143,38.4651,38.814243,72.0277,110.84194299999999,389
2021-01-06,Switzerland,0.00711362,0.0357293,0.00545272,0.0719793,0.0167887,4.11801e-05,0.10137552009999999,-1.1,80.1,3.058,4.5,1015.0,20.1,0.0,0.0,0.0,0.0,0.0387143,72.0411,0.324429,44.0039,44.3670433,72.0411,116.40814329999999,364
2021-01-07,Switzerland,0.00763954,0.0365097,0.00563477,0.072712,0.0177093,4.93023e-05,0.10374491229999999,-0.9,77.3,2.841,4.2,1016.9,48.0,0.0,0.0,0.0,0.0,0.0422857,71.9564,0.568429,52.4474,53.058114700000004,71.9564,125.01451469999999,394
2021-01-08,Switzerland,0.00784976,0.0390883,0.00600634,0.0743344,0.0181966,6.6629e-05,0.10645372899999998,-1.5,74.0,0.0,5.7,1015.9,71.7,0.0,0.0,0.0,0.0,0.0321429,71.9493,0.962857,55.5103,56.505299900000004,71.9493,128.4545999,484
2021-01-09,Switzerland,0.00815051,0.039527,0.00597202,0.0765548,0.0188938,7.95144e-05,0.1096506444,-3.5,81.1,1.03,8.7,1020.5,56.9,0.0,0.0,0.0,0.0,0.113071,71.9717,1.30414,59.9872,61.404411,71.9717,133.376111,459
2021-01-10,Switzerland,0.00835323,0.0396751,0.00572432,0.078023,0.0193637,8.76834e-05,0.11155193339999998,-2.2,68.8,0.0,12.5,1021.4,68.0,0.0,0.0,0.0,0.0,0.167206,71.9826,1.647,62.8966,64.710806,71.9826,136.693406,552
2021-01-11,Switzerland,0.00842576,0.0399129,0.00571636,0.0799905,0.0195318,9.43829e-05,0.1137588029,-4.1,72.5,2.153,4.7,1024.8,52.8,0.0,0.0,0.0,0.0,0.194778,71.9956,1.936,63.7539,65.88467800000001,71.9956,137.88027799999998,423
2021-01-12,Switzerland,0.00855082,0.0403148,0.00562318,0.0798777,0.0198217,9.37768e-05,0.1139671768,-2.4,86.3,8.765,7.1,1022.6,16.5,0.0,0.0,0.0,0.0,0.254883,71.9977,1.95257,65.7217,67.929153,71.9977,139.926853,267
2021-01-13,Switzerland,0.00868431,0.0414343,0.00559135,0.0780566,0.0201312,9.2547e-05,0.112556007,2.4,90.0,4.275,6.1,1022.0,25.9,0.0,0.0,0.0,0.0,0.326942,71.9661,1.91929,67.8989,70.145132,71.9661,142.111232,320
2021-01-14,Switzerland,0.0085608,0.0416386,0.00564108,0.0762286,0.0198449,8.30122e-05,0.11035839219999999,4.1,89.8,13.556,12.5,1018.6,16.2,0.0,0.0,0.0,0.0,0.385727,72.0151,1.683,66.0062,68.074927,72.0151,140.09002700000002,336
2021-01-15,Switzerland,0.0088512,0.0417144,0.00548792,0.0756006,0.0205181,6.95742e-05,0.1105273942,0.2,89.6,3.757,9.4,1021.2,4.4,0.0,0.0,0.0,0.0,0.42187,72.0191,1.28614,71.1151,72.82311,72.0191,144.84221,379
2021-01-16,Switzerland,0.00885953,0.0419934,0.00531077,0.0760721,0.0205374,5.93412e-05,0.11083914119999999,-4.3,85.4,0.04,6.0,1028.9,5.7,0.0,0.0,0.0,0.0,0.383256,71.9579,0.943714,71.6937,73.02067000000001,71.9579,144.97857,365
2021-01-17,Switzerland,0.00865017,0.0423412,0.00497705,0.0742822,0.020052,4.79693e-05,0.10800938930000001,0.5,90.4,2.74,5.7,1023.0,20.5,0.0,0.0,0.0,0.0,0.390521,68.722,0.532714,71.9074,72.830635,68.722,141.552635,337
2021-01-18,Switzerland,0.00855156,0.0423632,0.00485924,0.0717864,0.0198235,4.33491e-05,0.1050640491,0.5,84.9,0.002,3.7,1029.3,62.7,0.0,0.0,0.0,0.0,0.370093,66.1686,0.307,73.0933,73.770393,66.1686,139.93899299999998,373
2021-01-19,Switzerland,0.00848688,0.0422682,0.00478984,0.0718221,0.0196735,4.9886e-05,0.104822206,-0.7,79.3,2.322,6.7,1024.2,69.6,0.0,0.0,0.0,0.0,0.381659,66.1366,0.618571,71.7438,72.74403,66.1366,138.88063,284
2021-01-20,Switzerland,0.00828636,0.042194,0.00481996,0.0725041,0.0192087,5.59841e-05,0.1048751041,0.1,85.5,1.236,4.8,1012.8,51.3,0.0,0.0,0.0,0.0,0.371198,66.0244,0.949857,68.2537,69.574755,66.0244,135.599155,339
2021-01-21,Switzerland,0.00825426,0.0421136,0.00465183,0.0712458,0.0191343,5.66292e-05,0.1033428192,2.4,89.9,0.0,4.4,1003.6,32.3,0.0,0.0,0.0,0.0,0.357645,66.01,1.11771,67.5886,69.06395499999999,66.01,135.073955,317
2021-01-22,Switzerland,0.00809703,0.0420328,0.00466136,0.0681014,0.0187698,5.94963e-05,0.09968908630000001,5.2,89.2,11.242,7.0,997.5,51.8,0.0,0.0,0.0,0.0,0.357429,65.934,1.40271,64.8069,66.567039,65.934,132.501039,394
2021-01-23,Switzerland,0.00784053,0.0417495,0.00442467,0.0650344,0.0181752,5.88551e-05,0.09553365510000002,1.6,86.7,6.054,7.1,1000.9,52.5,0.0,0.0,0.0,0.0,0.398781,65.9391,1.747,60.2186,62.364381,65.9391,128.303481,305
2021-01-24,Switzerland,0.00792326,0.0415649,0.00453528,0.0652063,0.018367,7.33974e-05,0.0961052374,1.4,73.3,0.481,7.9,1003.0,94.8,0.0,0.0,0.0,0.0,0.397,69.1377,2.09543,58.0271,60.519529999999996,69.1377,129.65723,379
2021-01-25,Switzerland,0.00793599,0.0415579,0.004474,0.0653209,0.0183965,6.94039e-05,0.0961967939,-0.2,88.1,4.455,6.7,1008.0,37.8,0.0,0.0,0.0,0.0,0.467571,71.5709,1.986,55.8413,58.294871,71.5709,129.865771,292
2021-01-26,Switzerland,0.00794585,0.0415333,0.00451218,0.0654464,0.0184194,6.8111e-05,0.096391941,-2.0,76.4,0.015,4.5,1024.3,77.8,0.0,0.0,0.0,0.0,0.425185,71.6114,1.60629,56.3841,58.415575,71.6114,130.026975,302
2021-01-27,Switzerland,0.00793281,0.0414532,0.00441922,0.0664247,0.0183891,6.02241e-05,0.09722605410000001,-1.9,88.5,10.594,4.5,1021.3,21.5,0.0,0.0,0.0,0.0,0.441392,70.9193,1.23657,57.2164,58.894362,70.9193,129.813662,272
2021-01-28,Switzerland,0.00788133,0.0414168,0.00444754,0.0661137,0.0182698,6.17251e-05,0.09677409510000001,5.6,90.7,15.662,9.4,1013.8,25.5,0.0,0.0,0.0,0.0,0.468446,70.9233,1.07843,56.501,58.047875999999995,70.9233,128.97117599999999,306
2021-01-29,Switzerland,0.00774845,0.0414692,0.00454891,0.0652256,0.0179618,5.87617e-05,0.09554352170000001,7.7,81.1,19.533,17.2,1008.2,36.5,0.0,0.0,0.0,0.0,0.510874,70.9269,1.028,54.331,55.869874,70.9269,126.79677400000001,390
2021-01-30,Switzerland,0.00778062,0.0414462,0.00467335,0.063505,0.0180363,5.79588e-05,0.0940532288,5.3,89.6,8.828,7.8,1003.9,18.3,0.0,0.0,0.0,0.0,0.500183,70.9196,0.780714,55.1227,56.403597000000005,70.9196,127.32319700000002,292
2021-01-31,Switzerland,0.00769382,0.0410844,0.00471008,0.0611816,0.0178351,4.92817e-05,0.09146988169999999,5.6,88.3,0.324,4.5,1000.0,35.5,0.0,0.0,0.0,0.0,0.459049,70.899,0.728714,53.816,55.003763,70.899,125.902763,380
2021-02-01,Switzerland,0.00763776,0.0410061,0.00461466,0.058505,0.0180807,5.07136e-05,0.08888883360000001,5.8,90.8,12.107,7.2,998.3,30.8,0.0,0.0,0.0,0.0,0.456778,70.9474,0.899143,52.682,54.037921000000004,70.9474,124.985321,279
2021-02-02,Switzerland,0.00735489,0.0409555,0.0045641,0.0542515,0.017765,4.47879e-05,0.0839802779,7.7,89.9,2.89,7.8,1009.2,36.0,0.0,0.0,0.0,0.0,0.508959,70.8841,1.14386,47.8196,49.472419,70.8841,120.35651900000002,240
2021-02-03,Switzerland,0.00728929,0.0409913,0.00462942,0.0497859,0.0179663,4.94286e-05,0.0797203386,8.5,85.2,10.214,10.9,1008.6,13.3,0.0,0.0,0.0,0.0,0.514477,71.6304,1.225,45.9131,47.652577,71.6304,119.28297699999999,284
2021-02-04,Switzerland,0.00722219,0.0409728,0.00456862,0.0496466,0.0181556,5.51324e-05,0.0796481424,6.1,81.8,0.0,5.7,1015.8,43.0,0.0,0.0,0.0,0.0,0.503329,71.6356,1.45171,44.5943,46.549338999999996,71.6356,118.18493899999999,330
2021-02-05,Switzerland,0.00720012,0.0409514,0.00442407,0.050097,0.0184303,6.76938e-05,0.08021918380000001,6.0,85.5,0.0,4.5,1014.0,63.8,0.0,0.0,0.0,0.0,0.480118,71.6606,1.59529,44.0879,46.163308,71.6606,117.82390800000002,386
2021-02-06,Switzerland,0.00733219,0.0409917,0.00445154,0.0498645,0.0190729,7.26349e-05,0.0807937649,4.5,93.1,0.0,4.4,1006.5,28.9,0.0,0.0,0.0,0.0,0.461643,71.3914,1.69514,46.4369,48.593683,71.3914,119.985083,354
2021-02-07,Switzerland,0.00743451,0.0413645,0.00440776,0.0502614,0.0196019,6.66826e-05,0.08177225260000001,4.4,85.6,0.785,5.7,999.4,26.5,0.0,0.0,0.0,0.0,0.518014,71.2324,1.56671,48.3422,50.426924,71.2324,121.659324,329
2021-02-08,Switzerland,0.00752839,0.0415255,0.00458314,0.0520319,0.0198494,7.37399e-05,0.0840665699,3.5,70.4,0.083,9.7,997.1,54.6,0.0,0.0,0.0,0.0,0.495286,71.1184,1.72386,49.8581,52.077246,71.1184,123.19564599999998,308
2021-02-09,Switzerland,0.0077002,0.0416759,0.00463893,0.0553704,0.0203024,7.81337e-05,0.0880900637,0.6,90.5,3.129,8.5,1001.7,47.8,0.0,0.0,0.0,0.0,0.439533,71.0269,1.64114,52.8996,54.980273,71.0269,126.007173,279
2021-02-10,Switzerland,0.00789491,0.0418373,0.00468005,0.0595516,0.0208158,7.3121e-05,0.093015481,1.8,90.1,3.656,8.9,1001.3,46.9,0.0,0.0,0.0,0.0,0.411211,70.9584,1.57543,56.2484,58.235040999999995,70.9584,129.19344099999998,255
2021-02-11,Switzerland,0.00817796,0.0419915,0.00486536,0.0650637,0.0215621,7.05471e-05,0.0997396671,-3.6,82.4,0.542,11.1,1016.8,41.5,0.0,0.0,0.0,0.0,0.381071,70.8677,1.45314,61.1234,62.957611,70.8677,133.825311,394
2021-02-12,Switzerland,0.0085494,0.0420802,0.00503354,0.0710687,0.0225414,6.24482e-05,0.1072554882,-5.3,79.0,0.271,9.6,1025.8,31.8,0.0,0.0,0.0,0.0,0.400663,70.7749,1.19129,67.5369,69.128853,70.7749,139.903753,485
2021-02-13,Switzerland,0.00873818,0.0421681,0.00523476,0.0771598,0.0230392,6.61828e-05,0.1142381228,-6.8,70.5,0.0,11.6,1034.8,40.3,0.0,0.0,0.0,0.0,0.425362,70.9387,1.297,70.3318,72.054162,70.9387,142.992862,424
2021-02-14,Switzerland,0.00883095,0.0419262,0.00514801,0.0819524,0.0232838,8.18462e-05,0.11929700619999999,-5.6,71.2,0.206,7.3,1038.7,84.1,0.0,0.0,0.0,0.0,0.41641,70.9891,1.77143,71.334,73.52184,70.9891,144.51094,413
2021-02-15,Switzerland,0.00882389,0.0416674,0.00508051,0.0830119,0.0232652,8.23025e-05,0.1202638025,-0.3,73.5,0.033,4.9,1035.5,84.4,0.0,0.0,0.0,0.0,0.441553,70.9884,1.84829,71.1171,73.406943,70.9884,144.395343,345
2021-02-16,Switzerland,0.00875226,0.0414697,0.00499771,0.0807934,0.0230763,8.45158e-05,0.11770418580000001,4.0,74.4,0.335,4.4,1025.6,104.6,0.0,0.0,0.0,0.0,0.50216,70.9429,2.37286,69.4054,72.28042,70.9429,143.22332,312
2021-02-17,Switzerland,0.00854559,0.0413314,0.00500475,0.0776705,0.0225314,9.42055e-05,0.1138464455,5.5,79.9,2.056,3.6,1023.6,113.0,0.0,0.0,0.0,0.0,0.491196,70.8756,3.18029,65.2941,68.965586,70.8756,139.841186,316
2021-02-18,Switzerland,0.00829728,0.0412318,0.00491191,0.0730635,0.0218767,9.51414e-05,0.1082445314,2.6,83.0,0.0,3.1,1020.3,75.5,0.0,0.0,0.0,0.0,0.541624,70.8256,3.52029,60.8904,64.952314,70.8256,135.777914,349
2021-02-19,Switzerland,0.00792629,0.0412046,0.00484254,0.0666721,0.0208985,9.97004e-05,0.10043913039999999,6.9,75.2,0.004,4.4,1020.9,114.6,0.0,0.0,0.0,0.0,0.512532,70.734,4.20429,54.2561,58.972922000000004,70.734,129.706922,438
2021-02-20,Switzerland,0.00750967,0.0412213,0.00474461,0.0603105,0.0198001,0.000104378,0.092469258,5.1,82.0,0.0,5.8,1019.3,136.5,0.0,0.0,0.0,0.0,0.514126,70.6687,4.80157,46.9049,52.220596,70.6687,122.889296,457
2021-02-21,Switzerland,0.00736625,0.0414487,0.00488653,0.0544256,0.0194219,0.000107008,0.086207288,5.5,72.0,0.0,4.8,1020.0,142.7,0.0,0.0,0.0,0.0,0.51165,70.6169,5.08814,44.3257,49.925489999999996,70.6169,120.54239,481
2021-02-22,Switzerland,0.00713358,0.041556,0.00492442,0.0509591,0.0188085,0.000109609,0.081935209,5.0,71.0,0.0,2.5,1024.9,75.9,0.0,0.0,0.0,0.0,0.47915,70.5054,5.20357,40.5467,46.229420000000005,70.5054,116.73482,360
