Date,country,Power,Ground Transport,International Aviation,Residential,Industry,Domestic Aviation,Total CO2 [Tonne],Temperature [ºC],Relative Humidity (%),Rain [mm/h],Wind Speed [km/h],Pressure [mbar],Solar Radiation [W/m^2],Other sources,Gas,Oil,Coal,Wind,Nuclear,Solar,Hydroelectricity,Total Renewable [GWh],Total Non-Renewable [GWh],Total Electricity [GWh],Flights
2021-01-01,United Kingdom,0.207031,0.261075,0.0231956,0.412314,0.163959,0.000965902,0.807465502,2.0,91.0,0.002,7.3,1011.4,9.8,62.9393,312.161,0.0,10.3812,129.478,145.212,7.89432,19.0699,156.44222,530.6935,687.1357199999999,753
2021-01-02,United Kingdom,0.232955,0.269802,0.0241317,0.416695,0.179354,0.000990444,0.854126144,3.7,82.5,0.603,8.7,1015.8,14.6,67.9391,349.657,0.0,12.6328,101.543,144.357,8.80267,18.5408,128.88647,574.5858999999999,703.47237,1412
2021-01-03,United Kingdom,0.245059,0.270903,0.0245458,0.428162,0.184395,0.000981397,0.8831431969999999,3.8,86.0,1.985,12.1,1017.4,14.7,70.2814,366.204,0.0,14.2576,95.1755,143.555,7.82803,17.0522,120.05573,594.298,714.35373,1724
2021-01-04,United Kingdom,0.24488,0.276457,0.024957,0.438856,0.178498,0.000997112,0.888188112,4.2,81.4,0.21,19.8,1019.2,7.3,72.1708,362.375,0.0,16.3756,116.62,142.782,7.74676,15.2316,139.59836,593.7034,733.3017600000001,1571
2021-01-05,United Kingdom,0.253353,0.276196,0.0251929,0.445097,0.178555,0.00100369,0.90320159,3.7,82.4,0.994,18.3,1019.9,9.5,70.932,366.076,0.0,22.2234,128.548,142.32,8.37362,14.5366,151.45821999999998,601.5514000000001,753.00962,1329
2021-01-06,United Kingdom,0.265117,0.276404,0.0253866,0.450471,0.179999,0.000955869,0.921929469,4.0,83.0,0.435,12.1,1019.4,18.7,68.6974,373.297,0.0,29.0973,131.464,142.013,8.48442,15.4001,155.34852,613.1047000000001,768.4532200000001,1260
2021-01-07,United Kingdom,0.282646,0.277221,0.02609,0.454552,0.185663,0.000976102,0.949927102,1.0,87.5,0.0,9.1,1018.4,17.4,67.4701,388.918,0.0,36.436,130.096,141.711,8.31806,17.0151,155.42916,634.5351,789.96426,1263
2021-01-08,United Kingdom,0.305133,0.29008,0.0274031,0.459795,0.200434,0.00107624,0.9938413399999999,0.6,90.4,0.0,6.4,1018.5,10.6,66.5343,412.522,0.0,43.7193,126.818,141.409,8.28559,18.2919,153.39549,664.1845999999999,817.5800899999999,1464
2021-01-09,United Kingdom,0.313644,0.290173,0.0271021,0.469877,0.206025,0.0010783,1.0177264,1.1,89.3,0.0,5.3,1026.2,17.7,63.7327,419.623,0.0,47.5716,129.987,141.111,8.54242,18.0706,156.60001999999997,672.0383,828.63832,1195
2021-01-10,United Kingdom,0.321643,0.288852,0.0269411,0.474929,0.211278,0.00102341,1.03581451,1.0,92.8,0.0,9.2,1025.9,15.9,58.9405,425.8,0.0,51.4878,129.961,140.837,7.97959,18.178,156.11859,677.0653,833.18389,1336
