temp,humidity,precip,windspeed,sealevelpressure,solarradiation
8.7,79.1,2.571,16.9,1017.8,55.9
8.8,73.4,0,16.5,1019.2,93.3
8.2,77.7,0.016,12.1,1019.8,88.4
8.5,80.6,0.1,15.6,1015,80.6
6.5,74.9,0.001,19.2,1012,119.9
5.3,70.3,0,25.9,1011.2,
8,50.5,0,24.8,1010.3,
7.2,48.9,0,36.1,1007.1,113.6
6.4,48.2,0,28.7,1006.5,71.5
7.1,58.2,0,23.2,1012.9,
7.4,48.3,0,26,1022.8,
6.3,56.6,0,11.5,1030,
6.9,74.9,0,16.6,1031.3,
10,77.6,0,21.7,1030.2,
11.6,80.1,0,18.3,1029.1,
9.4,71.9,0,17.7,1029.4,
9.1,67.8,0,14,1029.2,
8.5,67,0,14.3,1026.5,
9.1,83.6,0,25.5,1021.6,
13.5,89.8,19.997,31.5,1010.7,
14.1,95.3,10.406,32,1015.8,
13.5,77.2,1.958,32.5,1018.3,
13.6,92.2,7.394,32,1018.5,
13.6,91,1.161,18.1,1018,
15.1,93,6.616,25.2,1018.5,
15.6,96.7,1.377,14.3,1025.1,
14.6,94.9,0.119,9.4,1027.6,
12.6,96.2,0.001,10.5,1025.2,
12.4,96.2,0.411,21.4,1023.4,
14.2,83.2,5.748,24,1021,
14.5,92.5,1.535,26.2,1021.4,
14,92.3,0.251,21.4,1021.1,
14.5,87.1,0.742,28.1,1018.2,
14.6,90.6,3.537,28.6,1013.7,
12.4,88,2.904,12.9,1009.1,
11.7,79.3,2.429,26.8,1004.4,
11.1,80.8,2.253,28.4,1006.3,
12,75.3,6.835,31.7,1012,
12.8,80.5,6.135,25.2,1009.9,
13.5,87.1,11.637,37.9,1007.8,
13.7,96.2,7.432,27.7,1012.4,23.2
15,97.4,0.188,24.2,1019.1,67.9
13.6,85.1,,16.7,,146.7
11.7,89.1,0.094,11.6,1027.1,130.2
13.3,74.8,0,12,1026.2,181
14.1,72.5,0,20.2,1025.6,174.3
14.6,87.6,0,22.4,1025.8,104
13.8,89.9,0,21.7,1021.8,103
15.1,89.8,3.048,24.1,1017.9,109.4
14.8,88.6,0.07,34.5,1016.8,85.9
