temp,humidity,precip,windspeed,sealevelpressure,solarradiation
3.5,72.1,0.972,16.6,1010.9,94.5
1.9,55.5,0,13.5,1014.8,105.3
2.1,63.3,0,12,1016.4,104
2.5,63.8,0,12.4,1012.6,82.5
0.8,69.7,0,4.4,1013.4,108.3
1.2,62.6,0,5.3,1014.4,109.1
0.7,75,2.025,8.7,1013.9,20.2
-0.1,84.4,11.656,11.8,1010.1,29.9
-0.5,98.3,47.306,13.2,1005.4,41.3
1.2,87.1,1.17,8,1013.2,111.4
-0.7,75,0.011,3.2,1023.3,119.8
-3.5,79.3,0,2.3,1032.1,119.4
-2.2,77.3,0,2.9,1032.9,119.2
-1,77.5,0,2.7,1030.3,119.9
0.2,82.9,0,3.3,1030.3,117.5
0.6,81.3,0,2.5,1030.9,122
0.9,73,0,3,1031.9,121.4
2.6,78,0,3,1029.9,123.5
2.5,82.9,0,4,1026.4,114
3.5,94,1.082,6.1,1014.2,17.5
8,94.7,1.045,23.6,1013.1,38.3
8.1,79.5,5.953,28,1010.7,78
6.3,91.1,0.933,24.8,1014.5,59
9.7,69.3,0.115,21.5,1012.8,98.5
10.5,91.9,0.16,23.1,1013.1,54
11.6,92.8,0,12.4,1022,101.2
13.3,87.7,0.071,9.5,1024.9,119.6
10.6,96.2,0.005,4.6,1025.5,34.4
9.6,93.1,0,5.6,1022.5,35.3
10.2,77.1,4.699,27.1,1013.9,125.6
10.2,75.1,0.095,26.1,1013.5,73.6
11.4,73.1,0,23.9,1015.3,146.3
10.1,89.2,0.001,16.3,1018.2,31.6
9.9,88.1,0.103,9.2,1015.2,32
10.7,84.9,0.001,8.4,1010.9,60.3
11.8,72.9,2.615,9.5,1004.6,130.8
9,89.8,10.554,8.6,1002.5,63.7
7.4,74.8,0.552,15.1,1007.7,128.9
7.4,87.4,9.13,22.1,1004.9,82.5
7.2,91.9,12.963,22.2,1006,28
9.3,74.7,7.155,22.9,1006.7,166.2
9.8,91.3,0,7.7,1018.7,47.7
11.3,77.3,,17.2,,107.5
9.7,68.9,0,7.8,1025.8,136.9
9.6,71.6,0,4.4,1029.6,160.2
10.2,73.7,0,7.1,1031.9,108.2
9.5,74.3,0,6.9,1027.8,143.6
10.4,73.7,0,4.7,1023,167.4
10,67.3,0,8.6,1019,143.3
10.7,62.7,0,6.7,1020.8,166.8
11.5,51.6,0,11.3,1009.9,162
9.7,74.8,4.693,15.4,1007.3,38.2
7.6,68.1,0.843,12.4,1017.4,151.8
8.3,71.9,0,6.1,1031.9,154
9.6,75,0,9.4,1032.3,113.6
10,72.9,0,7.7,1028.6,109.8
11.3,64.5,0,5.8,1028.1,146.4
12.4,52.8,0,4.4,1023.9,195.7
10,61.4,0,11.6,1020.7,149
8.6,73.5,0,8.2,1022.1,16.7
10.7,70.7,0,5.4,1026,96.5
11.2,73.2,0,3.1,1028.1,116
9.3,83.3,0,3,1022.1,114
10.3,72.1,0,5,1017.1,160.8
11.3,62.4,0,5.4,1019.5,173.4
10.1,71.5,0.004,4.4,1017.9,116.6
8.3,84.6,3.008,4.9,1015.1,112.3
8.5,61,0.445,8.6,1018.6,183.2
8.3,56.7,0,4.4,1023.2,215.2
11.4,67.5,0,6.6,1024,205
10.8,65.3,0,8.8,1022.3,176.6
9.3,51.4,0,6.8,1023.2,225.5
10.2,55.9,0,5.2,1025.4,223.7
11.1,48.1,0,6.4,1025.1,226.6
11.8,46.5,0,14.7,1025.1,229.5
12.6,44.2,0.001,17.8,1023.9,234.9
8.9,41.2,0,14.4,1020.4,189.5
7.3,54.6,0,10.3,1015.3,121.8
6.8,38.9,0,13.6,1018,245.1
7.7,40.3,0,7,1021.8,243
9.5,45.8,0,4.5,1019.7,233
11.4,41.3,0,3,1021.4,244.1
12.9,39.1,0,5.2,1023.3,121.4
13.2,44.8,0,5,1022.6,240.6
13.2,48.3,0,9.2,1021.1,203.8
12.4,55.3,0,7.7,1024.5,170.7
14.1,52.5,0,7.3,1026.6,237.1
15.3,38.1,0,8.9,1025.8,207.7
15.8,37.4,0,8.8,1025,103.3
16.1,33.4,0,7.5,1020.5,231.2
16.7,35,0,8.4,1014.8,197.6
13.3,80.2,7.236,5.9,1015,118.6
13,76.7,1.947,4.4,1013.2,182.4
13.4,46.8,0.099,6.6,1014.4,267.6
14.6,44.9,0,5.7,1016.4,262.3
15.4,38.5,0,5.1,1012.9,268.2
12.7,39.3,0,8.8,1015.9,268.6
12.4,66.7,0,6.3,1020.9,139.8
10.7,77.2,7.751,5.8,1018.1,91.5
12.3,75,8.877,6.6,1013.2,188.7
11.8,85.7,25.168,7.9,1013.5,149.2
10,54.3,0.1,9.1,1023.5,278.7
11.7,58.1,1.459,6.9,1021.8,97
14.2,69.8,3.388,6,1016.3,196.9
13.1,67.7,0.001,6.3,1015.2,103.4
12.2,56.8,0,6.1,1015.9,229.6
9.9,38.2,0,10.2,1019,293
11,44,0,6.4,1020.4,280.8
13.5,49.6,0,6.9,1017.2,193.5
14.1,64.2,0.034,6.1,1012.5,187
13.4,65.8,0,7.3,1010.7,202.1
12.3,82,7.513,4.2,1012.9,166.3
13.2,72.2,0,12.4,1017.4,132
12.6,71.8,1.312,12,1016.5,162.6
10.8,89.7,17.544,7.6,1012.7,49.3
13.5,81.6,0.458,7.8,1007.1,160.5
13.7,80.4,9.244,5.1,1005.1,174.1
13.4,81.1,10.419,8.4,1005.6,209.8
13.3,72.2,0.793,12.1,1007,245.5
11.6,63.7,0.001,6.3,1008.9,242.3
11.7,61.2,0.003,6.1,1012,160.3
13,52.4,0.089,7.4,1016.1,227.3
13.2,62.6,0.009,8.4,1018.4,179.9
14.7,63.2,0.001,5,1017.7,292.7
17.5,45.6,0,5.7,1015,300.8
19.2,47.8,0,6.2,1015.7,300.1
20,46.8,0,6.1,1017.6,300.4
20.8,43.5,0.095,6.2,1012.6,273.2
16.2,61,3.856,10.3,1006.5,125.6
12,66.5,0.768,11.5,1010.5,283.9
11.9,53.6,0.095,12.8,1017.9,300
14.6,55.5,0.398,14.3,1017.4,262
14.6,54.2,0.001,16.2,1015.8,223.6
16.4,47.3,0,14.9,1015.4,309.1
18.8,54.5,0,13.2,1014.5,268.7
20.1,59,0,15.3,1013.5,223.9
19.4,42,0,10.5,1016.1,302.8
20.4,40.2,0,9.9,1017.3,296.1
19.3,40.7,0,9.1,1019.6,318.3
20.1,39.8,0,6.8,1020,310.1
22,43.1,0,10.8,1012.8,284.7
17.8,36.2,0,12.5,1012.6,244.7
14.7,51.9,1.588,11.2,1015.4,173
15.7,55.3,0.047,9.7,1019.2,214.7
18.7,45.5,0,7.9,1020.4,318.3
20.3,54,0.001,9.7,1016.6,276.5
21.3,49.9,0,7,1013.9,252.9
20.9,59.1,1.664,7.6,1014.6,221.6
23.1,48.9,0.007,5.7,1016.3,265.1
24.4,46,0,11.4,1013.4,288.5
23.8,48.1,1.618,11.4,1011,259.5
20.1,68.4,6.406,11.9,1009.7,264.3
19.5,58.4,0,7.9,1013.3,312.7
22.5,51.3,0,10.9,1013.9,272.4
22.5,42.4,0,10.3,1016.7,318.7
18.3,73.9,8.287,10.4,1020.3,129.6
20,67.3,5.862,6.6,1019,273.8
23.7,45.3,0,8.6,1017.2,297.9
25.6,35.8,0,9.5,1016.5,298.9
26.2,31,0,10.2,1016.3,303.9
26.8,36.5,0,10.2,1014.5,311
25.3,43.4,0.096,10.2,1012.9,262.5
23.6,50.3,0.497,13.7,1016.6,311.4
25.4,38.7,0,13.6,1017.5,228.1
26.4,37.3,0,8,1015.8,280.3
26.7,36.8,0,12.6,1013.7,269.3
24.8,47.2,41.734,11.1,1009.4,241.7
17.7,83.6,9.002,10.2,1009.8,157.1
19.2,71.6,1.408,12.6,1011.4,172.5
18.8,56.4,0,9.7,1013.5,316.6
17.1,68.6,0.012,18.9,1011.5,223.4
17.6,60.4,0,18.1,1010.9,285.2
17.5,63.1,0.209,9,1014.1,126
18.7,56.5,0.002,7.3,1016.4,243.1
20.7,46.4,0,8.5,1018.6,320
23.9,42.4,0,8,1016.3,306.5
25.6,40.1,0,12.7,1012.1,308.6
24.1,32.2,0,20.4,1010.7,311.6
21.5,34.5,0,11.8,1013.8,327.7
22.9,36.4,0,7.2,1014.6,319.3
24.9,36.5,0,11.1,1013.3,315.3
25.8,31.5,0,12,1013.8,312.8
26.5,26.1,0,13,1013.9,315.9
25.9,35.8,0,15.4,1013.4,298.5
25.5,40,0,15.1,1013.3,311.5
26.5,42.3,0,15.7,1011.8,311.9
20.6,60.4,1.131,13.5,1012.1,82
19.8,50,0.001,10.1,1015.5,321.3
21.9,38.8,0,8,1019.6,317.2
25.1,39.5,0,7.4,1017.6,303.5
28.2,36.6,0,8.9,1013.9,299.7
30.1,27.7,0,14,1010.4,234.9
24.2,33.4,0,19.4,1011.6,299.1
20.7,36,0,8.8,1018.1,318.8
21.7,38.4,0,7.6,1017.7,292.5
23.6,37.4,0,8.2,1016.3,308.8
27,33.2,0,6.8,1015.1,301.7
29.3,26.4,0,7.9,1013.5,297.2
29.6,26.8,0,10.7,1011.7,303.8
28.4,30.2,0,8.9,1010.2,296.7
28.6,27.7,0,8.9,1010.8,294.8
28.9,28.4,0,7.7,1013.7,291.3
30,26.6,0,10,1013.3,296.4
27.6,25.2,0,14.8,1010.2,294.3
25,30.4,0,9.8,1009.4,303.8
24.5,33.2,0.001,9.8,1009,278.4
22.8,59.9,6.007,6.9,1011.6,264
26,46.3,0,11.6,1011.2,295.1
27.7,36.2,0,9.9,1009.7,293.6
28.5,42.1,0,12.5,1010.1,291.8
27.7,32.3,0,15,1009.5,293.9
23,42.1,0.001,14.8,1009.8,290.4
20.3,48.3,0,7.9,1014.4,287.2
23.2,35.3,0,7.7,1012.8,297.1
24.8,43.1,0,11.1,1013.3,264.8
25.9,38,0,13.8,1012.5,294.5
26.7,32.4,0,10.1,1012.6,294.6
26.6,31.8,0,16.1,1008.1,291.4
24,33.8,0,13.8,1007.1,294.4
23.5,33.3,0,7.2,1011.8,291
26.5,49.6,0,8.2,1013,276.2
28.4,46.4,0,8.7,1012.9,271.7
30.6,35.7,0,9.6,1015.3,254.3
30,33.1,0,11.9,1015.1,270.1
31.3,24.8,0,9.3,1016.9,259.2
32.6,25.3,0,8.9,1015.9,246.8
31.8,23.4,0,13.1,1014.7,242
28.7,23.7,0,8.6,1013.9,272
