datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,-0.7,92.5,0,5.9,1010.9,8.8
2021-01-02,2.8,85.3,0,8.4,1013.3,21
2021-01-03,4.8,83.4,0.3,11.3,1011.1,20.9
2021-01-04,3.1,85.2,0.999,4.8,1013.6,8.4
2021-01-05,4.4,86,0,7.3,1011.4,9.5
2021-01-06,2.8,84.2,6.104,9.6,1010.8,29
2021-01-07,2.8,75.3,0.102,11.4,1014.6,29.5
2021-01-08,2.9,71.2,0,8,1016.2,47.8
2021-01-09,2.4,71.6,0,10.7,1021,31.5
2021-01-10,0.5,72.8,0,6,1024.4,35
2021-01-11,-0.8,71.1,0,8.7,1023.4,58.3
2021-01-12,-1.1,73.7,0.604,11,1014.9,30.7
2021-01-13,3.3,63.4,0.099,23.4,1012.6,60.1
2021-01-14,2.1,65.2,0.797,21,1012,22.7
2021-01-15,1.3,72.3,0.2,15.5,1019.7,34.3
2021-01-16,-1.4,68,0.901,18,1022.6,46
2021-01-17,-1.6,63,0.199,15.1,1019.7,38.7
2021-01-18,-0.7,70.1,0.499,9.3,1023.3,22.6
2021-01-19,4.6,61.9,0.004,16.4,1018.7,47.9
2021-01-20,6.6,73,0.301,9.4,1012.9,69.4
2021-01-21,2,87,0,4.6,1008.3,31.5
2021-01-22,5.7,78.9,0,7.3,1000.5,44.7
2021-01-23,7.6,66.3,0.001,19,997.2,14.9
2021-01-24,3.7,66.4,0.599,12.3,999,46.3
2021-01-25,3.4,56.9,0,14.4,1003.1,61.6
2021-01-26,1.8,73.6,1.504,19.5,1013.4,73.6
2021-01-27,2.4,68.1,0.202,15,1016.5,57.3
2021-01-28,3.3,76.1,6.401,8.8,1008.7,38.3
2021-01-29,6.7,79.7,8.802,13.4,999.9,21.4
2021-01-30,6.3,69.1,0.403,22.6,999.9,72.3
2021-01-31,0.5,65.8,0,8.7,1005.7,59.5
2021-02-01,0.5,71.5,0,10.1,1002.2,70.1
2021-02-02,2.5,78.2,0.1,9.2,1009,53.3
2021-02-03,4.8,85.3,2.098,8.8,1008.1,25.9
2021-02-04,11.3,53.6,0,23.5,1012.6,91.8
2021-02-05,7.1,70.4,0,5.1,1016.3,52.7
2021-02-06,4.3,88.5,0.204,8.4,1012.9,13.1
2021-02-07,1.7,94.5,1.603,11.5,1002.5,6.2
2021-02-08,0.6,84.5,0.601,9,997.7,21.1
2021-02-09,1.5,78.6,0,6.7,1003.1,26.6
2021-02-10,-0.2,86.4,0.8,13.3,1004.5,15.7
2021-02-11,-5.4,69.2,0,34.4,1012.2,87.5
2021-02-12,-6.3,61.7,,19.6,,120.9
2021-02-13,-4.9,66.5,0,16.9,1038,125.8
2021-02-14,-1.9,58.3,0,15.9,1040.5,116
2021-02-15,-1.1,51.2,0,6.6,1037.2,118.6
2021-02-16,-0.3,78.2,2.096,7.2,1025.7,40.5
2021-02-17,5.7,70.1,1.701,12.5,1019.1,96.5
2021-02-18,8.4,60.9,0,7.6,1021.4,106.9
2021-02-19,4.5,81.5,0,6.5,1021,37.8
2021-02-20,3.3,91.3,0,9.4,1026.3,32.6
2021-02-21,4.6,91.7,0,15,1025.4,16.2
2021-02-22,5.4,83.2,0,7.5,1026.7,37.5
2021-02-23,6.9,82.1,0,5.4,1035,98.9
2021-02-24,9.1,73.1,0,5.1,1036.3,115.5
2021-02-25,9.7,73.8,0,4.5,1031.5,113.4
2021-02-26,12.1,58.6,0,10.2,1027.4,128.7
2021-02-27,6.2,69.5,0.622,19.3,1034.4,72.6
2021-02-28,5.8,61.7,0,8.7,1036.2,129.1
2021-03-01,5.8,69.3,0,8.4,1034.8,111
2021-03-02,5.1,76.5,0,5.4,1035.5,121.7
2021-03-03,5.9,78.4,0,5.8,1030.5,95.4
2021-03-04,11.2,48.8,0,10.4,1018.8,57
