datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,1.7,92.6,0.782,6.5,1009.7,33.9
2021-01-02,2.1,89.8,0.023,7,1014.2,16.2
2021-01-03,2.7,86.4,0,9.8,1015.4,10.4
2021-01-04,2,89.8,0.566,13.3,1015.8,8
2021-01-05,2,87.9,0.014,12.2,1016.5,6.2
2021-01-06,2.3,90.5,0.183,9.7,1016.8,9.7
2021-01-07,1.7,92.6,1.018,10.6,1015.1,32.7
2021-01-08,1.7,91.2,1.046,9.9,1017,19.4
2021-01-09,-1.2,96.6,0.083,4.3,1024.6,46.3
2021-01-10,-0.2,94.8,0.001,5.1,1025.6,42.1
2021-01-11,3,88.8,0.094,17.7,1020.1,15.3
2021-01-12,5.7,87.4,24.656,17.8,1011.9,24.4
2021-01-13,2.4,91.8,0.092,9.4,1018.4,37.7
2021-01-14,1.6,91.6,8.343,11.1,1018.3,15.6
2021-01-15,0.5,79.1,0.82,9.8,1027.6,15.1
2021-01-16,0,83.2,0.752,12.2,1024.7,16.1
2021-01-17,3.5,91.3,4.159,10.8,1020.4,36.2
2021-01-18,4,89.1,0.239,14.5,1023.7,34.8
2021-01-19,5.9,88.6,7.507,27.8,1011,12.7
2021-01-20,8.3,68.8,0.992,27.1,998.5,37.4
2021-01-21,7.7,78.3,8.51,29.1,989.6,35.4
2021-01-22,4.3,84.6,5.68,12.3,993.2,58.5
2021-01-23,3.4,86.1,0.853,13.3,995.2,31.6
2021-01-24,1.1,88.6,2.886,14,998.8,41.5
2021-01-25,2.1,86.3,1.35,9.3,1005.3,52.9
2021-01-26,2.8,78.5,0.155,14.7,1018.1,63.3
2021-01-27,3.3,92.9,0.666,15,1013.5,13.5
2021-01-28,8.5,93.9,15.233,15.7,1004.1,16.3
2021-01-29,9.1,88.1,12.786,19.1,998.3,33.6
2021-01-30,3.1,93.1,10.616,15.7,1000,14.1
2021-01-31,0.7,89.7,3.763,13.1,999.5,32
2021-02-01,3.5,95.4,2.681,8,994.8,17.4
2021-02-02,7.7,91.8,5.159,15.3,999.9,26.9
2021-02-03,9.6,86.3,14.315,18,997.9,39.7
2021-02-04,7.5,84.9,0.388,12.7,1011.9,53.2
2021-02-05,8,85.1,0.091,10.2,1011.2,61.5
2021-02-06,5.5,91.5,5.695,12.6,1006.7,24.7
2021-02-07,-1.7,91.5,6.88,13.4,997.9,8.7
2021-02-08,-5.2,86.9,0.634,15.1,1000.1,9.3
2021-02-09,-6,75.3,0.463,13.5,1006.6,100.2
2021-02-10,-5.7,77.4,0.087,14.7,1010,57
2021-02-11,-5,75.9,0.002,6.9,1027.2,107.3
2021-02-12,-5.6,71.3,0,16.5,1029.6,100.4
2021-02-13,-4,57.8,0,14.9,1036.9,98.7
2021-02-14,-0.2,42.7,0,18.2,1033.9,94.9
2021-02-15,4.1,74.8,2.665,21.1,1024.6,23.2
2021-02-16,8.8,76.9,0.937,18.5,1015.9,85.6
2021-02-17,9.4,78.7,1.949,19.3,1016.4,61.6
2021-02-18,8.2,78.4,3.341,21.9,1010.1,39.7
2021-02-19,7.1,81.9,0.079,16.2,1015.8,83.7
2021-02-20,12.4,66.5,0,21.6,1010.1,101.2
2021-02-21,12.7,58.5,0,16.3,1012.5,115.5
2021-02-22,13.2,51.5,0,16.3,1018,73.5
2021-02-23,14.6,64.3,0,19,1028.2,112.2
2021-02-24,14.6,64.8,0,18.2,1028.6,130.8
2021-02-25,12.6,72.7,2.034,11.4,1027,89
2021-02-26,7.8,74,1.653,11.6,1035.2,121.6
2021-02-27,3.6,88.9,0.173,7.3,1040.4,51.8
2021-02-28,5.9,79.2,0.002,12.9,1036.4,136.7
2021-03-01,5.7,81.6,0,11.1,1032.2,113.8
2021-03-02,8.7,67.2,0,8.2,1029.7,143.8
2021-03-03,10.8,68.9,0.088,7.3,1027.9,124.1
2021-03-04,5.7,93,11.163,8.8,1022.4,11.6
2021-03-05,3.2,60.2,0.848,13.6,1028.7,160.3
2021-03-06,2.1,59.7,0,9.9,1033,162.3
2021-03-07,2.1,69.9,0,10.3,1026.5,119.3
2021-03-08,4.5,61.3,0,5.8,1023.7,141.8
2021-03-09,5.4,86.1,0.621,9.5,1020,40.6
2021-03-10,6.5,75.2,1.015,18.8,1015.5,72.2
2021-03-11,9.5,70.2,0.97,32.8,1000.9,100.9
2021-03-12,6.9,74.4,0.105,25.8,1006.6,67.8
2021-03-13,7.3,71.7,6.081,27.6,998.2,108.3
2021-03-14,5.8,77.1,3.243,15.2,1011,71.5
2021-03-15,6.4,80.8,3.268,17.7,1016.6,96.1
2021-03-16,5.3,88.7,3.974,8.4,1025,47.6
2021-03-17,5.6,86,3.227,14.2,1027.1,52.5
2021-03-18,4.8,81.4,0.145,8.5,1025.3,57.5
2021-03-19,5,65.7,0.238,16.6,1024.7,185.5
2021-03-20,4.7,70.7,0,9.8,1029.4,191.1
2021-03-21,6.2,76,0.001,14.7,1025.7,72.3
2021-03-22,5.9,72.8,0.003,8.9,1026.6,64.7
2021-03-23,8,68.1,0,10.5,1026.2,179.7
2021-03-24,9.5,64.9,0,11.4,1022.7,109.2
