datetime,temp,humidity,precip,windspeedmean,sealevelpressure,solarradiation
2021-01-01,3.6,78.4,1.738,10.8,1014.9,47.5
2021-01-02,1.2,79.8,0,9.7,1021.1,56.4
2021-01-03,5.6,86.3,0.366,12.4,1018.3,7.8
2021-01-04,6.7,91,4.373,14.1,1011.9,12.8
2021-01-05,6.6,75.7,3.266,14.4,1011.5,60.3
2021-01-06,4.9,74.9,0.008,13.3,1016.8,40.6
2021-01-07,5.1,86.3,0.824,11.1,1014.6,13.3
2021-01-08,4.6,94,9.903,13.3,1009.6,13.8
2021-01-09,0.6,94.9,8.775,11.7,1015.9,17.8
2021-01-10,1.4,92.5,21.421,18.9,1017.5,7
2021-01-11,2.6,94.1,12.7,12.3,1014.4,8.9
2021-01-12,0.2,94.6,3.012,12.1,1011.9,8.5
2021-01-13,-0.5,82,0.196,18.7,1009.7,60.1
2021-01-14,-1.8,81.5,0.409,14.9,1010,39.4
2021-01-15,-1.8,72.9,0.09,15,1014.5,49.4
2021-01-16,-4,72.1,0.064,17,1014.6,30.7
2021-01-17,-6.7,73.6,0.178,11.9,1015.5,38.7
2021-01-18,-6.9,75.9,0.18,13.9,1020.9,62.5
2021-01-19,-4,70.3,0.014,15.3,1024,52.8
2021-01-20,-2.4,76.1,0.251,6.2,1024.3,59.5
2021-01-21,-1.1,85,0,5.5,1023.6,37.5
2021-01-22,2,80.4,0,9.4,1018.8,43.2
2021-01-23,5.5,73.3,0.002,11.6,1009.9,21.3
2021-01-24,7.4,64.1,0.37,12,1003.7,61.6
2021-01-25,5.2,67.4,0.394,17.8,1000.6,57.4
2021-01-26,2,79.3,12.578,16.1,1004.8,16.7
2021-01-27,-2.2,85,4.088,19.9,1008.4,47.1
2021-01-28,-2.7,73.2,0.079,17.1,1011.9,56.3
2021-01-29,-1.4,79.7,0.031,8.7,1008.3,66.7
2021-01-30,2.5,87.2,7.323,20.1,1001.9,53.1
2021-01-31,2.9,81.9,0,25.1,1003.6,52.8
2021-02-01,8.2,74.8,0.972,15.4,1001,64.1
2021-02-02,8.6,80.4,0.013,10.5,1010.2,80.5
2021-02-03,5.9,83.4,0,8.7,1015.8,73.9
2021-02-04,6.7,75.8,0,11.3,1016.3,90.3
2021-02-05,6.9,78.2,0,7.2,1019,94.9
2021-02-06,6.1,78.6,0,5.7,1015.6,103.6
2021-02-07,5.6,77.7,0,14.7,1011.6,64.6
2021-02-08,9.6,71,0.51,18.9,1001.2,62.9
2021-02-09,10.9,59.1,0.049,15.3,1005.9,88.2
2021-02-10,10.2,61.9,0.008,12.4,1009.1,74.8
2021-02-11,9,57.1,0,31.5,1005.9,21.1
