datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,3.6,85.6,3.895,5,1011.8,34.3
2021-01-02,6.2,81.7,1.117,8.4,1012.3,11.7
2021-01-03,5.7,93.4,8.324,4.4,1011.6,9.5
2021-01-04,5.7,91.8,2.729,4.4,1011.9,14.7
2021-01-05,5.3,89.5,0.873,7.1,1011,20.4
2021-01-06,4.3,91.1,4.454,6.3,1010.6,14.8
2021-01-07,2.5,88.4,0.195,5.9,1014.9,29.5
2021-01-08,2.3,88.4,0.032,6.1,1015.3,7.5
2021-01-09,1.9,78,1.459,7.8,1020.9,16.6
2021-01-10,0.9,82.8,0.039,8.1,1022.2,8.5
2021-01-11,0.3,79.2,0.121,7.5,1021.9,34.2
2021-01-12,-0.6,81.2,0,5.8,1017,60
2021-01-13,-0.4,82.4,0,5.2,1014.9,43.1
2021-01-14,-0.5,77.3,0.003,6.9,1012.9,38.8
2021-01-15,-1.2,73.9,0,3.6,1019.9,46.1
2021-01-16,-1.1,82.7,0.017,5.7,1022.6,19.5
2021-01-17,-2.5,86.7,0.008,4.9,1019.6,10.3
2021-01-18,-1.1,73.8,0.025,5.4,1024.8,56.6
2021-01-19,0.5,73.8,0,8.6,1023.2,54.6
2021-01-20,7.4,69.9,0,15,1018.6,55.8
2021-01-21,9.8,65,0,13.9,1014.1,26.7
2021-01-22,11.3,70.7,0.059,10.4,1006.1,60
2021-01-23,9.3,81.6,7.167,8.3,997.8,12.9
2021-01-24,4.7,88,6.55,9.3,998.2,16.8
2021-01-25,1.9,88.5,19.697,5.8,1003.9,31
2021-01-26,1.4,80.9,0,7.4,1014.2,57.3
2021-01-27,0.8,74.9,0,7.7,1017.3,72.6
2021-01-28,2,75.8,0.005,8.9,1011.9,47.9
2021-01-29,6.1,80.2,0.065,11.8,1003.3,6.2
2021-01-30,5.5,87,0.01,6.7,1000.7,43.8
2021-01-31,1.6,89,0.476,9,1002.9,4.8
2021-02-01,1,83.4,5.829,6,1003.5,85.6
2021-02-02,0,93,0,4.2,1011.8,18.5
2021-02-03,6.9,81.8,0,12.1,1011.9,30.8
2021-02-04,12.9,69.7,0,12.8,1014.7,92.5
2021-02-05,11.8,73.8,0,13.3,1016,25.2
2021-02-06,12.5,71.1,0,15.2,1011.7,40
2021-02-07,10.4,80.8,0.038,6.2,1001.3,24.1
2021-02-08,8,88,0.241,7,995.6,47.5
2021-02-09,5.3,90.8,0.097,5.3,1001.6,11
2021-02-10,5.1,90.6,3.825,6.8,1004.1,28.7
2021-02-11,-1.6,78,0.242,12.3,1006.2,13.5
2021-02-12,-4.7,65.3,0.1,7,,74.8
2021-02-13,-4.6,59.1,0,11.1,1036,53.5
2021-02-14,-0.6,52.5,0.001,12,1037.9,120.9
2021-02-15,-1.1,54.3,0,7.1,1037.4,124.9
2021-02-16,2.7,53,0,5.1,1026.5,85.3
2021-02-17,4.5,78.6,0.085,8,1020.7,18.5
2021-02-18,3.3,90.8,3.285,3.5,1023.2,39.1
2021-02-19,8.1,75.5,0,10.7,1021.9,90.7
2021-02-20,10.4,70,0,6.8,1025.1,112.8
2021-02-21,9.4,72.9,0,7,1026.5,100
2021-02-22,10.7,66.6,0,12.1,1027.9,134.3
2021-02-23,11.9,57.1,0,5.5,1033.7,133.4
2021-02-24,10.5,60.4,0,4.3,1036.6,109.9
2021-02-25,11,60.6,0,4.2,1032.6,119.1
2021-02-26,11.4,60.8,0,3.2,1027,129.7
2021-02-27,8.2,60.1,0,10.8,1030.7,83.3
2021-02-28,6.9,56.7,0,6.2,1035.1,147.5
2021-03-01,6.3,61.5,0,5.6,1033.2,149.9
2021-03-02,6.4,63,0,3.5,1035.5,156.4
2021-03-03,7.1,57.4,0,2.8,1030.8,161.5
2021-03-04,9.7,49.5,0,8,1020.1,134.7
2021-03-05,9.2,60.9,0.066,10.2,1017.5,84.8
2021-03-06,3.7,47.7,3.964,7.4,1032.2,166.9
2021-03-07,2.2,56.9,0,3.4,1025.7,168.6
2021-03-08,4.8,56.9,0,6.3,1018.5,157.8
2021-03-09,5.2,50.8,0,9,1019.5,111.8
2021-03-10,4.9,46.3,0,4.2,1020.1,134.2
2021-03-11,6.4,55.8,0,9.1,1018.8,96.8
2021-03-12,10.4,73.8,0.42,5,1013.3,22.8
2021-03-13,9.8,73.6,15.778,7.8,1013.6,95
2021-03-14,7.1,76.4,0.474,6.8,1008.7,28.6
2021-03-15,7,55.5,9.205,6.7,1009.6,139.4
2021-03-16,7.1,48.9,0,7.8,1013.7,131.2
