datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,12.5,76.3,0,5.1,1020.7,82.7
2021-01-02,12.6,77.4,0,2.9,1022.7,60.5
2021-01-03,13,74.7,0,3.9,1022.6,87.3
2021-01-04,13.4,74.4,0,4.6,1021.1,78.5
2021-01-05,11.8,75,0,5,1021.5,72
2021-01-06,11.9,75.6,0,4.8,1024.4,76.2
2021-01-07,12.9,73,0,4.3,1023.8,92.1
2021-01-08,11.9,75.8,0,4.8,1023,87.4
2021-01-09,12.8,74.1,0,3.8,1022.2,97.7
2021-01-10,12.8,70.7,0,1,1024.2,92.2
2021-01-11,13.3,71.3,0,1.4,1025.9,76
2021-01-12,14.6,79.5,0,8.5,1022.9,80.8
2021-01-13,15.4,80.6,0.812,12.3,1010.2,47.6
2021-01-14,12.1,70.2,0.09,9.2,1007.7,49.1
2021-01-15,11.9,65.5,0.89,6.6,1013.5,106.8
2021-01-16,10.7,86.4,13.339,4.7,1010.6,55
2021-01-17,10.4,80.2,2.467,12.4,1007.6,70.3
2021-01-18,9.7,72.1,2.453,11.5,1015.2,102.2
2021-01-19,8.9,88.8,29.49,3.1,1014.2,82.8
2021-01-20,6.8,63.2,2.122,11.8,1021.5,108.4
2021-01-21,6.2,69.6,0,3,1032.1,110.9
2021-01-22,6.6,73.8,0,4.2,1030.7,105.2
2021-01-23,7.1,76.2,0,5.1,1025.5,119.8
2021-01-24,8.4,73,0,4.3,1023.2,109.6
2021-01-25,9,76.9,0,4.3,1023.3,84.4
2021-01-26,10.1,83,0,5.4,1022.8,81.4
2021-01-27,11.9,73.7,0.32,10.5,1012.5,101.1
2021-01-28,10.3,67.9,1.111,9.5,1014,75.7
2021-01-29,8.6,72,5.538,11,1014.1,115
2021-01-30,11.3,76.1,1.446,9.7,1014.3,72.4
2021-01-31,14.2,71,5.734,9.2,1015,134.1
2021-02-01,11.7,84.2,0.001,8.3,1022.7,126.9
2021-02-02,13.6,75.3,0.001,10.2,1020.6,129.7
2021-02-03,15.9,69.9,0,8.5,1017.2,108.3
2021-02-04,15,71,0.041,10,1016,98.8
2021-02-05,14.6,68.5,0,6.7,1018.8,128.3
2021-02-06,13.3,70.1,0,4,1021.6,134.1
2021-02-07,12.7,81.9,0.001,3.5,1023.1,128.5
2021-02-08,13.7,81.1,0,6.8,1024.1,97.8
2021-02-09,14.3,82,0.001,6.5,1022.3,130.1
2021-02-10,14.4,80.1,0.001,14.4,1021.1,127.3
2021-02-11,13,77.4,0,9.3,1020.2,146.6
2021-02-12,13.5,75.5,,11.7,,136.9
2021-02-13,13.5,71.8,0,6.9,1020,157.2
2021-02-14,11.8,76.9,0.001,4.2,1018.6,151.7
2021-02-15,12.6,74.2,1.129,4.4,1014.6,150.3
2021-02-16,9.2,84.3,4.689,7.6,1006.8,85.9
2021-02-17,6.6,63.9,0.03,16,1006.7,92.3
2021-02-18,7.6,53.8,0,8.1,1018.1,145.7
2021-02-19,8.4,62.1,0,9.6,1021.5,134.1
2021-02-20,8.3,64.8,0,9.1,1025.5,160
2021-02-21,8.1,62.6,0,10,1027.3,152.3
2021-02-22,8,62.3,0,10,1027.5,165
2021-02-23,10.8,51,0,7.9,1026.2,169
2021-02-24,13.4,48.8,0,8.1,1022.9,172.1
2021-02-25,11.9,57.8,0,6,1023.2,171.5
2021-02-26,12.2,59.9,0,3.3,1023.4,165.7
2021-02-27,11.9,63.6,0,3.5,1019.5,175.7
2021-02-28,12.2,70.5,0,4.9,1017.9,178.9
2021-03-01,11.9,67.4,0.799,6.8,1019.1,175.8
2021-03-02,11,77.1,3.735,5.6,1019.8,146.5
2021-03-03,11,74.9,0.64,5.9,1018.9,178
2021-03-04,12.3,63.5,4.798,8.9,1019.3,154.7
2021-03-05,12.9,66.9,0,6.9,1022.8,195.8
2021-03-06,12.9,71.3,0,4.2,1025.1,190.5
2021-03-07,13,71.8,0,10.1,1019.4,174.5
2021-03-08,12.5,67,0.001,7.3,1016.1,186.5
2021-03-09,13.3,66.1,0,3.6,1017.4,165.5
2021-03-10,14,69.8,0,10.8,1012.8,180.7
2021-03-11,14.3,72.3,0.012,17.7,1007.7,148.6
2021-03-12,12.7,51.2,7.031,14.4,1012.6,76.1
2021-03-13,12.1,62.1,0,6.5,1018.7,196.3
2021-03-14,13,73,0,5.3,1017.9,152.3
2021-03-15,14.2,81.6,0.478,3.7,1013,156.5
2021-03-16,13.5,67.7,0.471,14.4,1011.2,184.5
2021-03-17,11.6,69.3,2.088,11.8,1010.6,165.2
2021-03-18,11,71.2,0.433,11.2,1015.2,174.1
2021-03-19,12.5,64.5,0,6.5,1019.1,220
2021-03-20,12.5,70.1,0,4.2,1018.6,136.5
2021-03-21,14.9,60.7,0,7.2,1013.1,221.8
2021-03-22,17.2,65.4,0.023,11.6,1008.1,149.9
2021-03-23,16.9,70.8,2.025,18,1004.1,135.2
2021-03-24,12.4,63.6,3.423,14.7,1003.7,179.7
2021-03-25,11,49,0.901,14.8,1013.4,177.1
2021-03-26,8.8,58.2,1.95,11.4,1019.3,170.8
2021-03-27,10.1,50.3,0.023,6.5,1026,214.5
2021-03-28,10.1,55.2,0,5.3,1028.9,165.9
2021-03-29,12.3,53.9,0,8.1,1025.8,227.2
2021-03-30,13,56.5,0,5.9,1018.1,103.8
2021-03-31,13.3,67.6,7.151,6.7,1013.5,228.8
2021-04-01,11.6,69.2,0.993,6.2,1015.1,198
2021-04-02,10.7,73.5,0.585,9.2,1016.4,161.5
2021-04-03,14,66.3,0,11.6,1019.9,224
2021-04-04,13.4,69,0.001,6.3,1023.3,237.5
2021-04-05,14.6,70,0,6.5,1022.1,168.3
2021-04-06,18.2,59.2,0,10.1,1015.6,225.4
2021-04-07,19.1,56.3,0,7.8,1012.9,227.9
2021-04-08,17,66.2,0,12.5,1015.9,243.5
2021-04-09,15.4,58.5,0,15,1013.7,255.1
2021-04-10,10.1,66.5,5.601,10,1011.1,193.2
2021-04-11,10.4,58.8,0,5.8,1017,105.5
2021-04-12,10.8,58.6,0.007,5.4,1020.9,124.4
2021-04-13,12.9,59.8,0,6.7,1022,272.8
2021-04-14,14.5,63.7,0,6.5,1022,263.9
2021-04-15,16.3,60.5,0,4.3,1019.8,263
2021-04-16,18.3,53.4,0,4.7,1018,234.9
2021-04-17,21,37.5,0,7.5,1017.7,249.3
2021-04-18,24.2,34.1,0,5.7,1017.3,199.8
2021-04-19,24,39.8,0,8.8,1013.2,179.5
2021-04-20,20.9,51.7,0.006,17.8,1012.1,195.1
2021-04-21,17.9,56.9,0,14.3,1017.3,280.6
2021-04-22,17.8,56.5,0,6.4,1020,279.7
2021-04-23,18.6,61.2,0,6,1019.8,273.8
2021-04-24,21.8,45.3,0,9.1,1013.6,284.6
2021-04-25,22.6,33.8,0,8.4,1008.1,248.5
2021-04-26,19.8,53.3,0,13.4,1007.6,267.2
2021-04-27,21.4,53,0,10.4,1013.4,239.7
2021-04-28,20.6,57.6,0.001,8,1017.8,271.3
2021-04-29,21.3,48.4,0,7.5,1018.7,276
2021-04-30,24.8,29.3,0,13.2,1016.3,271.1
2021-05-01,26.2,32.8,0,13.4,1015.7,272
2021-05-02,27.1,26.7,0,10.7,1014.6,278.6
2021-05-03,28,27.4,0,8.1,1012.4,259.2
2021-05-04,25.5,43.5,0.001,10.1,1010.3,229.2
2021-05-05,24.1,46.2,0,10.7,1009.4,277.9
2021-05-06,22.6,48.9,0,13.1,1012.1,256.6
2021-05-07,24.9,40.5,0,9.7,1014.6,284.7
2021-05-08,23.5,43.6,0,5.5,1015.1,270.9
2021-05-09,25.2,47.9,0,11.3,1010.1,249.1
2021-05-10,25.3,25.6,0,12.4,1011.8,291.5
2021-05-11,23.2,46.2,0,7.9,1010.5,291.3
2021-05-12,22.3,56.9,0,7.8,1010.6,297.1
2021-05-13,22.3,61,0,9.5,1013,290.9
2021-05-14,22.1,61.5,0.001,8.5,1015.3,293.8
2021-05-15,22.2,60.2,0,8.2,1013.6,295.7
2021-05-16,21.5,50.5,0,6.4,1010.4,271.9
2021-05-17,22.2,57.6,0,10.4,1010.6,305.4
2021-05-18,22.3,58.6,0,7.4,1013.8,304
2021-05-19,23.7,59.9,0,7,1014,309.8
2021-05-20,24.4,55.5,0.001,7.6,1012.4,310.4
2021-05-21,23.6,53.2,0,12.4,1011.2,297.6
2021-05-22,22,50.6,0,14.6,1011.6,300.4
2021-05-23,22.8,38.7,0,11.3,1012.9,305.4
2021-05-24,25.8,34.3,0,13.9,1013.6,307.6
2021-05-25,27.9,32.1,0,12.8,1013.4,295.3
2021-05-26,28,31.2,0.001,8.6,1011,300
2021-05-27,25.4,52.4,0,8.4,1010.2,292.8
2021-05-28,23.7,64,0.001,10.4,1010,280.3
2021-05-29,23.6,55.2,0,9.8,1010.8,282.3
2021-05-30,23.6,59.8,0,6.6,1013.9,300.3
2021-05-31,24.1,60.2,0,11.9,1010.4,303
2021-06-01,23.7,49.1,0,15.5,1008.8,304.5
2021-06-02,22.6,52.8,0.002,14,1012.2,312.5
2021-06-03,22.9,53.4,0,9,1014.1,302.6
2021-06-04,23.5,54.6,0.004,9.2,1014.2,308.2
2021-06-05,24.8,44,0,10.3,1012.3,312.5
2021-06-06,24.8,43.4,0,10.8,1012.1,315.8
2021-06-07,24.9,40.1,0,10.6,1013.4,312.9
2021-06-08,25.6,37.5,0,7.7,1011.6,312.5
2021-06-09,26.5,36.9,0,9.2,1009.6,297.3
2021-06-10,23.8,53.2,0,11,1008.1,299.9
2021-06-11,24.3,57.1,0,14.7,1010.3,295.2
2021-06-12,23.9,58.1,0,13.3,1011.6,311
2021-06-13,24.8,56.1,0,11.4,1010.4,310.9
2021-06-14,24.1,55.7,0.026,10.8,1008.9,310.1
2021-06-15,23.9,55.8,0,10.1,1010.1,285
2021-06-16,22.8,54.8,0,15.1,1010.4,287.1
2021-06-17,24.5,51.6,0,12.8,1013.8,312.1
2021-06-18,25.3,51.6,0,9.7,1012.3,313
2021-06-19,25.8,49.2,0,11.2,1009.3,314.4
2021-06-20,24.8,56.1,0.001,8.5,1008.7,310.8
2021-06-21,24.2,67.1,1.775,8.5,1009.8,297.6
2021-06-22,25,63.7,0,9.4,1011,303.1
2021-06-23,26,59.2,0,8.2,1011.3,305.9
2021-06-24,27.1,50.5,0,7.3,1009.6,308.4
2021-06-25,28.2,52.1,0,7.6,1007.7,309
2021-06-26,30.6,37.6,0.001,12,1005.5,312.8
2021-06-27,31.3,34.3,0,8.2,1005.5,309.1
2021-06-28,32.5,33.1,0,10.8,1006.5,307.8
2021-06-29,33.1,31.2,0,12.1,1006.2,307.5
2021-06-30,32.4,34.3,0,9.9,1006.4,307.1
2021-07-01,32.6,32.2,0.001,11.9,1006.6,310.3
2021-07-02,32.7,28.9,0.001,9.8,1006,281.6
2021-07-03,28.6,45.9,0,12.2,1003.9,297.6
2021-07-04,28.8,44.5,0,8.1,1003.4,297.3
2021-07-05,28.6,47.9,0,8.7,1004.6,307.3
