datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,-0.3,84.5,0.001,4.9,1009.5,28.4
2021-01-02,-1.1,93.2,0,4.3,1014.4,8.5
2021-01-03,2.2,96.5,1.907,7.2,1011.1,5
2021-01-04,2.7,96.9,1.28,4.7,1013.9,9.8
2021-01-05,1.8,93.5,2.683,7.7,1012.9,8.4
2021-01-06,0.6,92.5,5.389,6.1,1011.6,11.8
2021-01-07,0.2,91.2,1.005,9.9,1013.2,3.2
2021-01-08,0,84.2,0.136,14.4,1014.3,33.8
2021-01-09,0.3,84.7,0.189,7,1020.6,48.3
2021-01-10,0,87.3,0.002,4.9,1024.5,17
2021-01-11,-2.1,85.1,7.434,9.4,1022.7,49.9
2021-01-12,-0.4,78.9,8.099,18.4,1010.4,12.8
2021-01-13,1,72.4,7.434,23,1011,36.4
2021-01-14,0,77.1,1.36,17.7,1013.2,22.5
2021-01-15,-0.6,82.4,15.686,12.4,1021.7,23
2021-01-16,-4,76,0.539,14,1024.1,31.3
2021-01-17,-3.5,74.6,0,6.5,1020.5,28.6
2021-01-18,-1.3,79.6,0.201,11.8,1022,29.1
2021-01-19,2.2,78.5,0.176,22.3,1015.2,30.4
2021-01-20,5.3,67.3,0,14.2,1009.7,48.7
2021-01-21,3,75,0,7.8,1005.2,47.4
2021-01-22,7.1,61.2,0,11.4,997.2,58.5
2021-01-23,3.1,89.4,2.882,9.7,995.5,13.9
2021-01-24,1.1,85.9,0.811,14.1,997.2,32.5
2021-01-25,1,73.5,0.001,8.2,1003.8,57.5
2021-01-26,-0.6,83.8,3.963,11.5,1013.3,17.4
2021-01-27,0.2,74.3,0.095,12.8,1016,59.2
2021-01-28,1.5,86.4,11.139,11.8,1006.3,16.4
2021-01-29,1.7,93.1,7.753,9.8,998.8,10.3
2021-01-30,1.6,78.7,1.317,16.2,1000.6,18.4
2021-01-31,-2.7,77.2,0,8.1,1006.4,79.3
2021-02-01,-1.9,73.4,0.001,7.3,1001.3,72.6
2021-02-02,4.1,82.1,0.344,8.5,1004.7,30.5
2021-02-03,8.3,87.3,3.324,13.4,1003,17.7
2021-02-04,7.8,69.6,0.421,21.7,1011.3,41.5
2021-02-05,2.7,87,2.813,6.7,1016.8,40.3
2021-02-06,0.6,94.9,5.463,13.3,1014.1,6
2021-02-07,-4.1,85.5,0.997,18.3,1005.3,13.3
2021-02-08,-6.4,83.1,10.388,7.4,1000.1,33.7
2021-02-09,-7.4,81,2.845,7.5,1004.9,49.6
2021-02-10,-9.5,77.1,0,11.4,1008.3,28.2
2021-02-11,-7.6,79,0,13,1018,52.6
2021-02-12,-9.6,82,,7.7,,88.3
2021-02-13,-7.1,78.7,0,10.7,1040.6,92
2021-02-14,-7.4,76.7,0,6.2,1042.8,107.4
2021-02-15,-9.5,82.2,22.305,5.9,1037.5,88.8
2021-02-16,-1.2,86.8,2.03,4.5,1022.8,59.4
2021-02-17,4.4,81.1,1.976,13.8,1018,69.8
2021-02-18,6.2,74.1,0,8.6,1020,100.3
2021-02-19,5.6,71,0,9.4,1018.1,92
2021-02-20,2.7,85.1,0,6.5,1022.8,107.8
2021-02-21,2.6,88.5,0,8.6,1025,20.6
2021-02-22,4.5,85.1,0,5.9,1026.1,55
2021-02-23,2.2,91.8,0,4.8,1035.7,94.1
2021-02-24,3.8,91.5,0,4.9,1036.4,100.5
2021-02-25,4.9,87.7,0,4.5,1031.4,114.6
2021-02-26,4.8,86,2.571,8.4,1029.5,98.4
2021-02-27,4,78.5,0,10,1036.6,53.8
2021-02-28,4.9,63.7,0,6,1037,131.5
2021-03-01,2.3,86.7,0,5.1,1036,56.1
2021-03-02,0.8,97,0,5.1,1036.2,46
2021-03-03,1.5,94.6,0.003,4.9,1031,51.1
2021-03-04,5.1,88.3,4.886,6.2,1018.6,72.1
2021-03-05,1.5,74.7,5.651,12.4,1023,51.5
