datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2.8,92.2,8.126,10.1,1005.6,5
2021-01-02,1.1,92.6,0.098,6.5,1014.1,13.2
2021-01-03,1.8,86.6,0.078,20.6,1023.2,18.3
2021-01-04,0.5,81.9,0.004,25.2,1024.7,17.2
2021-01-05,1.6,78,0,24,1023.7,12.4
2021-01-06,1.3,90.1,3.502,26.2,1015,4.3
2021-01-07,1.2,93.6,4.229,17.8,1010,11.8
2021-01-08,1.4,93,2.797,15.3,1011.9,6.2
2021-01-09,1.4,87.3,0.005,11.8,1020.6,22
2021-01-10,1.1,90.5,1.259,16.8,1018.9,11.9
2021-01-11,3.3,94.7,3.65,26,1007.8,5.6
2021-01-12,1.9,90.4,3.143,18.9,997.3,20.1
2021-01-13,1.7,90.1,2.451,23.8,999,10.2
2021-01-14,0.6,80.5,0.006,24.6,1018.2,28
2021-01-15,-3,75.4,0,17.4,1025.5,27.6
2021-01-16,-3.6,83,0,10.8,1022.8,26
2021-01-17,-2.1,88.1,0.009,5.2,1019.9,14
2021-01-18,0.5,90.6,1.438,14.3,1015.2,7.7
2021-01-19,2.5,97.3,2.997,14,1003.8,6.2
2021-01-20,5.1,96,13.536,19.2,995.3,4.5
2021-01-21,5.6,80.3,1.109,29.3,989.3,19
2021-01-22,4.8,84.9,4.927,32.3,985.2,17
2021-01-23,2.7,93.5,0,12.9,995.2,17.1
2021-01-24,2,93.7,0.005,5.6,996.2,18.1
2021-01-25,1.2,95.8,1.398,9.5,999.7,12.2
2021-01-26,0.5,88.4,0.004,11.9,1008.8,21.4
2021-01-27,0.8,95.5,1.815,12.4,1009.1,8.3
2021-01-28,-0.7,81.9,1.748,20,1003.1,32.8
2021-01-29,-2.9,86.9,0,13,1001.2,14.8
2021-01-30,-1.8,81.6,0.008,13.2,1002.7,26.8
2021-01-31,0.3,85.1,0.187,14.4,1000.9,36.2
2021-02-01,0.2,87.3,0,12.3,1001.4,38.4
2021-02-02,-0.8,84.6,0,7.7,1001.5,43.4
2021-02-03,-1.4,90.2,0.711,22.7,1004.3,16.8
2021-02-04,-3.4,80.7,0.006,18,1016,30.8
2021-02-05,-4.6,79.5,0.003,18.5,1024.3,31.5
2021-02-06,-5.1,77.5,0,23.5,1026.3,54
2021-02-07,-4.2,73,0.192,29,1021.8,20.9
2021-02-08,-3.1,73.2,0.199,32.7,1014.2,25.4
2021-02-09,-3.3,65.7,0,32.4,1011.3,61.4
2021-02-10,-3.8,70,0.089,27.2,1013.5,54.8
2021-02-11,-5.3,72.3,0,20.6,1023.1,42.1
2021-02-12,-5,71.4,,17,,66.5
2021-02-13,-3.7,77.9,0.073,11.2,1040.7,76
2021-02-14,-4,83.4,0,9.6,1039.8,72.8
2021-02-15,-1.1,83,2.707,19.6,1030,21.8
2021-02-16,-0.1,92.4,1.833,14.9,1017.1,15.8
2021-02-17,1.1,98.4,16.041,13.9,1011.3,15
2021-02-18,1.5,97.3,0.753,22.5,1016.2,11.2
2021-02-19,3.3,94.5,4.723,17.5,1009.1,43.5
2021-02-20,3.1,91.2,0,14.9,1016.7,47.1
2021-02-21,4.2,90.9,0,12,1016.6,70.1
2021-02-22,3.8,89.7,0,10.1,1019.9,82.5
2021-02-23,6.6,86.1,0,10.8,1026.7,28.7
2021-02-24,8.6,84.9,0,17.5,1026.1,58.6
2021-02-25,8.9,82,0,17.8,1022.5,81.4
2021-02-26,5.6,83.9,0.294,25.7,1025.3,86.3
2021-02-27,4.2,86.1,0,13,1034.1,97.1
2021-02-28,4.8,88.8,0,12.5,1034.3,55.8
2021-03-01,2.9,93.8,0.159,11,1033.9,57.9
2021-03-02,2.1,96,0.012,9.2,1033.7,30.3
2021-03-03,0.5,99.3,0,6.4,1025.8,53.3
2021-03-04,2.6,77.7,0,16.1,1018.4,72.6
2021-03-05,0.9,70.3,0,13.2,1025.5,109
2021-03-06,1.8,79.7,0.306,23.2,1025.2,59.9
2021-03-07,3.4,66.4,0.306,26.6,1016.8,66.6
2021-03-08,0.2,61.7,0,7.7,1022.9,119.3
