datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,0.5,96,0,8,1011.4,2.5
2021-01-02,0.8,89.3,1.079,11.5,1012.7,3.6
2021-01-03,-1,89.7,6.749,11.1,1020.4,1.2
2021-01-04,-0.8,91.9,1.188,4,1026.6,1.3
2021-01-05,-1.4,86.7,0,9.9,1028.7,1.9
2021-01-06,-1.4,85.1,0,15.2,1023.7,1.8
2021-01-07,-2,92.2,0.597,19.5,1016.5,2
2021-01-08,-3.4,88.5,0,15.2,1016.1,11
2021-01-09,-4.3,84.9,0,9,1019.4,3.9
2021-01-10,-4.3,87.4,1.105,10.6,1017.1,6.1
2021-01-11,-2,92.4,1.064,16.8,1011.1,10.5
2021-01-12,-1.2,91.3,3.417,22.1,1002.4,5.8
2021-01-13,-3.6,91.7,2.011,23,1008,7.1
2021-01-14,-7,89.4,0.8,17.6,1016.5,5
2021-01-15,-10.9,84.1,0.677,13.9,1018,10.5
2021-01-16,-9.3,86.6,1.664,8.7,1017.3,6.5
2021-01-17,-9.5,90.6,0.002,7,1018.5,16.7
2021-01-18,-3.7,94,0.303,9.4,1014.6,12.1
2021-01-19,-2.4,92.6,0.504,16.1,1011.7,12.1
2021-01-20,-7.7,82.7,0.098,16.9,1008.9,9
2021-01-21,-6.1,90.1,3.511,17.4,998.9,7.3
2021-01-22,1.7,91,0.303,14.7,992.7,9.3
2021-01-23,2.7,87.3,0,17.7,995.9,11.6
2021-01-24,1.8,94.6,2.841,10.9,995.1,7.9
2021-01-25,0.8,94.1,7.141,13.4,995,6.7
2021-01-26,0.5,93.4,4.962,9.5,998.4,8.6
2021-01-27,0.8,97.4,2.998,7.5,997.4,5.2
2021-01-28,-1.4,85.3,0.307,8.9,1002.3,12.4
2021-01-29,-1.7,92.9,5.942,12.8,994.2,10.5
2021-01-30,-4,87.2,10.123,15.1,986.3,5.6
2021-01-31,-5.3,89.2,0.995,13,989.5,5.7
2021-02-01,-3.7,91.9,3.225,13.6,998,8
2021-02-02,-2.9,90.9,2.684,12.3,1005.5,4.3
2021-02-03,-6.3,90.1,2.013,11.4,1001.2,3.1
2021-02-04,-8.5,87.2,0.386,12.6,1010.2,6.1
2021-02-05,-10.9,83.6,1.064,13.9,1017.8,9.1
2021-02-06,-10.1,80.1,0.484,13.5,1022.4,14.3
