datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2.1,92.6,0.001,8.6,1012,1.6
2021-01-02,0,91.7,3.736,14.7,1013.6,2.5
2021-01-03,-2.6,92.8,2.064,13.6,1021,0.9
2021-01-04,-1.3,91.5,0,13.1,1028.6,1.3
2021-01-05,-2.6,91.2,0,12.8,1030.8,0.3
2021-01-06,-2.9,88.9,0,14.6,1026.1,0.7
2021-01-07,-0.8,87.2,0.617,18.1,1018.6,1.5
2021-01-08,-2.5,87.7,0,16.3,1018.4,1.8
2021-01-09,-6.3,82.2,0,12,1021.6,7
2021-01-10,-4.6,89,2.625,13.7,1017.7,1.5
2021-01-11,0.1,93,3.03,20.7,1011.4,3.2
2021-01-12,-0.7,94.6,14.677,29.4,1004.3,1.8
2021-01-13,-4.1,91.5,7.555,27.2,1011.4,2.3
2021-01-14,-13.5,82.7,0.259,17.6,1020,7.5
2021-01-15,-18.6,77.7,0.093,13.2,1020.7,13.4
2021-01-16,-15.5,84,0.41,9.5,1019.9,31.3
2021-01-17,-12.1,90,0,8.8,1019.1,11.5
2021-01-18,-6.7,93.5,2.696,6.5,1015.2,4
2021-01-19,0,93.2,1.691,15.7,1011.4,3.4
2021-01-20,-3.5,82,0.176,16,1010,13.1
2021-01-21,-4.3,91.2,9.215,25.4,1001,3.7
2021-01-22,1.5,94.9,2.63,16,993.5,5.7
2021-01-23,2.8,88.7,0.005,20.1,995.6,5.7
2021-01-24,1.9,95.3,1.45,14.4,996.4,3.2
2021-01-25,1.1,94.4,7.068,15.9,996.2,2.8
2021-01-26,0.9,93.2,3.771,11.4,1000.2,9.1
2021-01-27,0.5,98.5,2.188,9,998.8,2.4
2021-01-28,-3.2,91.3,0.424,9.9,1003.1,4.8
2021-01-29,-3.7,90.9,2.134,15,996.1,8.8
2021-01-30,-5.8,88.9,4.472,18.5,987.2,7.9
2021-01-31,-6.7,90.5,2.026,11,990.1,13.8
2021-02-01,-7.5,91.7,0,8.2,998.4,9.5
2021-02-02,-4.2,87.9,0.594,10,1006.8,4.6
2021-02-03,-6.7,86.6,3.771,15.6,1003,36.4
2021-02-04,-13,82,0,15.8,1011.5,66
2021-02-05,-14.6,80.4,0,13.9,1019.9,70.8
2021-02-06,-13.2,83.2,0,11.4,1024.3,24.5
2021-02-07,-8.5,85.4,0,13.9,1022.8,15
2021-02-08,-7.3,80.8,0,10.1,1023.7,14.3
2021-02-09,-11.4,89.1,0,10.4,1021.6,19
2021-02-10,-14.2,88.4,0,10.2,1020.4,34.6
2021-02-11,-17.3,84.2,0,11.6,1023.8,57.8
2021-02-12,-16.3,86,,6.7,,74.6
2021-02-13,-5.4,90.3,0,12,1024.7,10.8
2021-02-14,-5.5,79.8,0,16.1,1026.1,61.7
2021-02-15,-7.8,77.9,0,11.8,1028.4,87.4
2021-02-16,-5.2,77.6,0,16.2,1018.3,35.2
2021-02-17,-14.1,78.5,0,11.9,1024.5,87.3
2021-02-18,-13.5,80.2,0,8,1026.8,85.3
2021-02-19,-6.4,83.8,0,13.1,1020.3,37.7
2021-02-20,-3.4,91,0.975,12.8,1016.3,8.8
2021-02-21,0.2,96.1,0.985,17.2,1015.5,15.2
2021-02-22,-6.9,89.6,0.175,20.6,1024.8,20.2
2021-02-23,-4.6,93.3,4.129,23.6,1025.8,7.4
2021-02-24,-0.8,98.3,0.571,11.3,1018.5,14.9
2021-02-25,3.2,98.3,0.196,12.1,1009.9,15.3
2021-02-26,3.6,90.8,0.247,15.5,1004.5,31.3
2021-02-27,2.5,73.4,0.414,18.5,1018.5,84.8
2021-02-28,4.2,77.9,0.006,17.5,1018.9,83.2
2021-03-01,3.7,76.8,0,14.3,1019.1,45.3
2021-03-02,3.9,67.8,0,20.7,1018.8,91.3
2021-03-03,2.5,75.6,0.427,17.3,1014.7,90.4
2021-03-04,-1.2,70.1,0.164,16.9,1007.9,86.7
2021-03-05,-3.8,57.9,0,14.8,1014.7,103.3
2021-03-06,-1.3,83.1,0.726,19.8,1006.4,36.5
2021-03-07,-4,71.1,0.523,22,995.5,52.5
2021-03-08,-5.8,61.8,0,13.7,1014.2,99.7
2021-03-09,-6.6,85.5,9.385,19.8,1018.1,26
2021-03-10,-10.5,68.3,0,23,1026.2,82
2021-03-11,-3.8,75.6,0.001,22.6,1013.3,31
2021-03-12,-1.2,87.2,2.216,21.5,990.2,16.7
2021-03-13,1.5,93.2,1.653,12.6,992.2,53.9
2021-03-14,0.8,97.5,6.612,11.2,992,26
2021-03-15,1.2,95,1.251,13.5,998.1,26.4
2021-03-16,0.3,93.9,0.252,10.3,1012.4,45.1
2021-03-17,0,89.9,1.306,9.4,1017.1,39.8
2021-03-18,-2.5,68.1,0,13.4,1017.1,78.9
2021-03-19,-5.1,58.6,0,12.5,1022.6,128.3
2021-03-20,-1.9,79.8,1.327,19.9,1010.3,47.7
2021-03-21,1.7,68.6,0.264,23.5,993.5,82.4
2021-03-22,-0.7,45.9,0,14.6,1006.1,147.5
2021-03-23,1.1,80.2,0.002,12.5,1012.4,100.8
2021-03-24,2.4,89.4,0,21.7,1011.4,69.2
2021-03-25,3.3,88.2,0,13.9,1010.4,114.7
2021-03-26,2.6,92.7,0.669,11,1015.8,116.9
2021-03-27,4.1,83.5,0,10,1017.9,131.8
2021-03-28,4.5,78.7,0.332,15.4,1017.8,63.7
2021-03-29,3.4,89.5,5.286,20.4,1017.3,21.1
2021-03-30,4.8,96,0.701,15.1,1012,34.5
2021-03-31,5.6,72.1,0.194,12.3,1012.2,112.5
2021-04-01,4.7,62.4,0,17.5,1011.6,171.8
2021-04-02,3.2,76.8,0.001,14.5,1008.1,87.1
2021-04-03,3.6,69.9,0.006,15.3,1011,94.4
2021-04-04,3.7,71.5,0,20.3,1004.1,139.1
2021-04-05,3,82.7,4.081,30.5,982.5,49.5
2021-04-06,2.3,76.4,0.307,26.9,985.1,102.5
2021-04-07,3.3,78.3,0,19.7,995.5,86.2
2021-04-08,3.9,60.7,0.32,15.9,1001.6,183.5
2021-04-09,2.6,85.7,2.005,27.7,1001.4,35.7
2021-04-10,3.5,82.9,1.711,28.6,1004.7,70.4
2021-04-11,4.7,77.3,0,16.4,1020.9,187.9
2021-04-12,8.5,62.3,0.17,14.6,1018.6,121.5
2021-04-13,5.9,74,0,13.6,1018.9,124.5
2021-04-14,4.1,73.6,0,13.2,1022.4,174.1
2021-04-15,5.2,48.3,0,10.9,1030.2,220
2021-04-16,7.7,42.3,0,16.1,1030.1,223.5
2021-04-17,10.1,32.5,0,17.6,1030.1,229.5
2021-04-18,10.3,37.1,0,14.5,1030.1,229.3
2021-04-19,9.2,46.8,0,14.2,1028.9,230.8
2021-04-20,7.5,44.7,0,17,1020.5,215.8
