datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,1.7,80.3,0.014,7,1010.7,35.7
2021-01-02,1.6,84.6,0.014,5.1,1014.8,39.2
2021-01-03,3.1,83.3,0.011,8.5,1014.1,25.8
2021-01-04,2.9,82.1,0.179,13,1013.6,9.1
2021-01-05,2.9,82.9,0.007,13,1014.7,8
2021-01-06,3.3,83.8,0.035,10.3,1016.3,7.8
2021-01-07,3.1,83.1,0.063,8.4,1017.2,17.4
2021-01-08,2.6,74,0.049,6.1,1018.5,25.8
2021-01-09,1.2,79.9,0,12.4,1023.3,47.9
2021-01-10,1.2,82.4,0.027,10.1,1025.6,48
2021-01-11,2.7,83.1,0,9.3,1023.9,19.2
2021-01-12,7,87.1,5.196,15.8,1016.9,14.1
2021-01-13,7.9,89.8,1.739,11.9,1020.9,16.2
2021-01-14,9.3,85.7,1.438,18.5,1016.8,25.5
2021-01-15,2.1,73.9,0.165,18.3,1026.3,36.4
2021-01-16,0.5,80.7,7.525,10.3,1025.7,9
2021-01-17,5.5,82.3,1.782,10.6,1023.7,32.8
2021-01-18,4.7,80.4,0,9.4,1026.9,47.3
2021-01-19,5.7,80.7,2.032,16.9,1015.9,39.1
2021-01-20,9.4,60.1,0.007,19,1000.4,45.1
2021-01-21,8.8,80.4,12.093,25.1,993,22.6
2021-01-22,6.1,81.4,5.586,10,995.4,46.4
2021-01-23,3.8,87.6,4.35,14.3,996.2,26.8
2021-01-24,1.3,86,2.405,10.9,1000.9,20.3
2021-01-25,3,74.5,0,15.2,1008,50.3
2021-01-26,2.4,71.3,0.041,11.1,1021.4,34.3
2021-01-27,5.1,91.3,3.977,10.9,1015.6,14.1
2021-01-28,11.5,88.9,8.599,15.5,1008.5,28.6
2021-01-29,10.6,76.3,1.591,20.9,1004.7,46.7
2021-01-30,9.9,86.4,10.428,12,997.7,40.5
2021-01-31,8.3,93.9,6.985,7.7,995.8,23.3
2021-02-01,8.9,82.9,0.509,12,995.7,25.9
2021-02-02,11.3,81.8,2.278,15.8,1002.3,45.6
2021-02-03,10.6,81.6,6.818,19,1001.5,47
2021-02-04,8.3,84,0.062,8.6,1011.9,49.9
2021-02-05,9.3,84.2,0.034,7.6,1011.3,44.9
2021-02-06,8.2,91.7,17.765,9.8,1004.2,12.3
2021-02-07,3.2,84.9,3.642,12.8,998.2,13.6
2021-02-08,-0.6,77.4,0.007,9.8,999.1,18.7
2021-02-09,-2.1,80.7,0.007,13.1,1003.3,13
2021-02-10,-3.1,72.1,0.921,19.9,1004.8,70.2
2021-02-11,-2.9,69.3,0,20.1,1022.5,85.6
2021-02-12,-2.1,58.9,,24.8,,72.1
2021-02-13,-2.9,53,0,17,1033.5,83
2021-02-14,-1.3,54.8,0,15.4,1032.5,77.4
2021-02-15,5.5,67.5,0.289,13.1,1026.2,40.3
2021-02-16,8.7,67,0.158,14.2,1018.3,59.9
2021-02-17,9.7,79.2,0,14.6,1018.8,72.6
2021-02-18,8.1,81.4,4.84,12.4,1011.1,24.2
2021-02-19,8.8,86.4,2.188,12.5,1016.4,71.9
2021-02-20,12.2,68.5,,16.8,,102
2021-02-21,12.7,59.5,0,12.7,1011,93.7
2021-02-22,12.6,61,0,7.2,1017.8,29.5
2021-02-23,14.2,69.8,0,12.7,1029.1,81.8
2021-02-24,13.8,68.4,0.144,10.9,1029.3,110.9
2021-02-25,12.8,68,0,9.6,1027.7,95.9
2021-02-26,9.5,67.3,1.408,14.6,1035,75
2021-02-27,6.9,65.7,0,15.3,1038,121.7
2021-02-28,6.9,66.6,0,15.3,1032.9,129
2021-03-01,8.1,57.9,0,9.3,1029,127.5
2021-03-02,9.9,60.3,0,5.6,1028.3,113.5
2021-03-03,12.5,60.6,0.032,6.6,1028,98.9
2021-03-04,9.9,79.6,0.426,10.9,1022.6,67.1
2021-03-05,5.2,60.7,0,17.8,1026.9,47.4
2021-03-06,4.6,49.5,0,16,1029.5,143
2021-03-07,4.3,54.7,0,11,1024.7,143.3
2021-03-08,3.9,59.8,0,11.8,1022.8,139
2021-03-09,6.9,60.1,0,9,1021.2,135.4
2021-03-10,6.8,67.2,0.674,15.8,1017.8,89.5
2021-03-11,10.5,74.6,4.377,25.2,1007.4,92.6
2021-03-12,7.8,74.6,1.677,17.8,1012.2,88.7
2021-03-13,8.2,73,8.365,22.7,1005,115.3
2021-03-14,7.2,70.6,1.761,17.3,1016.3,93.1
2021-03-15,8.6,76.4,3.299,19.1,1020.1,83.1
2021-03-16,7.6,86.3,1.561,10.5,1027,45.8
2021-03-17,7.4,75.2,2.382,22.1,1028.9,61.2
2021-03-18,6.3,78.8,1.102,14,1026.1,73.2
2021-03-19,6.1,65.3,0.506,20.6,1022.9,124.1
2021-03-20,5.6,67.7,0.035,13.7,1029.2,156.2
2021-03-21,7.4,72.9,0.014,14.3,1026.4,71.5
2021-03-22,6.4,64,0.007,12.9,1027.2,65.3
2021-03-23,8,60.6,0.014,5.3,1026.6,174.1
2021-03-24,10.9,59,0,9.2,1023.3,77
2021-03-25,10.1,71.8,0.715,7.5,1022.3,88.3
2021-03-26,9.3,67.4,0.893,14.7,1018.4,88.8
2021-03-27,8.5,65,0.014,15.4,1026,140.3
2021-03-28,11.4,56,0.014,11.5,1029.6,202.8
2021-03-29,14.1,48,0,7.3,1030.3,209.1
2021-03-30,16.7,44.1,0,6.7,1028.2,161.6
2021-03-31,17.5,48.1,0,5,1021.9,202.5
2021-04-01,17.9,52.8,0,9,1019.7,179.3
2021-04-02,10.4,62.4,0,21.9,1023.6,212.4
2021-04-03,8.1,58.4,0,21.3,1027,137.8
2021-04-04,7.9,64.5,0,12.6,1025.2,209.1
2021-04-05,5.4,75.3,0.027,13.3,1017.8,49.3
2021-04-06,3.4,52.8,0.446,12.9,1020,164.6
2021-04-07,4.5,58.7,0,12.1,1024.2,217.5
2021-04-08,8.1,52.5,0,6.2,1024.2,185.5
2021-04-09,9.9,59,2.617,9.1,1015.3,125
2021-04-10,10.4,87.8,18.957,11.3,1010.7,47.9
2021-04-11,6.5,76.5,5.024,16.4,1014.7,63.8
2021-04-12,6.4,62.1,0.335,10.2,1028.7,185.4
2021-04-13,6.7,59.3,0,12.4,1032.3,243.6
2021-04-14,7.2,47.9,0,13.4,1030.4,198.5
2021-04-15,6.7,58.4,0,14.5,1029.2,163.7
2021-04-16,7,54.2,0,14.9,1027.3,147
2021-04-17,9.3,56,0,16.1,1025.1,210.6
2021-04-18,9.1,60.8,0,11,1023.4,168.9
2021-04-19,11,57.9,0,7.6,1020.8,234.3
2021-04-20,13.2,50.9,0,6.3,1016.8,217.7
2021-04-21,13.4,56.3,0.277,10.6,1016.8,182.6
2021-04-22,12,54.7,0,16.2,1022.5,254.4
2021-04-23,13.3,40.9,0,13.7,1025.4,265.8
2021-04-24,13.8,41.7,0,13.7,1022.9,265.2
2021-04-25,12.3,46.9,0,19.5,1021.9,265.3
2021-04-26,12.3,44,0,18.3,1015.8,267.7
2021-04-27,13,39.8,0,10.7,1008.3,271.4
2021-04-28,13.6,48.1,0.348,9,1003.4,207.5
2021-04-29,10.3,61.8,0.247,11.1,1008.8,140.6
2021-04-30,10.5,51.9,0,9.5,1013.5,107
2021-05-01,9.6,62.1,0.114,8.7,1014.7,115.3
2021-05-02,9,67.9,0.639,7.5,1020.6,204.5
2021-05-03,11.5,56.3,0,11.9,1019.9,218.4
2021-05-04,12.1,60.6,0.188,21.1,1007.8,127.1
2021-05-05,8.9,62.3,0.552,14.6,1011.7,185.4
2021-05-06,8.5,80.1,6.616,8.8,1008.4,79.4
2021-05-07,10.5,60.3,0.16,8.4,1016.5,257.8
2021-05-08,14.9,61,0,13.6,1012.6,194.9
2021-05-09,19.1,63,0.936,14.4,1001.8,226.3
2021-05-10,15.5,70,4.025,15.5,1005,209.9
2021-05-11,12.9,72.9,0.893,9.5,1009.9,169.3
2021-05-12,12.2,67.8,0,10.8,1011.9,151.1
2021-05-13,12.3,71.5,3.388,11.5,1007.7,191.2
2021-05-14,11,80.2,4.942,10.7,1008.7,115.3
2021-05-15,11.8,80.8,7.094,13.3,1005.5,156.3
2021-05-16,12.2,79,4.505,14.1,1003.8,154.7
2021-05-17,12.6,76,2.415,15.3,1008.5,170.4
2021-05-18,12.6,69,1.334,11.4,1016.1,171.2
2021-05-19,12.1,72.6,4.395,12.3,1019.4,178.4
2021-05-20,12.9,64.3,0,14.2,1020.4,168.6
2021-05-21,13.8,59.4,0.393,19.4,1009,201.1
2021-05-22,12.1,66.8,1.948,19.3,1008.8,241.4
2021-05-23,12.9,64.6,0,14.9,1014.7,199.1
2021-05-24,11.6,72.7,2.724,18.3,1009.6,177.7
2021-05-25,11.5,70.1,2.431,17.3,1018.4,186.9
2021-05-26,12.3,75.1,8.843,14,1016.3,181.7
2021-05-27,14.9,60.8,0,5.6,1020.5,261.3
2021-05-28,16.9,57.5,0.014,10.1,1021.6,279.3
2021-05-29,17.9,54.4,0,10.6,1023.2,263.8
2021-05-30,18.4,50.4,0.007,13,1023.4,305.5
2021-05-31,19.5,42.7,0,12,1019,310.1
2021-06-01,21.3,45.2,0,9.8,1012.9,306.8
2021-06-02,21.9,64.9,0.788,11.8,1012.5,228.2
2021-06-03,21.8,68.6,0.816,7.5,1018.7,214.5
2021-06-04,18.1,83.2,31.991,10.3,1020.8,123.8
2021-06-05,16.2,76.1,0.007,12.8,1024.3,147.2
2021-06-06,17.7,60.6,0.014,9.5,1024.6,273
2021-06-07,19.1,60.5,0,8.9,1023.3,308.2
2021-06-08,20.1,60.2,0,8.7,1023,272.1
2021-06-09,21.8,53.8,0,7.7,1022.4,237.8
2021-06-10,22.5,56.2,0,8.6,1021.6,293.3
2021-06-11,21.8,62.6,0,9.6,1021,299.1
2021-06-12,20,69.7,0.014,9.9,1023.3,170.2
2021-06-13,21.1,52.7,0,12.1,1025.6,313
2021-06-14,23.7,44.8,0,7.5,1020.4,312.9
2021-06-15,24.2,54.8,0.021,7.7,1018.8,288.2
2021-06-16,26.5,53.7,0,7.8,1012.4,266.3
2021-06-17,23.5,71.5,21.077,11.4,1010.5,179
