datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2,88.3,0.843,7.6,1007.6,14.9
2021-01-02,1.1,88,0.002,7.8,1014.6,27.4
2021-01-03,0.5,92.3,6.554,17.3,1015.4,4.5
2021-01-04,0.7,94.5,0.57,14,1017.1,4.5
2021-01-05,1.6,93.8,0.292,14.2,1016.6,5.3
2021-01-06,2,92.8,2.114,14.6,1010.8,17.1
2021-01-07,1.2,87.8,0.012,14.7,1010,7.8
2021-01-08,1,88.6,0.029,9.8,1012,10.3
2021-01-09,1.4,92.9,0.065,9.9,1019.6,9
2021-01-10,0.9,86.2,0,11,1023.8,26.5
2021-01-11,0.5,81.7,0.252,16.1,1017.4,15.7
2021-01-12,1.5,90.4,4.663,19.5,1003.9,8.5
2021-01-13,1.7,84.9,2.265,24.1,1005.9,14.7
2021-01-14,1.1,88.4,1.068,18.8,1013.4,16.8
2021-01-15,-0.2,80.3,0.05,16.4,1023.2,9.7
2021-01-16,-1.6,72.6,0.002,16.5,1023.2,21.5
2021-01-17,-1.9,79.2,0,6.4,1020.3,24.2
2021-01-18,-1.7,91.7,4.594,10.2,1019.2,13.3
2021-01-19,2.5,93.4,7.969,15.3,1009.3,9.4
2021-01-20,5.9,75.3,0.166,17.3,1003.2,28.8
2021-01-21,8.6,59.8,0.038,18.2,997.1,40.2
2021-01-22,7.4,71.1,0.917,16.9,993,19.9
2021-01-23,2,91.8,5.257,7.8,997.2,11.1
2021-01-24,1,95.4,2.49,7.8,996.7,14.1
2021-01-25,1.3,88.9,0.23,12.9,1002.8,29.1
2021-01-26,1,84.1,0.324,14.3,1011.3,56.2
2021-01-27,1.8,81.9,0.052,11.8,1013,60
2021-01-28,1.7,84.3,1.446,12.8,1004.5,29.4
2021-01-29,-1.2,82.5,1.104,10.6,999.5,29.1
2021-01-30,-1.1,86.9,1.666,9.9,1002,22.7
2021-01-31,-4.5,86.3,0,7.1,1006.1,77.1
2021-02-01,-3.6,72.1,0,13.3,1000.3,60.7
2021-02-02,0.8,88.3,1.235,10.1,1002.1,39.1
2021-02-03,4.5,96.3,11.334,8.6,998.6,32.8
2021-02-04,1.2,92.2,0.83,14.2,1010.8,14.6
2021-02-05,-0.1,85.4,1.104,19,1019,22.2
2021-02-06,-1.8,73.1,0.023,26.8,1019,37.8
2021-02-07,-6,68,0.824,32.8,1012,20.9
2021-02-08,-8.9,74.4,2.026,22,1004.9,27.2
