datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,11.4,68.6,1.216,5.2,1016.4,79.4
2021-01-02,11,78.3,0.778,3.4,1019.5,51.2
2021-01-03,14.6,81.6,4.575,9.2,1019,69.4
2021-01-04,14.8,81.7,3.815,14.7,1011.9,35.2
2021-01-05,12.2,64.5,0,9.4,1015.8,90.5
2021-01-06,11.4,74.7,0,5.5,1020.5,79.2
2021-01-07,12.5,81,0,4.4,1018.3,40.1
2021-01-08,15.1,81.7,0,9.9,1014.7,83
2021-01-09,17.2,82.2,0.577,12,1012.4,89.8
2021-01-10,16.4,83.2,0,6.5,1015.4,89.9
2021-01-11,18.3,70.3,0,14.8,1013.2,98
2021-01-12,17.1,68.9,5.899,17.1,1007.4,25.9
2021-01-13,11.9,57.3,0,10.1,1007,100.5
2021-01-14,9.8,58,0.097,11.9,1009.1,104.6
2021-01-15,7.8,63.7,0.213,17.4,1011.6,37.4
2021-01-16,5.2,79.4,10.447,15.3,1008.8,20.7
2021-01-17,2.5,51.6,3.431,15.2,1014.2,106.6
2021-01-18,3.1,68.9,0.135,13.1,1018.5,50.2
2021-01-19,4.4,59.1,0,8.5,1023.3,114.4
2021-01-20,5.8,59.1,0,6.4,1027,112.5
2021-01-21,9.2,71.9,0,5.8,1026.8,111.4
2021-01-22,11.2,78.9,0,8.3,1023.4,74.3
2021-01-23,12.8,69.7,0,15.6,1016.4,40
2021-01-24,12.5,72.2,5.967,10.4,1011.1,89
2021-01-25,14.8,61.8,0.113,15.8,1008.1,121.8
2021-01-26,12.9,72.7,0.088,17.2,1005.6,43.2
2021-01-27,7.1,57.2,5.052,14,1005.4,86.8
2021-01-28,4.7,43.7,0,8.6,1013.6,123.5
2021-01-29,8.3,62.7,0,6.6,1012.6,126.5
2021-01-30,13.7,65.4,0.387,10.3,1003.2,111.9
2021-01-31,12.3,75.1,0,11.3,1007.6,115.4
2021-02-01,14.8,80.3,2.171,11.5,1005.6,29.3
2021-02-02,12.8,77.5,0,5.3,1011.6,124.5
2021-02-03,12.2,77.5,0,4.2,1016.6,128.5
2021-02-04,12.9,75.7,0,4.3,1016.9,134.7
2021-02-05,12.9,77,0,3.1,1019.5,123.4
2021-02-06,12.9,75.9,0,5,1017.5,132.7
2021-02-07,13.8,69.2,0,6.2,1014.7,117.3
2021-02-08,16.5,62.8,0,17.4,1008.1,73.5
2021-02-09,15.3,65.4,0,11.2,1012.6,146.5
2021-02-10,14.1,67.7,0.395,10.2,1014.7,133.1
2021-02-11,13.9,73.7,0,15.2,1014.2,102.7
2021-02-12,13,60.7,,11.2,,154
2021-02-13,9.5,75,0.947,11.7,1018.7,43.1
2021-02-14,5.3,80,3.918,22.4,1016.7,35.8
2021-02-15,1.7,83.9,2.312,23.1,1022.4,100.8
2021-02-16,0.6,85.6,14.05,13.7,1023.2,6.5
2021-02-17,3.3,66.8,1.281,9.8,1022.6,126.6
2021-02-18,6,64.7,0,4.9,1020.8,133.3
2021-02-19,8.3,59.9,0,5.9,1025.4,180.7
2021-02-20,8.5,72.6,,5.2,,149.2
2021-02-21,9.6,67.5,0,18.1,1029.3,162.8
2021-02-22,10.1,64.7,0,11.7,1029.8,188.7
2021-02-23,11.1,61.8,0,8.3,1029.5,184.4
