datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2,91.9,1.268,6.1,1012,27
2021-01-02,3.6,84.8,0,9.8,1016.2,25.8
2021-01-03,5.1,81.9,0.004,11.5,1013.7,14.4
2021-01-04,5.8,92.7,0.007,7.8,1012.9,11.8
2021-01-05,4.8,87.1,0.005,10.5,1010.4,19.5
2021-01-06,3.6,93.6,2.696,8.5,1011.8,7.4
2021-01-07,1.6,85.1,0.541,7.2,1014.4,32.3
2021-01-08,0.3,89.8,0.143,5.7,1016.1,14.9
2021-01-09,-2.1,96.6,0,4.8,1021,42.6
2021-01-10,-1.9,93.2,0,6.5,1023.5,5.3
2021-01-11,-1.6,78.9,0,6.9,1021.2,41.9
2021-01-12,-4.1,93.2,0,5.6,1016,38.1
2021-01-13,1.1,76.3,0.189,15.5,1011.2,43.8
2021-01-14,0.3,77.9,0.562,16.6,1009.2,27.3
2021-01-15,-1.5,76.9,0,12.4,1016.7,30.5
2021-01-16,-3.3,73.1,0,13.2,1019.6,32.3
2021-01-17,-3.6,79.5,0.176,9.5,1017.8,38.6
2021-01-18,-5.7,77.8,0,7.7,1022.8,43.5
2021-01-19,-0.2,84,0.125,6.2,1020.7,24.6
2021-01-20,4.9,72,0.01,10,1016.1,60.3
2021-01-21,8.3,63.9,0,16.8,1012.3,46.8
2021-01-22,8.7,69.8,0,17,1006.7,14.9
2021-01-23,8.3,77.8,0.791,9.1,1000.1,18.1
2021-01-24,4.7,80.4,0.383,8.1,998.2,47.7
2021-01-25,2.5,73.6,1.014,17.7,1000.4,57.7
2021-01-26,0.8,71,0,13.6,1011,54.3
2021-01-27,0.4,74,0.004,12.4,1014.3,53.5
2021-01-28,-1.4,80.7,0,6.7,1010.3,29.9
2021-01-29,2.7,97.6,6.946,5.5,1000.9,15
2021-01-30,6.3,77.6,0.725,13.4,998.9,45.2
2021-01-31,0.3,74.7,0.487,8.8,1004.5,40.9
2021-02-01,-1,66.6,0,5.6,1003.3,64.8
2021-02-02,-0.1,93.2,0.085,6.9,1011.6,25.5
2021-02-03,3.1,96.2,0.616,7,1011.1,15.2
2021-02-04,8.9,71.9,0.898,16.1,1012.9,68.2
2021-02-05,5.5,82.3,0.254,6.9,1016.9,36
2021-02-06,4,94.6,0,9.8,1013.6,9
2021-02-07,1.6,93,0.928,11.5,1005.5,6
2021-02-08,3.6,91.4,5.567,13.2,995.8,24.6
