datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2,90.4,0.969,15,1016.9,20.2
2021-01-02,0.4,92.4,0.078,17.1,1021.3,14.8
2021-01-03,0.5,89.1,0.796,14.7,1024.5,11.9
2021-01-04,3.5,80.1,3.153,19.3,1027.4,9.4
2021-01-05,2.7,82.5,0.518,16.5,1028.2,17.2
2021-01-06,1,92,3.856,11.8,1024.9,14.9
2021-01-07,-0.2,93.3,0.284,15.3,1020.1,17
2021-01-08,-1.1,83.9,0,16.7,1023.2,20
2021-01-09,-1.8,82,0,12.7,1027.1,28.4
2021-01-10,3.5,95.2,0.001,18.2,1024.6,26.6
2021-01-11,7.3,92.2,0.526,26,1013.8,14.1
2021-01-12,6.2,90.3,9.518,12.9,1015.2,16.8
2021-01-13,9.8,93.7,7.847,18.4,1015.6,25.7
2021-01-14,6.7,90.5,0.182,22.8,1020.5,26.6
2021-01-15,3.9,89,0.001,15.4,1024.6,22.4
2021-01-16,7,82.9,5.3,27.1,1015.6,23.5
2021-01-17,4.2,86.3,0,18.4,1024.6,16.9
2021-01-18,6.3,88.7,0.815,13.7,1015.7,16.8
2021-01-19,9.7,92.5,18.87,19.8,994.4,19.3
2021-01-20,3.8,94.7,7.371,14.4,981.2,5.8
2021-01-21,2.6,89.9,0,24.5,982.6,33.6
2021-01-22,1.4,90.7,0.149,16.3,991.7,28.8
2021-01-23,0.3,86.1,0,14.8,996.6,40.4
2021-01-24,-0.4,94.1,0.716,11.7,998.3,15.4
2021-01-25,0.8,83.1,0,13.9,1011,38.5
2021-01-26,6.7,89.8,1.419,16.6,1008.8,22.4
2021-01-27,8.8,93.1,3.001,10.4,1008.1,18.3
2021-01-28,10,87.5,7.662,19,996.2,19.4
2021-01-29,7.4,91,1.053,20.5,997.1,18.4
2021-01-30,4.5,88,20.823,38.3,997.6,8.9
2021-01-31,3,86.5,6.139,21.7,995.9,8
2021-02-01,4.6,92.6,0.414,13.2,994.4,27
2021-02-02,7.8,93.8,16.269,14.8,985.5,34
2021-02-03,7.2,84.4,1.283,19.1,991.4,38.3
2021-02-04,7.6,87.1,2.528,16.5,1000.4,41
2021-02-05,4.3,92.8,0.149,10.9,1004.9,35.3
2021-02-06,5.3,91.1,1.257,20,1009.4,17
2021-02-07,3.1,74.6,0.919,34.6,1010.8,13.5
2021-02-08,1.6,66.3,0.173,32.6,1009.6,19.8
2021-02-09,1.1,69.2,1.122,31.5,1009.4,26.2
2021-02-10,1.1,63.9,0.324,22.8,1016.6,56.3
2021-02-11,1,63.4,0,29.8,1023.7,19.3
2021-02-12,2.4,60.8,0,31.9,1023,52.8
2021-02-13,2.4,83.3,0.622,37.3,1018.3,25.4
2021-02-14,8.6,85.4,0.206,31.2,1007.5,43.9
2021-02-15,9.5,80.3,1.001,20.8,1008.1,67
2021-02-16,8.9,76.1,0.326,24.5,999.9,61.7
2021-02-17,7.9,76.6,0.565,24.6,997.1,62.7
2021-02-18,5.8,80.4,3.339,26.6,993.3,79.2
2021-02-19,9.7,82.6,0.632,30.1,991.5,50.2
2021-02-20,9.5,83.3,1.021,27.1,987.1,40.3
2021-02-21,8.6,70.5,0.029,22.2,1002.1,85.6
2021-02-22,7.6,71.5,0.001,18.9,1011.2,90.3
2021-02-23,10.9,84.2,4.774,38,1005,48.4
2021-02-24,9.4,79.2,4.318,22.7,1011.4,54.6
2021-02-25,6.1,77,0.226,16.9,1025.7,84
2021-02-26,6.6,78.7,0,13.4,1035.3,86.8
2021-02-27,7.5,78.5,0.002,9.3,1040.1,53.9
2021-02-28,6,85.2,0,8.7,1037.6,106.5
2021-03-01,4.1,92.3,0,11.7,1031.1,70.2
2021-03-02,2.6,92.9,0.001,8.9,1029.1,49.2
2021-03-03,4.4,88.6,0.001,11.6,1028.1,18.7
2021-03-04,4.1,80.5,0,14.6,1027.8,23.7
2021-03-05,3.2,70.7,0.075,13.4,1033.3,50
2021-03-06,2.9,71.2,0,8.9,1033.5,85.4
2021-03-07,4.2,68.7,0,9.5,1027.8,112
2021-03-08,7.1,76.9,0.081,14.4,1022.5,87.9
2021-03-09,8.3,82.9,0.506,24.8,1012.5,33.8
2021-03-10,9.3,86.3,4.166,25.2,991.6,35.2
2021-03-11,5.8,80.6,2.351,31.1,989.3,88.9
2021-03-12,4.9,82.6,3.391,26.4,993.1,127.1
2021-03-13,4.7,81.3,1.536,34.1,994.2,121.4
2021-03-14,6.9,85.6,5.125,29,1013.9,67.3
2021-03-15,9.6,89.5,0.75,19.1,1023.2,58
2021-03-16,10.2,80,0.327,20.8,1031.9,124.7
2021-03-17,7.7,76.9,0.001,15.4,1036.9,127.3
2021-03-18,10.1,87.5,0.026,18.4,1033.8,78.7
2021-03-19,7.4,86.8,0,10.3,1032.4,132.7
2021-03-20,8.4,87.5,0,13.1,1033.5,71.7
2021-03-21,8.5,78.4,0,12.2,1031.1,125.4
2021-03-22,8.2,75.3,0,11.9,1025.6,33
2021-03-23,8.6,74.1,0.007,20.3,1017.2,75
2021-03-24,7.9,75.3,1.288,19.8,1015.8,59
2021-03-25,8.8,78.2,0.175,23.9,1010,100.7
2021-03-26,5.2,77.3,2.61,27.2,1002.5,140.5
2021-03-27,6.3,77,0.183,26.8,1013,104.5
2021-03-28,12.1,82.5,0.916,32.7,1008.8,152.1
2021-03-29,13.4,79.8,0.018,30,1016.7,165.3
2021-03-30,11.4,77.4,0,15.4,1023.7,143.3
2021-03-31,10.2,86.3,0,10.6,1019.3,101
2021-04-01,7.7,88.9,0,24,1025.8,44.4
2021-04-02,6.1,78.4,0,17,1033,155
2021-04-03,5.1,81.2,0,9.3,1035.1,197
2021-04-04,6.9,77.4,0,19.1,1027.1,172
2021-04-05,4.2,65.4,0.078,24.1,1024.8,149.3
2021-04-06,2.4,73.7,0,22.9,1026,122
2021-04-07,4.4,83.7,0.414,15,1024.7,78.6
2021-04-08,7.3,76.8,0.44,22,1017.3,108.3
2021-04-09,4.8,81,1.21,12.2,1014,86.3
2021-04-10,1.4,76.2,0.099,12,1017.7,122.4
2021-04-11,2.5,76,0.098,16.3,1022.4,157.9
2021-04-12,5.4,87,1.533,11.2,1028.4,106
2021-04-13,6.5,79.9,0.322,9.5,1032.3,130.6
2021-04-14,6.8,77.9,0,9.8,1033.5,216.9
2021-04-15,6.4,75,0.001,11.8,1032.6,130.9
2021-04-16,6.1,66.7,0,12.1,1030.1,139.2
2021-04-17,6.7,65.9,0,14.4,1027.8,214.5
2021-04-18,8.8,78.3,0.704,11.7,1023.4,55.2
2021-04-19,8.8,72.1,0.007,10.5,1019.8,132.3
2021-04-20,9.1,82,0.723,7.9,1019.1,106.2
2021-04-21,8.4,81.3,0,14.9,1021.6,155.8
2021-04-22,7.6,74.8,0,11.5,1025.6,233.7
2021-04-23,7.9,63.4,0,13.3,1026,200.9
2021-04-24,9.2,67.8,0,14.1,1026.6,236.2
2021-04-25,7.6,78.6,0,15.7,1029.2,221.7
2021-04-26,9.3,67.6,0,9.1,1022.3,228.4
2021-04-27,8.9,78.4,0.151,18.6,1011.6,103.5
2021-04-28,7.4,71,0.546,25.2,1012.7,114.3
2021-04-29,5.6,78,1.486,9.9,1014.4,168.6
2021-04-30,4.5,78.2,0.79,10.8,1017,162
2021-05-01,5.8,70.1,0.05,9.1,1018.3,152.5
2021-05-02,8,66.8,0,11.2,1019.4,150.5
2021-05-03,8.1,80.7,8.231,25.3,1000.5,104
2021-05-04,6.4,75.7,2.319,33.1,1003.6,187
2021-05-05,4.6,82.7,1.805,17,1010.3,136.5
2021-05-06,4.9,68.2,0.863,16.4,1009.6,192.2
2021-05-07,5.9,67.1,0,15.4,1014.6,214.8
2021-05-08,10.9,75.9,15.8,23.8,994.9,178.1
2021-05-09,12,69.8,0.008,25.6,987,150
2021-05-10,10.9,79.3,1.044,20.5,989.1,203.4
