datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,8.5,80.4,4.54,18.4,1010.4,43.3
2021-01-02,10.1,80.2,23.288,22.5,1005.6,48.4
2021-01-03,6.9,86.6,24.511,14.2,1009.4,16.8
2021-01-04,7,83.2,13.128,9.7,1010.3,79.1
2021-01-05,7.6,83.1,26.235,15.9,1008.3,20.7
2021-01-06,7.8,70.1,0.387,11.7,1012.2,45.7
2021-01-07,5.4,82.1,0.994,7.4,1012.7,23.8
2021-01-08,6,83.4,0.228,8.8,1009,42.8
2021-01-09,5.8,84.5,3.047,14,1010,22.5
2021-01-10,6.6,87.3,5.913,15.5,1008,18.3
2021-01-11,4.6,80.5,0.014,10,1012.2,79.8
2021-01-12,4.8,82.1,0.124,7.2,1013.8,101.4
2021-01-13,5.2,78.8,0.025,8.1,1014.5,104.9
2021-01-14,8.4,83,0,8.8,1011,78.3
2021-01-15,7.7,70.4,0.27,9.3,1010,47.5
2021-01-16,4.5,55.4,0.022,14,1016.2,102.4
2021-01-17,2.1,76.1,0.323,10.4,1015.1,28.1
2021-01-18,4.3,68.3,0.036,9.9,1021.1,110.8
2021-01-19,5.8,71.6,0.106,8.1,1025.6,104.2
2021-01-20,9.3,75.6,0.449,14.4,1023,57
2021-01-21,12.7,79.6,0.266,21.6,1017,44
2021-01-22,13.1,85.2,3.488,24.1,1009.6,26.1
2021-01-23,11.2,68.6,20.677,23.2,1002.1,91.8
2021-01-24,10,80,18.985,18.1,999.1,30.5
2021-01-25,8,77.7,4.909,14.8,1004.5,30.3
2021-01-26,5.8,61.6,0.58,11.2,1012.4,126.3
2021-01-27,4.1,65.2,0.501,5.3,1016.6,103.8
2021-01-28,5.8,62,0.007,7.1,1015.5,88.6
2021-01-29,10.5,81.4,0.198,10.1,1009,25.5
2021-01-30,11.3,73.5,0.044,12.4,1004.7,104
2021-01-31,11.5,82.1,8.668,14.7,995.4,89.1
2021-02-01,10,83.3,0.207,8.8,999.4,83.8
2021-02-02,11.2,81.3,0,6.6,1010,131.2
2021-02-03,11.8,80.8,0.065,12.5,1017.2,75.5
