datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,-0.7,97.1,0,8.4,1010.7,5.6
2021-01-02,-0.5,94,0,8.2,1014.8,4.6
2021-01-03,-0.7,97.1,0,6.6,1023.2,6.3
2021-01-04,-1,88.5,0,10.8,1024.5,6
2021-01-05,0.3,87.2,0,14.6,1023.9,5.3
2021-01-06,0.5,84.6,0,12.4,1018.6,3.3
2021-01-07,-1,91.5,0,10.9,1012.6,4.5
2021-01-08,-1.3,91.9,0,9.8,1012.8,7
2021-01-09,-3.6,88.8,0,12.2,1016.7,5.6
2021-01-10,-4.1,89.7,0,11.2,1019.8,9.3
2021-01-11,-1.5,92.8,0,19.7,1013.8,4.7
2021-01-12,-0.9,91.8,0,28.7,1002.6,3.2
2021-01-13,-0.9,93.2,0,12.2,1003.8,7.4
2021-01-14,-5.2,85.5,0,13.4,1012.6,18.4
2021-01-15,-10.1,79.9,0,14,1016.3,17.8
2021-01-16,-14.6,83.9,0,6.7,1016.7,19
2021-01-17,-20.2,84.5,0,4.2,1021.1,24.3
2021-01-18,-12,88.1,0,13.8,1018.6,13.3
2021-01-19,-9.1,88.1,0,14.7,1015,16.9
2021-01-20,-8,79.3,0,22.3,1008.6,16.9
2021-01-21,-0.2,91.6,0,18.8,999.4,11.4
2021-01-22,2.2,85.4,0,22,995.6,19.3
2021-01-23,1.5,93.8,0,12.6,998.5,19.2
2021-01-24,2.3,91.2,0,15,994.8,7.8
2021-01-25,0.5,93.9,0,16.5,996.6,10.4
2021-01-26,0.2,97,0,16.8,996.8,12.6
2021-01-27,0.7,94.3,0,12.5,999,8.3
2021-01-28,-1.1,84.7,0,7.8,1002.9,13.7
2021-01-29,-1.5,89.8,0,10.9,993.5,20
2021-01-30,-1.5,91.7,0,11.9,989.3,25
2021-01-31,-2.1,78.6,0,10.3,994.3,23.9
2021-02-01,-3,88.6,0,11.2,1002.9,27.8
2021-02-02,-4.4,86.7,0,17.8,1006.3,23.9
2021-02-03,-1.9,86.2,0,9.1,1002.7,14
2021-02-04,-4.7,82.2,0,17.1,1009.9,31
2021-02-05,-8.1,86.3,0,13.2,1017.7,38.9
2021-02-06,-11.2,85.1,0,6.3,1022.8,41.8
2021-02-07,-14.5,87,0,6.1,1024.2,43
2021-02-08,-14.2,86.4,0,6.9,1021.1,31.5
2021-02-09,-9.6,81.9,0,15.5,1013.6,30.1
2021-02-10,-12.4,84.1,0,11.9,1014.1,29.7
2021-02-11,-11.7,80.4,0,14.7,1018,27.3
2021-02-12,-12.5,86.7,,10.3,,56.3
2021-02-13,-4.1,86.8,0,18.2,1024.8,13.7
2021-02-14,-1.2,77.7,0,19.1,1025.3,41
2021-02-15,-6.3,78.5,0,10,1030,60.4
2021-02-16,-4.5,78.5,0,9.4,1021,47.3
2021-02-17,-8.7,75.5,0,9.6,1019.3,64.9
2021-02-18,-15,78.6,0,8.6,1026.8,63.4
2021-02-19,-11.9,70.1,0,16.2,1021.8,64.6
2021-02-20,-5.6,82.8,,10.8,,41.2
2021-02-21,2.6,87.2,0,12.3,1019,47.6
2021-02-22,1.1,92.3,0,8,1021.8,66.4
2021-02-23,2.2,93.4,0,12.9,1025.4,26.4
2021-02-24,2.6,98,0,12,1024.3,33.5
2021-02-25,6.9,87.4,0,12,1017.8,40.9
2021-02-26,5.6,80.4,0,10.6,1012.1,24.8
2021-02-27,2.9,79.8,0,20.2,1020.8,72.4
2021-02-28,3.8,79.7,0,13,1023,72.3
2021-03-01,4,81,0,10.5,1025.4,81.3
2021-03-02,3.6,73.8,0,14,1024,96.5
2021-03-03,1.8,79.6,0,11.7,1021.4,42.5
2021-03-04,0.5,81.9,0,13.6,1009.3,93.5
2021-03-05,-1.4,67.6,0,14,1015.6,78.3
2021-03-06,-1.4,72.5,0,16.3,1016.1,63.4
2021-03-07,-0.7,77.5,0,16.8,1001.6,72.4
2021-03-08,-3.7,71.9,0,18.1,1013,52.3
2021-03-09,-3.8,74.4,0,10.6,1019,84.5
2021-03-10,-1.2,84.4,0,12,1018.2,32.5
2021-03-11,-1.2,73.1,0,23.5,1011.7,94.9
2021-03-12,2,90.3,0,23.3,991,34.5
2021-03-13,3.1,88.4,0,17.6,996.4,49.8
2021-03-14,3.6,90.8,0,16.8,991.3,28.5
2021-03-15,2.4,89.7,0,9.4,1002.4,74.3
2021-03-16,2,90,0,8.1,1012.6,52.5
2021-03-17,-0.6,89,0,14.8,1016.7,43.3
2021-03-18,-0.4,87.4,0,11.3,1015.9,60
2021-03-19,-2.4,70.2,0,22.1,1018.5,110.7
2021-03-20,-3.5,72.5,0,14.5,1017.4,88.8
2021-03-21,1.5,79.6,0,17.3,1000.3,74.6
2021-03-22,1.4,67.5,0,15.4,1008.1,109.7
2021-03-23,2.4,79.8,0,5.7,1015.7,127.6
2021-03-24,2.4,85.5,0,15.3,1018,106.6
2021-03-25,5.8,81,0,12.7,1015.6,42.4
2021-03-26,6.6,75.8,0,8.7,1018.7,122.1
2021-03-27,8.4,65.6,0,14.1,1017.2,118.5
2021-03-28,6.8,62.4,0,16.6,1020.2,101
2021-03-29,5.5,82.3,0,23,1022.4,53.5
2021-03-30,9.3,91.5,0,15.9,1019,13.7
2021-03-31,8.5,88.7,0,8.7,1016.3,27.6
2021-04-01,3.9,84.9,0,13.7,1014.1,106.5
2021-04-02,3.2,76.3,0,8.9,1011.4,107.5
2021-04-03,2.8,80.1,0,14.7,1012.3,91.5
2021-04-04,3.7,69.9,0,14.8,1011.3,85.5
2021-04-05,3.6,80.2,0,23.2,991,31
2021-04-06,2.3,71.1,0,18.3,992.4,96.6
2021-04-07,2.7,68.9,0,16.5,998.7,123.3
2021-04-08,3,72.3,0,13,1004.8,148
2021-04-09,4.9,65.3,0,26,1009.8,64.4
2021-04-10,6.3,59.3,0,15.4,1011.8,95.4
2021-04-11,5.1,63.7,0,8.9,1020.5,159
2021-04-12,13.6,43.5,0,20.8,1017.5,153.7
2021-04-13,5.3,76.5,0,10.2,1021,26.5
2021-04-14,3,83.2,0,13,1022.1,159.9
2021-04-15,7.4,54.8,0,22.1,1023.2,136.8
2021-04-16,9.6,50.4,0,18.5,1020.3,147
2021-04-17,13.3,39.7,0,14.7,1021.6,184.4
2021-04-18,13.3,35.8,0,14.2,1022.4,210.9
2021-04-19,11.9,37.3,0,12.9,1022,222.8
2021-04-20,9.9,50.8,0,10.7,1015.3,198.3
2021-04-21,8.1,61.2,0,7.4,1005.3,229.7
2021-04-22,7,63.9,0.4,21.1,1004.4,157.8
2021-04-23,3.2,83.8,0,15,1008.1,91.4
2021-04-24,3,75.5,0.2,12.8,1013,144.7
2021-04-25,2.5,84.6,0.3,12.6,1012.7,87.9
2021-04-26,3.7,79.4,0,7.4,1012.5,144
2021-04-27,4,88.7,0.5,10.7,1011.9,75.3
2021-04-28,3.9,71.2,0,6.7,1015.2,177.8
2021-04-29,7.9,59.6,0,8.5,1011.9,173.5
2021-04-30,6.7,74.6,13,15.9,1006,61.4
2021-05-01,5.9,60.7,0,7.5,1015,231.3
2021-05-02,5,64.8,0,13.1,1014.1,187.3
2021-05-03,5.1,72.3,13,25.4,1002.4,39.1
2021-05-04,7.3,60.8,0,9.9,1005.8,240.3
2021-05-05,9.3,75.8,1,15.3,997.1,112.1
2021-05-06,7.4,82,0.9,17.4,995.7,101.1
2021-05-07,6.4,88,1,11.6,1002.2,107.2
2021-05-08,5.4,67.4,0,9.6,1010.4,173.5
2021-05-09,6.3,71.8,0,15.9,1017.5,248.7
2021-05-10,17,45.3,0,25,1016.4,267.6
2021-05-11,20.1,39,0,22.5,1017.5,268.2
2021-05-12,20.5,37,0,15,1014.8,265.7
2021-05-13,15.8,52.6,0,12.9,1008,226.8
2021-05-14,12,84.6,0,10.9,1003.9,58.8
2021-05-15,12.8,83.5,0,9.4,1005.2,172.6
2021-05-16,14.3,72.8,0,7.6,1007,159.5
2021-05-17,14.7,84.2,0,9.2,1004.9,91.7
2021-05-18,10.3,95.5,0,13.7,1004.2,29.3
2021-05-19,11.9,79.2,12,15.4,1004.1,146.9
2021-05-20,11,74.8,0,11.7,1007.6,96.3
2021-05-21,10.4,69.7,0,12.4,1005.1,141.4
2021-05-22,13.1,72,0,12.3,1003.3,163.2
2021-05-23,11.1,89.8,7,7.1,1005.4,126.2
2021-05-24,11.3,70.8,0,9.8,1016.5,140.9
2021-05-25,13.5,69.1,0,12.5,1016.8,134.3
2021-05-26,11.9,86.3,0,13.9,1009,89.3
2021-05-27,11.1,85,0,12.2,1011.4,90
