datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,-0.6,99.4,1.715,13.7,1008.1,6.8
2021-01-02,-1.9,98.5,0.293,11,1015.8,4.2
2021-01-03,-0.4,99.5,0.003,10.2,1020.9,5.8
2021-01-04,-0.4,100,0.011,10.2,1020,5.2
2021-01-05,0.4,98.7,0.507,14.8,1018.4,3.8
2021-01-06,-0.9,94,1.04,13.1,1015.4,9.5
2021-01-07,-0.4,95.9,3.972,9.5,1010.5,4.7
2021-01-08,-2.1,99.2,9.12,6.8,1009.2,3.8
2021-01-09,-3.4,96.8,2.791,7.9,1012.9,3.1
2021-01-10,-4.8,94.5,0.001,8.3,1019.4,2.4
2021-01-11,-3.3,94.4,0.489,16,1017.4,2.5
2021-01-12,-2.7,90.4,0.003,27.4,1007.5,16.7
2021-01-13,-1.9,91.9,3.979,17.3,1002.5,12.9
2021-01-14,-7,85.7,0.207,16.8,1006.9,5.3
2021-01-15,-13.1,79.9,0.098,16.4,1011.7,41
2021-01-16,-18.6,82.8,0.197,7.1,1013.1,35.5
2021-01-17,-19.8,82.1,0.098,8.2,1017.7,39.1
2021-01-18,-17,84.9,0,5.1,1019,17.7
2021-01-19,-13.7,82.7,0.002,12.1,1016.2,40.3
2021-01-20,-10.6,79.1,0.503,22.4,1010.4,18.4
2021-01-21,-0.4,93.5,0.846,25.3,1003.9,29
2021-01-22,0.4,93.7,0,21.2,1000.3,31.3
2021-01-23,1.4,96.1,0.003,12.7,1000.4,18.9
2021-01-24,1.3,94.3,2.066,17.7,996.3,10
2021-01-25,0.3,95.2,2.42,14.7,997.3,16.6
2021-01-26,-0.7,99.1,19.925,22.2,992.2,7.1
2021-01-27,-0.4,94.4,6.104,17.2,999.8,21.9
2021-01-28,-3.3,85.9,0.108,9.3,1002.5,32.2
2021-01-29,-4.6,90.1,1.001,10.8,992.2,9.5
2021-01-30,-4.1,93,0.199,14.9,992,25.7
2021-01-31,-3.6,89.9,0.008,17.5,997.7,18.3
2021-02-01,-6.8,89.4,0.003,16.2,1005.8,36.2
2021-02-02,-6.8,88.4,0.603,20,1007.7,30.5
2021-02-03,-1.8,93.3,0.81,9.8,1003.6,30
2021-02-04,-6.1,85.6,0.908,19,1006.1,31.8
2021-02-05,-8.5,86.1,0.001,10.5,1016.9,47.5
2021-02-06,-14.4,84.2,0,9.8,1020.2,62.5
2021-02-07,-17.9,84,0,2.9,1022.2,47.8
2021-02-08,-14.2,80.3,0.004,14.6,1016.7,47.1
2021-02-09,-10.5,84.4,4.515,16.8,1007.1,32.6
2021-02-10,-12,84.5,0.4,10.4,1008.6,39.5
2021-02-11,-13,80.5,0.004,15.6,1012.1,54.7
2021-02-12,-14.1,79.5,,23.7,,53.5
2021-02-13,-10.8,86.5,0.104,18.8,1022,45
2021-02-14,-3.1,90,0.615,13.9,1023.1,29
2021-02-15,-7.6,80.4,0,10.5,1028.5,48.2
2021-02-16,-10.6,87.9,0.002,8.4,1023.1,71
2021-02-17,-7.4,86,0,8.2,1016.2,62.3
2021-02-18,-15.4,78,0,8,1024.4,92.5
2021-02-19,-12.5,70.3,0,17.6,1023.6,87.8
2021-02-20,-4,87.6,0,11.8,1025,22.7
2021-02-21,0.8,94.1,0,13.8,1022.9,59
2021-02-22,1.5,87.8,0,7.9,1023,88.8
2021-02-23,0.1,94.9,0,13.1,1028,63.3
2021-02-24,3,98.5,0,9.4,1027.5,28.9
2021-02-25,5.8,89.9,0.392,15.2,1023.3,62.5
2021-02-26,4.2,89.1,0.002,20.6,1016.3,46.2
2021-02-27,2.6,82.2,0.599,20.5,1019.4,78.5
2021-02-28,1.9,86,0.003,14.2,1023.3,58.5
2021-03-01,1.1,97.1,0,12.3,1028,43.5
2021-03-02,2.9,80.9,0,18.3,1024.6,68
2021-03-03,0.5,81.5,0,12.1,1023.9,120.8
2021-03-04,-0.7,87.1,0.004,14.2,1008.8,26.1
2021-03-05,-2.8,63.5,0,13.1,1015,121.5
2021-03-06,-2.5,68.7,0,17.5,1019.9,96.2
2021-03-07,-0.7,83.1,2.138,22.7,1004.8,50.1
2021-03-08,-4.4,73,0.407,17.6,1010.7,61.6
2021-03-09,-5.7,66.7,0,8.5,1020,140.9
2021-03-10,-5.3,62.3,0,11.5,1021,142.3
2021-03-11,-3.7,66.7,0.001,22,1015.1,104.5
2021-03-12,1.1,89.8,3.669,25.2,998.1,45.3
2021-03-13,1.7,93.8,2.984,20.1,1001.4,61.3
2021-03-14,4,84.3,1.495,24.1,996.1,91
2021-03-15,2.9,80.7,0.397,11.9,1005,89.4
2021-03-16,3.4,70.7,0.103,7.6,1010.5,106.2
2021-03-17,0.7,81.7,0,14.3,1012.8,56.1
2021-03-18,-1.7,87.4,0.023,10,1013.8,55.9
2021-03-19,-1.7,86.7,0.982,12.4,1014.5,99.3
2021-03-20,-2.9,66.2,0,14,1017.9,111.9
2021-03-21,-2.1,90.6,2.885,19.6,1004.3,39.4
2021-03-22,-1.3,75,0.009,14.7,1007.8,130.8
2021-03-23,0.2,63.2,0.295,7.3,1015.1,182.8
2021-03-24,1.8,50.8,0,5.8,1020.3,116.2
2021-03-25,3.7,78.1,0,9,1018.9,55.7
2021-03-26,5.8,68.8,0,7.9,1020.3,159.8
