datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,0.9,93.7,2.662,9.9,1009.2,19
2021-01-02,-0.7,95.8,0.002,10.4,1014.5,25.7
2021-01-03,0.3,88,0.009,15,1013.3,7.8
2021-01-04,0.1,96.7,0.361,15.5,1014,10.7
2021-01-05,0.6,93,0.002,18.2,1014.2,7.1
2021-01-06,0.9,92.1,0.622,14.4,1014.9,14.1
2021-01-07,-0.1,91.2,0.036,14.4,1015.5,19.8
2021-01-08,0,91.2,0.072,17.2,1016.9,27.7
2021-01-09,-0.4,87.4,0,14,1023.3,42.3
2021-01-10,-0.9,87.4,0.039,11,1025.3,34
2021-01-11,-2,85.3,0.006,11.9,1023.6,43.3
2021-01-12,2.1,93.6,5.437,20.6,1013.9,12.2
2021-01-13,0.8,93.8,1.025,15.3,1018.9,31.8
2021-01-14,-0.2,95.3,3.028,14.9,1018.4,10.2
2021-01-15,-2,83.1,3.999,21.3,1025.2,59.3
2021-01-16,-3.3,86.4,0.259,10.8,1027,38.7
2021-01-17,-0.1,95.3,1.866,13.1,1020.6,32.8
2021-01-18,1.5,94.2,0.002,16.2,1026.1,25.5
2021-01-19,1.6,91.2,2.077,21.1,1016.8,13.4
2021-01-20,4.7,77.5,0,19,1004.9,42.9
2021-01-21,7.4,80.9,5.803,27,995.6,34.7
2021-01-22,3.9,91.2,15.498,14.9,994.5,29.6
2021-01-23,2.1,95.4,3.294,13.7,996.6,21.3
2021-01-24,0.2,87.1,0.949,19.3,1000,32.4
2021-01-25,-0.1,92.4,4.756,13.3,1005.2,31.5
2021-01-26,0.1,88.9,0.002,21.2,1019.7,51.3
2021-01-27,0.1,97.6,2.538,13.8,1016.5,11.5
2021-01-28,6.4,96.1,11.512,21.4,1006.5,23.7
2021-01-29,7.8,90.6,10.261,28.4,1000.5,32.3
2021-01-30,4.4,96.1,9.076,17.9,1000,18
2021-01-31,0.4,96,0.545,16.8,1000.1,19.4
2021-02-01,4,97.1,3.67,11.4,994.6,32.1
2021-02-02,6.8,94.7,3.082,18,1002.8,26.8
2021-02-03,9.2,91.4,18.826,25.6,1000.7,29.8
2021-02-04,6.3,87.5,0.179,13.3,1013.7,45.6
2021-02-05,6.7,96,0.58,9.1,1012.4,21
2021-02-06,5.4,97.8,6.647,16.7,1005.6,10
2021-02-07,3.7,96,10.634,13.4,996.3,22.2
2021-02-08,-1.3,94.7,2.346,9.9,997.7,9.5
2021-02-09,-4.4,92,0.373,15.5,1004.4,19.8
2021-02-10,-6.6,73.6,0.002,22.5,1010.5,91.3
2021-02-11,-4.5,72.4,0,12.8,1027.7,74.7
2021-02-12,-4.7,66.7,0,20.8,1030.9,105.1
2021-02-13,-5,57.3,0,20.7,1037,104
2021-02-14,-2.6,51,0,16.5,1037.3,109.1
2021-02-15,1.5,66.2,0.072,15.3,1029.6,41.5
2021-02-16,5.8,83.9,0.499,15.5,1019.9,91.2
2021-02-17,6.8,91.5,2.838,17,1019.7,41.3
2021-02-18,5.7,85,0.45,15.3,1014.2,57.7
2021-02-19,6.4,88.2,0.837,12,1018.2,73.9
2021-02-20,9.5,75.4,0,12,1016,110.8
2021-02-21,10.1,62,0,12.7,1016,129.4
2021-02-22,8.6,66.9,0,10,1021.3,68
2021-02-23,12.1,69.8,0,14.6,1031.3,112.4
2021-02-24,11.1,78.2,0,10.5,1031.8,117.2
2021-02-25,10.4,61.3,0,10.5,1028.5,127.9
2021-02-26,6.1,82.6,1.145,15.4,1032.8,38.5
2021-02-27,3.7,78,0,20.3,1038.3,146
2021-02-28,4.8,68.8,0,23.4,1035.1,149.9
2021-03-01,6,63.1,0,17.8,1031.5,153
2021-03-02,8,61,0,10.9,1030.8,147.1
2021-03-03,8.6,64.2,0,7.6,1028.8,123.9
2021-03-04,6.2,84.5,1.923,10.8,1021.3,64.8
2021-03-05,2.5,72.9,0,17.2,1026.1,56.8
2021-03-06,0.8,57.5,0,19.6,1031.6,165.9
2021-03-07,1.6,51.5,0,14.5,1024.7,167.8
2021-03-08,1.4,70,0,18.9,1022.6,153.7
2021-03-09,2.5,86.6,0.242,11.6,1020.2,54
