datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,12.5,73.5,6.123,12.2,1015.4,106.2
2021-01-02,14.1,74.7,14.298,14.6,1012.5,119.6
2021-01-03,14,62.7,0,14.1,1014.3,114.3
2021-01-04,10.7,71.6,12.531,14.8,1014.4,114.6
2021-01-05,12.6,62.2,0,17.3,1016.1,113.5
2021-01-06,15.1,67.7,0,16.3,1016.6,120.2
2021-01-07,17.3,81.1,0,16.8,1013.9,107.8
2021-01-08,18.1,78.6,0.2,18.5,1010.1,84.1
2021-01-09,20.2,65.7,0,18.1,1010.8,33
2021-01-10,19.4,69.5,0,21.2,1008.4,36.8
2021-01-11,14.8,87.1,0,15.8,1011.5,73.4
2021-01-12,11.9,77.3,0.404,23.1,1014.2,83
2021-01-13,12,76.3,1,26.5,1016.8,97.2
2021-01-14,13.2,84.6,1.404,26.6,1016.3,57.5
2021-01-15,13.8,72.7,0.2,33.2,1012.9,86.1
2021-01-16,11.7,79.9,6.973,21.9,1013.2,99.8
2021-01-17,10.8,75.4,6.537,22.7,1018.7,89.8
2021-01-18,11.9,77.2,0.612,27.6,1018.9,100.6
2021-01-19,9.5,68.1,0.294,8.9,1028.2,136
2021-01-20,12.9,64.6,0,14.6,1028,132.3
2021-01-21,15.4,72.1,0,17.7,1023.5,112
2021-01-22,15.9,74.3,0,15.9,1018.8,136.3
2021-01-23,14.6,74.9,1,19.9,1013.6,124.8
2021-01-24,14.6,75.6,0.4,26.2,1011.9,79.6
2021-01-25,14.1,72.1,0,23.7,1013.8,111.7
2021-01-26,13.2,72.1,8,29.9,1011.8,93.6
2021-01-27,11.2,66.6,2,18.8,1018.7,125.2
2021-01-28,13.5,85.3,5.004,16.1,1018,119.7
2021-01-29,16.5,80,0,21.3,1016.8,120.3
2021-01-30,16,83.9,0,21.4,1011.5,143.5
2021-01-31,14.3,80.5,0,24.4,1004.4,59.3
2021-02-01,14.5,76.9,0,24.8,1007.3,126.1
2021-02-02,14.6,84.8,2.498,24.5,1012,137.3
2021-02-03,14,86,0,9.5,1019.7,149.3
2021-02-04,15.1,92.2,0,14.1,1020.5,153.8
2021-02-05,16.7,83,0,11.7,1019.5,162.3
2021-02-06,17.1,79.9,0,13.5,1015.5,158.8
2021-02-07,17.7,76.6,0,18.8,1006.4,69.6
2021-02-08,14.4,77.6,2,25.4,1009.2,164
2021-02-09,15.3,75.5,0,21,1014.6,132.9
2021-02-10,15.9,80.8,0,17.9,1016.1,126.9
2021-02-11,18.1,81.6,0,32.7,1014.3,
2021-02-12,24,65.2,,29.2,1015.1,
2021-02-13,16.8,75.2,0,23.8,1014.5,98
2021-02-14,10.9,73,3.021,25.3,1021.2,133.5
2021-02-15,7.9,47.6,0.783,28.2,1029,178
2021-02-16,9.2,56.1,0,16.9,1030.4,183.7
2021-02-17,11.6,73.2,0,13.5,1024.9,174.8
2021-02-18,11.8,79.8,0,9.3,1023.8,193
2021-02-19,13,80,0,13,1025.4,180.7
2021-02-20,18.5,70.4,,24.6,1018.7,
2021-02-21,14.9,79.5,0,19.9,1024.8,48.1
2021-02-22,14.5,80.9,0,20.1,1028.6,114.5
2021-02-23,13.4,79.1,0,12.7,1032.6,133
2021-02-24,12.9,83.2,0,9.1,1032.6,200.5
