datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2.4,93,0.65,7.7,1007.7,40.9
2021-01-02,2.9,97.5,1.118,7,1012.9,26.2
2021-01-03,3.5,87,0.005,16,1016.9,42.8
2021-01-04,3.1,84.8,0.886,27,1018.3,31.9
2021-01-05,3,89.1,0.23,22,1018.3,26.6
2021-01-06,2.5,86.9,0.23,12.8,1017.2,24.1
2021-01-07,2.9,91.3,6.695,13.9,1012.6,35
2021-01-08,1.9,93.8,0.826,6.3,1015.7,44.4
2021-01-09,0.5,89.5,0.109,6.2,1023.6,69.4
2021-01-10,2.5,87.8,0,12.1,1023.4,46.1
2021-01-11,5.7,86.6,1.924,25.5,1015.5,20.9
2021-01-12,5.6,84.6,10.547,22,1008.7,46.4
2021-01-13,4.5,78.2,0.589,20.8,1015.3,19.8
2021-01-14,1.9,79.3,0.035,13.2,1019.7,23.3
2021-01-15,1.4,78.6,0,8.1,1028.1,33.5
2021-01-16,1.1,84.4,1.426,18.3,1022.9,38
2021-01-17,3.8,92.2,0.728,12.8,1017.9,58.5
2021-01-18,5,89,0.032,19.2,1019.9,41.3
2021-01-19,7.8,90.6,16.687,36.6,1005.1,36.8
2021-01-20,8.8,74.4,0.097,33.6,994.7,22.5
2021-01-21,7.3,76.6,5.891,35.7,985.9,21.7
2021-01-22,4.6,83.1,2.366,19.3,990.4,54.3
2021-01-23,3.2,87.4,1.268,12.5,993.8,55.8
2021-01-24,1.9,85.9,0.63,8.8,997.4,64.7
2021-01-25,1.8,85.3,1.575,14.3,1003.9,61.7
2021-01-26,4.6,83.1,2.179,20.2,1014.5,44.8
2021-01-27,4.7,92.4,0.993,19.5,1010.6,39.1
2021-01-28,4.8,95.6,9.695,12.4,1003.2,37.9
2021-01-29,7.1,90.9,9.578,26.7,994.6,48.2
2021-01-30,0.7,80.8,0,22.5,1002.8,58.9
2021-01-31,-1.1,81.1,0,16.6,1002,78.6
2021-02-01,0.7,92.4,1.547,11.6,995.3,33.9
2021-02-02,3.3,94.4,2.342,12.2,998.7,49.1
2021-02-03,8.2,94.1,15.263,16.4,995.8,40.6
2021-02-04,6.7,89.9,0.159,16,1010.5,67.5
2021-02-05,6.3,93.9,3.353,10.8,1011,54.8
2021-02-06,3,91.7,1.039,26.1,1009.7,16.6
2021-02-07,-3.5,85.5,6.503,42.8,1002.2,13.2
