datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,0,92.3,0,6.1,1010.7,5.7
2021-01-02,0.7,93.9,0.274,7.2,1016.8,11.7
2021-01-03,1.7,95,0.875,13.8,1017.1,13.7
2021-01-04,2.8,94.7,0.027,12.3,1017,9.6
2021-01-05,3.2,96.3,6.105,17,1012,6.5
2021-01-06,1.8,94.3,0.884,9.5,1011.6,8
2021-01-07,1,94.7,1.938,7.8,1009.7,8.3
2021-01-08,0.6,89.4,0.039,7.4,1012.9,13.3
2021-01-09,-0.2,95.2,0.82,12.9,1017,8.1
2021-01-10,0,96.8,0.296,9.8,1022.4,6.9
2021-01-11,-0.2,81.8,0,8.5,1020.6,38.5
2021-01-12,-1.2,80.6,0.478,12.4,1007.5,21.5
2021-01-13,-0.3,93.6,5.579,12.3,1004,5.9
2021-01-14,-1.8,89.5,0.192,12.6,1008.3,8.9
2021-01-15,-6.8,81,0.508,14.6,1017.3,17.4
2021-01-16,-7.4,87.4,1.945,15.7,1015.4,17.2
2021-01-17,-13.4,79.5,0.238,10.7,1020.4,23.7
2021-01-18,-16.8,83.9,0,4.7,1023,32.1
2021-01-19,-9.3,89,0.93,11.6,1014.9,14.3
2021-01-20,0.8,94.3,1.484,10.5,1008.2,15.9
2021-01-21,2.1,82.4,0,10.9,1005.9,44.5
2021-01-22,3.7,83,0,10.5,1000,38.8
2021-01-23,3.8,92.7,39.253,12.2,998.1,12.3
2021-01-24,1.3,93.1,1.265,8.2,996.2,11.4
2021-01-25,0.4,93.1,2.518,12.4,999.4,6.8
2021-01-26,0.4,86,0.109,23.6,1005.3,17.3
2021-01-27,0.2,79.8,9.786,17.9,1009.7,11.8
2021-01-28,0,81.8,0.922,9.7,1004.6,30.7
2021-01-29,-1.7,81,0,15.2,997.8,14.7
2021-01-30,-2.5,92.3,2.551,8.6,998,9.7
2021-01-31,-5.5,80.6,0.804,10.4,1006.1,69.5
2021-02-01,-7.5,81.6,0,10,1007.5,54.4
2021-02-02,-1.4,85.8,0.405,12.2,1006.2,23.3
2021-02-03,2.5,99.3,3.546,7,1003.2,12.4
2021-02-04,0.4,87.2,10.167,16.1,1006.7,16.2
2021-02-05,-3.7,78.1,0,5.6,1021.9,61.3
2021-02-06,-6.9,73.7,0,10.8,1022.6,59.9
2021-02-07,-10.8,69.7,0,21.9,1019.5,19.5
2021-02-08,-9.6,81,5.014,23.8,1006.1,18.3
2021-02-09,-7.3,84,0.365,5.4,1005,27.8
2021-02-10,-7.5,86.1,0.139,5.6,1008.5,28.3
2021-02-11,-11.1,80.6,0,18.1,1014.3,45.9
2021-02-12,-10.9,72.8,,17.7,,82.4
2021-02-13,-5.7,81.4,0.071,18.3,1030.8,35.4
2021-02-14,-3.1,75.7,115.9,21.2,1033,42.2
2021-02-15,-4.6,89.1,106.5,13.9,1033.8,31
2021-02-16,-4,76.3,0,11.6,1024.3,78
2021-02-17,-1.5,94.3,88.431,9.4,1015.1,26
2021-02-18,-6,79.3,2.897,13.3,1023.5,48.8
2021-02-19,-4.1,88.7,0,14.2,1021,32.6
2021-02-20,2.9,90.9,0,7.7,1026.4,66.3
2021-02-21,3.1,81.5,0,9.2,1024.9,91.6
2021-02-22,3.7,79.1,0,7.2,1025.6,91.6
2021-02-23,3.1,88.4,0,5.1,1031.2,61
2021-02-24,7.9,81,0,5.6,1032.4,80.1
2021-02-25,8.2,76.7,0,4.4,1028.2,91
2021-02-26,6.4,85.4,0.494,13.8,1024.2,32.9
2021-02-27,4.8,76.3,0,20.8,1028.5,79.3
2021-02-28,1.8,92.2,0,16.4,1031.4,21.9
2021-03-01,2.8,92,0,12.9,1033.8,25.8
2021-03-02,3.7,86.6,0,17.3,1031.9,94.5
2021-03-03,1.3,93.6,0,6,1027.5,51.4
2021-03-04,3.1,83.8,0.003,15.9,1013.8,26.9
2021-03-05,0.1,73.3,0.01,14.1,1019.3,84
2021-03-06,0.2,69.2,0,13.2,1026.5,87
2021-03-07,2.3,70,0.075,27.4,1016.1,29
2021-03-08,-0.9,77.7,0.316,15,1017.8,94
2021-03-09,-2,62.8,0,7.2,1022,116.3
2021-03-10,-1.3,58.9,0,6.6,1021.4,124.8
2021-03-11,-0.9,70.1,3.127,16.7,1012,66.6
2021-03-12,4.9,84,5.32,13,1002.8,53.8
2021-03-13,5.6,71.3,0.89,13,1002.8,69
2021-03-14,6.1,69.7,0.976,17.8,1001,83.1
2021-03-15,2.8,83,0,6.3,1007.5,63.1
2021-03-16,3.1,81.3,0.966,7.3,1010.9,87.8
2021-03-17,1.8,83.6,0,14.8,1016,30.3
2021-03-18,-0.2,82.9,2.127,12.6,1017.8,73.2
2021-03-19,-1.2,83.7,0.02,11.3,1017,79
2021-03-20,-2,62.5,0.419,13.1,1022.2,120.5
2021-03-21,-0.4,80.4,0.77,13.7,1010.5,30.7
2021-03-22,1.5,71.7,0.217,12.8,1013.8,91
2021-03-23,5.6,62,0,14.2,1017.6,100.5
2021-03-24,5.7,73.3,0,8.3,1022.2,42.6
2021-03-25,6.6,68.9,0,5.1,1021,101.5
2021-03-26,7.4,63.5,0,8.9,1021.8,86.3
2021-03-27,9.6,66.1,1.175,15.1,1018.9,121.6
2021-03-28,5.8,69.3,0,15.1,1027.1,102.3
2021-03-29,7.3,79.5,0.204,7,1028.8,65.4
2021-03-30,10.9,91.6,3.887,7.9,1028,18.5
2021-03-31,11.8,77.7,0,6.3,1023.8,170.2
2021-04-01,12.4,70.7,0.003,12.5,1013.5,133.1
2021-04-02,6.1,61.4,0,15.4,1015,188
2021-04-03,5,66.5,0.53,15.1,1014.7,118.4
2021-04-04,3.7,65.5,0,10.9,1018.3,143
2021-04-05,5.5,62.2,1.123,16,1001.1,102.5
2021-04-06,2,69,0.21,15.7,1002.4,73.9
2021-04-07,1,77.6,1.006,13.1,1005.8,89.7
2021-04-08,3,81.3,5.006,13.5,1013.6,93.7
2021-04-09,6,58.8,0.193,12.1,1019.3,188.7
2021-04-10,9.9,48.7,0,7.2,1015.2,123
2021-04-11,13.8,50.1,0,13.3,1016.6,187
2021-04-12,13,58.9,0,14.8,1016.8,127.4
2021-04-13,4.4,77.5,2.184,18.6,1023,55.6
2021-04-14,2.6,86.7,16.178,16.1,1020.9,41.3
2021-04-15,4,96.2,4.989,13.3,1017.4,32
2021-04-16,5.4,95.3,6.073,13.2,1015.7,27
2021-04-17,7.2,94.6,4.786,6.6,1017.6,50.4
2021-04-18,9,83.6,0.249,5.4,1019.4,132
2021-04-19,12.3,66.8,9.729,10.3,1017.4,227.1
2021-04-20,11.3,58.2,0.01,7,1014,160.8
2021-04-21,12.3,62.9,0.02,11.9,1010.2,221.9
2021-04-22,7.5,64.1,1.377,18.6,1013.3,168
2021-04-23,4.5,77.1,0.723,15.6,1019,128.3
2021-04-24,5.8,61.6,0,14.7,1020.6,180.3
2021-04-25,5.4,46.9,0,11.4,1019.6,172.6
2021-04-26,3.5,63.6,0.003,12.7,1018.6,185.9
2021-04-27,4.4,57.9,0,5.5,1016.9,183.1
2021-04-28,8.2,43.2,0,10.6,1014,247
2021-04-29,12.6,52,0,11.1,1006.7,197
2021-04-30,12.1,66.6,0.716,17,1008.3,205.5
2021-05-01,7.8,88.6,2.918,9,1013.9,58
2021-05-02,8.5,90.1,12.856,20.3,1003.6,23.6
2021-05-03,6.4,74,0.136,24.3,1012.8,132.3
2021-05-04,10.1,59.5,0.037,11,1010.1,168.8
2021-05-05,11.2,75,6.765,9.7,1001.4,91.8
2021-05-06,9.2,56.4,0.007,18.7,1006.1,258.1
2021-05-07,7.3,84.9,5.019,10.1,1006.2,70.3
2021-05-08,6.9,73.7,4.063,17,1016.3,156.7
2021-05-09,12.4,53.7,0,12.8,1018.4,264.1
2021-05-10,17.9,46.5,0,17.6,1015.4,273.1
2021-05-11,20.4,46.6,0,21.1,1013,272.6
2021-05-12,20.4,38.8,0,25.2,1008.2,273.4
2021-05-13,16.4,48.1,0,15.4,1002.4,278.2
2021-05-14,15.9,64.9,0.003,11.5,1001.3,196.3
2021-05-15,15,64.1,0,12.3,1007.5,199.3
2021-05-16,14.4,79.5,3.93,8,1005.3,143.6
2021-05-17,14.5,73.6,0,8.5,1004.3,185.2
2021-05-18,13.2,86.6,0.01,18.2,1004.4,83.5
2021-05-19,12,83.5,14.418,16.1,1010,156.2
