datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,5.9,86.9,0.454,8,1013.9,3.5
2021-01-02,3.8,89.3,0,4.2,1022.6,5.3
2021-01-03,6.9,97.4,0.319,4.2,1020.2,3.5
2021-01-04,8.9,97,0.017,7,1015.7,2.3
2021-01-05,8.1,88.8,6.163,10.7,1010.4,1.7
2021-01-06,5.2,88.6,0,4,1017.5,2.5
2021-01-07,6.6,89.4,0.329,7.2,1013.8,3.6
2021-01-08,3.3,95.2,14.051,5.8,1013.9,1
2021-01-09,2,93.9,4.823,3.7,1019.4,1.7
2021-01-10,1.4,98.2,7.853,5.9,1022.6,1.7
2021-01-11,0.4,99,20.669,11.5,1019.9,0.8
2021-01-12,0.8,99,5.537,8.1,1015.3,0.9
2021-01-13,0.4,98,4.086,5.9,1008.4,2.7
2021-01-14,-0.8,87.3,3.071,6.3,1009.1,3.1
2021-01-15,-2,85.6,2.737,5.9,1013.7,5.2
2021-01-16,-3.5,86.5,2.72,5.1,1015.7,0.8
2021-01-17,-5,73.7,0,4.3,1017.7,4.5
2021-01-18,-6.1,82.4,2.511,6.7,1021,5.3
2021-01-19,-6.5,83.3,2.435,5.3,1024.4,1.7
2021-01-20,-1.3,79.4,2.435,7.3,1021.9,5.6
2021-01-21,2.4,80.8,0,5.4,1022.1,5.1
2021-01-22,3.3,80.5,2.435,4.5,1017.8,2.7
2021-01-23,5.6,81.4,0,3.2,1010.2,2.4
2021-01-24,6.5,85.7,0.391,4.7,1004,6.3
2021-01-25,4.3,86.9,3.753,9.3,1000,2.5
2021-01-26,1.2,90.1,5.96,3.6,1006.9,1
2021-01-27,0.2,95.8,11.99,5.5,1008.1,1
2021-01-28,-0.4,81.3,0,7.5,1009.3,3
2021-01-29,-0.9,87,3.77,6.1,1006,2.4
2021-01-30,3,91.1,2.435,5,999.8,5.6
2021-01-31,2.5,87.8,0,7.8,1004.5,2.2
2021-02-01,1.5,96.2,0.205,7.2,1004.3,0.8
2021-02-02,2.7,95.8,0.098,5.6,1013.5,0.9
2021-02-03,4.1,99,0,8.7,1016.2,4.9
2021-02-04,6.9,86.9,0,11.2,1012.8,7
2021-02-05,6.9,80.3,0,5,1018.5,5
2021-02-06,3.5,98.4,0,4.9,1016.2,1.3
2021-02-07,1.3,98,0,7.6,1015.3,1.1
2021-02-08,4.4,99.4,0.621,5.5,1003.5,1.3
2021-02-09,9.1,80.7,0.1,9.2,1005,5.6
2021-02-10,10.7,77.6,0.107,7.1,1006.4,2.9
2021-02-11,8.8,83.3,0,7.8,1006.2,1.1
2021-02-12,-1.9,81.1,0,11.3,1026.6,6.6
2021-02-13,-4.6,47.6,0,7,1029,6.7
2021-02-14,-1.8,46.8,0.037,4.1,1031,4
2021-02-15,0.1,56.4,0.025,5.4,1030.3,6.1
2021-02-16,-2.6,63.8,0,5.1,1029.8,3.2
2021-02-17,-1.3,63.2,0,6.9,1021.9,4.5
2021-02-18,2.7,78.9,0.394,5.1,1018.8,2.2
2021-02-19,-2.4,61.7,0,7.2,1030.8,0.9
2021-02-20,-0.3,75.4,0.006,4,1030.3,1.3
2021-02-21,3.8,81,0,7.6,1032.2,4.2
2021-02-22,2.8,89.3,0,8.1,1030.7,6.6
2021-02-23,3.1,86,0,3.6,1031.6,8.5
2021-02-24,3,88.4,0,3.7,1036.2,4.5
2021-02-25,7.7,76.5,0,4,1034.3,7.3
2021-02-26,11.6,68,0,6.7,1026.8,7.2
2021-02-27,9,72.8,0.183,8.2,1021.3,19.4
2021-02-28,7,70.3,7.379,5.1,1028.9,8.3
2021-03-01,4.3,84.6,1.471,4.4,1029.4,2.3
2021-03-02,6.7,71.4,0.92,6.7,1032.5,8.1
2021-03-03,6.8,68.3,0,4.6,1029.9,7.5
2021-03-04,8.3,67.1,0,5.8,1020.4,2.9
2021-03-05,10.5,46.4,0,8.4,1013.2,7.3
2021-03-06,3.6,77.3,0.781,7.2,1024.3,1.6
2021-03-07,3.4,66.4,0,5.5,1027.3,4.6
2021-03-08,4.2,60,0,6.2,1016.2,6.5
2021-03-09,3.8,61.1,0,7.8,1020.4,6
2021-03-10,0.9,95,22.431,9.1,1018.5,0.8
2021-03-11,0,79.8,10.675,7.1,1023.3,1.9
2021-03-12,0.7,76.3,7.305,5.5,1019.6,3.9
2021-03-13,4,88.7,5.581,4.2,1016.1,3.2
2021-03-14,7.7,79.4,0,3.8,1011.4,5.9
2021-03-15,7.5,91.7,3.031,6.5,1000.6,3.3
2021-03-16,5.3,98.1,17.967,4.9,998.2,0.9
2021-03-17,5.1,95.5,17.005,4.3,1001.7,1.3
2021-03-18,4.9,87.2,0.958,5.1,1010.9,1.4
2021-03-19,3.9,82.1,4.718,5.8,1014.6,2.9
2021-03-20,3.9,78,0,4.6,1019.5,5
2021-03-21,4.6,68.1,0,5.7,1017.6,1.9
2021-03-22,2.1,95.3,7.947,5.7,1008.5,1
2021-03-23,3.4,79.8,0.102,5.9,1013.9,4.1
2021-03-24,1.9,73.1,1.449,6.3,1016.3,4.2
2021-03-25,3.5,76.5,0.388,4.7,1020.3,2.5
2021-03-26,7.4,52.2,0,4,1023.2,6.3
2021-03-27,8.9,55.6,0,5.6,1025.6,6.2
2021-03-28,11.2,56.9,0.001,7.5,1026,4.9
