datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,-0.2,96.8,0.003,7.5,1010.9,8.8
2021-01-02,2.2,97.5,0.012,9.9,1014.4,23.8
2021-01-03,3.9,98.7,0.978,8.9,1012.2,10.7
2021-01-04,4,99.8,0.216,4.9,1013.2,4.7
2021-01-05,2.7,98.4,0,8.8,1011,9.5
2021-01-06,1.1,98.9,7.28,6.7,1011,11.4
2021-01-07,0.8,93.4,0.465,9.8,1014.7,33.1
2021-01-08,-0.3,99.4,0.002,5.1,1016.7,22.9
2021-01-09,0.5,88.8,0.001,7.5,1021,30.3
2021-01-10,-1.5,95.6,0.006,4.9,1024.2,20.6
2021-01-11,-2.6,90.3,0,12.3,1022.7,24.9
2021-01-12,-4.2,97.4,1.922,5.4,1015.6,24.7
2021-01-13,1.2,76.2,3.895,17.3,1012.2,20.5
2021-01-14,-0.1,80.2,1.249,13.2,1011.4,24.5
2021-01-15,-1,83.1,0.368,8.9,1019.3,19.5
2021-01-16,-3.3,77.6,0.603,11.2,1022,31.2
2021-01-17,-4.5,75.8,0.551,11.7,1019.4,22
2021-01-18,-4.9,81.7,0.373,5.9,1023.7,24.7
2021-01-19,1.6,78.6,0.034,8.4,1019.3,35.5
2021-01-20,2,94.4,3.081,9.1,1014.5,52
2021-01-21,3.5,90.7,0.004,7.7,1008.7,45.3
2021-01-22,8.3,82.3,0.342,13.8,1001.8,30.7
2021-01-23,5.5,82.9,0.986,10,998.3,10.4
2021-01-24,2.1,79.9,0.865,10.3,999,40.1
2021-01-25,1.6,72.7,0,9.8,1002.7,35.5
2021-01-26,0,83.2,0.314,12.4,1013,25.8
2021-01-27,0.3,80.4,0.668,9.4,1016.2,42.5
2021-01-28,0.4,88.8,0.974,6.4,1009.3,30.9
2021-01-29,2.5,97.5,9.097,9.5,1000.3,8.2
2021-01-30,4.9,77.9,1.247,17,999.4,56.5
2021-01-31,-0.6,76,0,5.5,1005.6,53.9
2021-02-01,-1.6,73.5,0,7.6,1003.2,69.5
2021-02-02,-1,94.9,0.012,6.3,1010.5,31.5
2021-02-03,1.2,99.7,0.22,8.7,1009.3,35.1
2021-02-04,9.3,59.7,0.009,18.1,1012.8,61
2021-02-05,5.7,78.1,0,6.8,1016.4,47.8
2021-02-06,4,98.3,0.114,5.7,1012.8,11.7
2021-02-07,1.7,99.6,4.812,10.3,1002.8,8.5
2021-02-08,0.1,96.7,5.583,10.3,997.1,14.8
2021-02-09,-0.6,97.9,0.991,6.3,1003.3,16.5
2021-02-10,-1.2,94.8,0,9.6,1005.4,20.7
2021-02-11,-5.7,66.4,0.003,30.7,1011,12.4
2021-02-12,-6.7,61.2,,14.7,,113.3
2021-02-13,-5.7,71.1,0.003,11.7,1037.1,102.2
2021-02-14,-4.7,73,0,16.9,1039.5,111.3
2021-02-15,-3.3,63.4,0.003,6.9,1037,111.7
2021-02-16,-3.4,85.5,0.96,6.7,1026.9,11.1
2021-02-17,2.2,85.7,2.65,8.7,1019.5,49.9
2021-02-18,5.9,72,0,7.3,1021.8,89.1
2021-02-19,2.8,89,0,6.7,1022,55.7
2021-02-20,1.3,96.5,0,12.9,1026.6,91.5
2021-02-21,1.8,96.7,0.467,20.7,1026.2,15
2021-02-22,4.8,94.1,0.014,8.5,1027.3,69.8
2021-02-23,7.1,72.1,0.003,8.8,1034.2,69.4
2021-02-24,9.8,63.2,0,6.1,1036.3,109.4
2021-02-25,10.8,66.8,0,8.4,1031.7,111.4
2021-02-26,12,59.8,0,9.1,1027,119.7
2021-02-27,4.8,75.8,0.007,13,1033.4,48.6
2021-02-28,4.8,66.5,0,14.1,1035.5,127
2021-03-01,5.5,69.8,0,8.2,1033.8,132.5
2021-03-02,6.3,71.4,0,6.3,1035.2,143.8
