datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2,93.6,0.486,3,1012.2,28.5
2021-01-02,3.9,93.8,18.578,4.5,1012.2,12.4
2021-01-03,3.3,91.7,29.132,4.3,1011.9,16.7
2021-01-04,3.5,91.7,2.139,6.1,1012.2,16.7
2021-01-05,3.5,89,2.209,3.3,1011.1,28.5
2021-01-06,1,95.2,18.541,1.8,1011.1,9.7
2021-01-07,1,93.5,0.285,3.7,1015.3,21.3
2021-01-08,0.3,92.9,5.613,3.9,1015.3,27.8
2021-01-09,-1.1,86.6,0,4.3,1021.5,37.8
2021-01-10,-0.9,80.7,0.365,7.6,1022.3,16.9
2021-01-11,-0.8,71.3,0.591,6.9,1022,65.6
2021-01-12,-4.3,86,0.733,2.9,1018.1,53.6
2021-01-13,-2.4,81.1,0,2.9,1015.7,67.3
2021-01-14,-0.8,71.8,0.542,4.1,1013.3,64.8
2021-01-15,-2.2,71.4,0.542,3.1,1020.4,64.6
2021-01-16,-4.1,78.3,0.542,2.7,1023.1,64.6
2021-01-17,-4.6,80.5,0.542,2.9,1019.7,37.3
2021-01-18,-1.2,74,0.542,2.9,1024.8,43.8
2021-01-19,-0.7,75.4,0.542,5,1024.6,37.1
2021-01-20,4.3,77,1.217,6.5,1020.1,12.8
2021-01-21,4.5,89,0.238,7.4,1014,17.4
2021-01-22,8.1,89.8,1.59,5.4,1004.8,11.2
2021-01-23,6.8,92.6,30.645,3.6,997.1,20.9
2021-01-24,2.8,93.8,13.612,4.1,998.3,15.8
2021-01-25,0.6,87.4,0.485,3.6,1004,47
2021-01-26,-0.7,89.6,0,3.2,1015.2,80.8
2021-01-27,-1,84.1,0,2.8,1018.1,68.3
2021-01-28,-0.1,83.2,0.001,5.4,1013.4,45.8
2021-01-29,3.3,80.6,0.107,5.9,1005,7
2021-01-30,2.5,92.2,0.014,3,1002.2,53.6
2021-01-31,1.5,90.5,13.804,4.2,1002.6,31
2021-02-01,0.4,84,0.005,3.2,1003.4,69.3
2021-02-02,1.7,88.7,0.108,2.1,1011.8,41
2021-02-03,6.9,82.4,0.118,5.7,1013.3,16.1
2021-02-04,10.5,76.4,0.996,6.4,1015.8,22.9
2021-02-05,10.2,83.1,0.388,6.4,1017,17
