datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2.7,91.7,5.052,4.1,1009.3,4.2
2021-01-02,1.5,95.6,7.114,5.9,1015.9,6.4
2021-01-03,-0.3,87.1,0.023,10.5,1026.8,6.3
2021-01-04,0.3,90.2,0.09,10.5,1029.1,3.9
2021-01-05,-0.4,87.1,0.171,10.8,1029.8,5.6
2021-01-06,-1.6,84.6,0.386,12.1,1023.6,4.2
2021-01-07,0,94.2,2.921,11.2,1014.9,3.1
2021-01-08,0.6,96.5,0.638,8.6,1016,5.6
2021-01-09,-0.5,91.5,0.069,5,1020.5,5.6
2021-01-10,-0.7,90.5,1.713,11.7,1013.1,6.8
2021-01-11,-0.3,93.3,16.026,14.4,1003.6,5.5
2021-01-12,-1,89.4,12.389,11.6,991.9,3.6
2021-01-13,-1,93.4,2.223,10.2,1005.6,4.5
2021-01-14,-3.8,92.8,1.324,14.9,1020.8,7.2
2021-01-15,-8.1,88,0.433,12.7,1023.7,11.9
2021-01-16,-3.1,91.3,0.066,9.3,1019.9,7.4
2021-01-17,-2.1,86,0.06,5.6,1019.4,7.2
2021-01-18,-1.4,82.4,0,8.1,1013.7,5
2021-01-19,0,85.6,0.548,8.1,1007.7,8
2021-01-20,1,95.2,3.775,19.1,1000.1,2.2
2021-01-21,4,92.9,2.24,13.9,989.1,7.5
2021-01-22,4.1,85.5,4.985,20.7,983.6,3.7
2021-01-23,3.9,74.9,0,15.9,990.7,18.3
2021-01-24,0.2,91,0,3.8,996.2,14.6
2021-01-25,-0.6,94.6,4.21,15,995.6,4.5
2021-01-26,-2.6,90.5,0,13.9,1004,5.5
2021-01-27,-4.3,89.8,0.057,11.1,1006.1,6.1
2021-01-28,-4,93.4,6.998,8.2,1002.9,5.9
2021-01-29,-3.9,92.1,0.114,12,1000.6,13.4
2021-01-30,-8.3,86.1,0,11.4,996.9,23.9
2021-01-31,-8.6,86.8,0.16,7.1,996,39.2
2021-02-01,-6.4,85.4,0,3.8,1000.7,32.7
2021-02-02,-2.6,93.9,8.267,9.1,1003.4,4.7
2021-02-03,-6,87.5,0.365,13.9,1008.6,13.8
2021-02-04,-8.4,86.1,0.249,14.1,1017.6,21.7
2021-02-05,-8.2,87.7,0.114,9.3,1024.8,25
2021-02-06,-7.6,82.5,0.194,10.9,1028.2,28.6
2021-02-07,-7.4,88.6,0.188,7.6,1027.1,29.2
2021-02-08,-7.6,85.7,0.114,7.2,1023.3,35.5
2021-02-09,-7.8,78.8,0.136,11,1019.3,32.3
2021-02-10,-8.8,83.5,0.389,7.1,1018.6,30.3
2021-02-11,-10.4,89.3,0.125,8.7,1025.6,31.1
2021-02-12,-7.9,84.8,,8.6,,22.9
2021-02-13,-5,65,0,14.6,1032,51.7
2021-02-14,-2.4,66.9,0,10.7,1032.3,46.9
2021-02-15,-3.8,70.1,0,4.8,1030,53.3
2021-02-16,-3.9,75.6,0,3.6,1020.1,34.3
2021-02-17,-3.5,75.7,0.194,14.4,1021.2,22.7
2021-02-18,-2.9,72.7,0,13.1,1022.2,30
2021-02-19,1,91.1,0.043,14.4,1013.6,20.7
2021-02-20,2.9,93.4,1.646,10.6,1013.8,26.8
2021-02-21,4.5,90.9,0.723,5.9,1014.5,35.8
2021-02-22,3.6,96,0,9.3,1021.3,23.7
2021-02-23,3.3,95,0.682,12.5,1020.9,11.7
2021-02-24,5.9,90,0,12.8,1018.5,22.2
2021-02-25,9.3,81.3,0,19.3,1011.7,32.4
2021-02-26,6.4,67.9,0,19.9,1011.9,74
2021-02-27,4.2,65.7,0,12.8,1026.7,69.5
2021-02-28,6,66.5,0,11.3,1026.6,72.4
2021-03-01,4.8,67.9,0,10.8,1024.5,71.8
2021-03-02,5.7,56.6,0,12.1,1027.1,78.2
2021-03-03,3,78.1,0.057,10.6,1019.6,86.5
2021-03-04,0.2,64.2,0.045,11.5,1015.1,66
2021-03-05,-1.3,58.5,0,11.2,1019.7,65.2
2021-03-06,2.4,58.5,0.182,20.7,1010.8,69.9
2021-03-07,-0.1,44.6,0,25.1,1007.5,78.3
2021-03-08,-0.4,51.9,0.103,12.8,1018.9,93.7
2021-03-09,-1.2,72.6,0.632,14.6,1016.1,42.4
2021-03-10,-4.2,80.4,0.274,11.5,1021.9,42.3
2021-03-11,-0.5,84.2,1.363,27.4,999.8,47.6
2021-03-12,3,89.6,0.974,14.5,983.3,41.3
2021-03-13,3.3,78.4,0,8.1,990.1,58
2021-03-14,2.5,75.2,0,6.8,992.6,55.1
2021-03-15,3.4,67.4,0,4.2,1002.4,57.5
2021-03-16,2.4,74.3,0,5.4,1015.1,89.6
2021-03-17,1.1,68.1,0.029,8.7,1021.8,62.8
2021-03-18,-0.2,69.4,0.068,11.4,1020.6,78.1
2021-03-19,-1.7,55,0,12.8,1026.2,102
2021-03-20,2.9,61.1,0,15.3,1010.9,90
2021-03-21,4,46.4,0.068,21.8,1004,112.1
2021-03-22,5.2,52.3,0,14.8,1010.2,90.2
2021-03-23,8.6,51.9,0,9.5,1013.6,144.4
2021-03-24,7.3,71.3,0,18.8,1010.6,52.2
2021-03-25,7.3,66.4,0.422,16.3,1011.3,135.9
2021-03-26,7,73.3,0,11.7,1014.5,113.1
2021-03-27,7.1,74.3,0.023,14.7,1010.7,121
2021-03-28,4.5,85.5,1.589,14.2,1009.1,40.1
2021-03-29,8.5,82.4,0.32,16.2,1011.4,83.7
2021-03-30,11.2,78.1,0,18.6,1014.1,98.1
2021-03-31,6.9,88.6,3.052,10.9,1015.6,34.6
2021-04-01,5.7,59.9,0,11.6,1017.4,168.8
2021-04-02,5.4,55.4,0.203,12.8,1013.4,100.1
2021-04-03,5.1,49.2,0,15.8,1017.6,178.4
2021-04-04,7.7,53.9,0,18.9,1003.2,170.7
2021-04-05,2.7,73.4,1.875,22.3,980.3,86.1
2021-04-06,4.1,46,0,22.6,985,184.9
2021-04-07,3.9,63.4,0.821,11.1,995.4,102.2
2021-04-08,3.9,52.4,0,8,1005.3,180.2
2021-04-09,4.7,73,5.592,21.5,995,84.8
2021-04-10,5.1,57.5,0.108,20.1,1004.8,191.5
2021-04-11,4.6,60,2.531,12.9,1018.2,123.8
2021-04-12,5.3,80.8,0.496,9.8,1012.7,84.8
2021-04-13,4.6,67.9,0.068,10.6,1017.9,138.4
2021-04-14,4,60.7,0,8.1,1025.3,166.1
2021-04-15,4.7,56.5,0,8.2,1032.1,201.4
2021-04-16,6,51.5,0,13.1,1030.7,205.2
2021-04-17,7.6,50.3,0,12.3,1029.9,186.1
2021-04-18,8.2,48.6,0,11.5,1029.6,217.9
2021-04-19,8.5,50.7,0,10,1028,221.2
2021-04-20,9.1,46.6,0,7.5,1019.3,223.3
2021-04-21,8.8,46,0.023,8.8,1003.6,189.5
2021-04-22,2.7,87.7,6.102,16,1003.4,50
2021-04-23,4.4,51.9,0.246,18.1,1012.6,156.4
2021-04-24,3,56.3,0.045,17.2,1017,116.9
2021-04-25,2,64.8,0.046,17.5,1019.3,114.2
2021-04-26,2.7,63.2,0.113,16.1,1017.7,77.4
