datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,0.4,92.9,11.617,5.8,1008.7,16.8
2021-01-02,0.4,88.5,0,11.8,1010.3,36.6
2021-01-03,-0.7,88.1,0.415,6.1,1011.6,24.3
2021-01-04,-1.5,84.8,3.033,5.5,1012.2,14.2
2021-01-05,-1.3,85.5,3.033,6.8,1012.5,13.6
2021-01-06,-1.1,80.1,3.058,4.5,1015,20.1
2021-01-07,-0.9,77.3,2.841,4.2,1016.9,48
2021-01-08,-1.5,74,0,5.7,1015.9,71.7
2021-01-09,-3.5,81.1,1.03,8.7,1020.5,56.9
2021-01-10,-2.2,68.8,0,12.5,1021.4,68
2021-01-11,-4.1,72.5,2.153,4.7,1024.8,52.8
2021-01-12,-2.4,86.3,8.765,7.1,1022.6,16.5
2021-01-13,2.4,90,4.275,6.1,1022,25.9
2021-01-14,4.1,89.8,13.556,12.5,1018.6,16.2
2021-01-15,0.2,89.6,3.757,9.4,1021.2,4.4
2021-01-16,-4.3,85.4,0.04,6,1028.9,5.7
2021-01-17,0.5,90.4,2.74,5.7,1023,20.5
2021-01-18,0.5,84.9,0.002,3.7,1029.3,62.7
2021-01-19,-0.7,79.3,2.322,6.7,1024.2,69.6
2021-01-20,0.1,85.5,1.236,4.8,1012.8,51.3
2021-01-21,2.4,89.9,0,4.4,1003.6,32.3
2021-01-22,5.2,89.2,11.242,7,997.5,51.8
2021-01-23,1.6,86.7,6.054,7.1,1000.9,52.5
2021-01-24,1.4,73.3,0.481,7.9,1003,94.8
2021-01-25,-0.2,88.1,4.455,6.7,1008,37.8
2021-01-26,-2,76.4,0.015,4.5,1024.3,77.8
2021-01-27,-1.9,88.5,10.594,4.5,1021.3,21.5
2021-01-28,5.6,90.7,15.662,9.4,1013.8,25.5
2021-01-29,7.7,81.1,19.533,17.2,1008.2,36.5
2021-01-30,5.3,89.6,8.828,7.8,1003.9,18.3
2021-01-31,5.6,88.3,0.324,4.5,1000,35.5
2021-02-01,5.8,90.8,12.107,7.2,998.3,30.8
2021-02-02,7.7,89.9,2.89,7.8,1009.2,36
2021-02-03,8.5,85.2,10.214,10.9,1008.6,13.3
2021-02-04,6.1,81.8,0,5.7,1015.8,43
2021-02-05,6,85.5,0,4.5,1014,63.8
2021-02-06,4.5,93.1,0,4.4,1006.5,28.9
2021-02-07,4.4,85.6,0.785,5.7,999.4,26.5
2021-02-08,3.5,70.4,0.083,9.7,997.1,54.6
2021-02-09,0.6,90.5,3.129,8.5,1001.7,47.8
2021-02-10,1.8,90.1,3.656,8.9,1001.3,46.9
2021-02-11,-3.6,82.4,0.542,11.1,1016.8,41.5
2021-02-12,-5.3,79,,9.6,,31.8
2021-02-13,-6.8,70.5,0,11.6,1034.8,40.3
2021-02-14,-5.6,71.2,0.206,7.3,1038.7,84.1
2021-02-15,-0.3,73.5,0.033,4.9,1035.5,84.4
2021-02-16,4,74.4,0.335,4.4,1025.6,104.6
2021-02-17,5.5,79.9,2.056,3.6,1023.6,113
2021-02-18,2.6,83,0,3.1,1020.3,75.5
2021-02-19,6.9,75.2,0.004,4.4,1020.9,114.6
