datetime,temp,humidity,precip,windspeed,sealevelpressure,solarradiation
2021-01-01,2,91,0.002,7.3,1011.4,9.8
2021-01-02,3.7,82.5,0.603,8.7,1015.8,14.6
2021-01-03,3.8,86,1.985,12.1,1017.4,14.7
2021-01-04,4.2,81.4,0.21,19.8,1019.2,7.3
2021-01-05,3.7,82.4,0.994,18.3,1019.9,9.5
2021-01-06,4,83,0.435,12.1,1019.4,18.7
2021-01-07,1,87.5,0,9.1,1018.4,17.4
2021-01-08,0.6,90.4,0,6.4,1018.5,10.6
2021-01-09,1.1,89.3,0,5.3,1026.2,17.7
2021-01-10,1,92.8,0,9.2,1025.9,15.9
2021-01-11,6.7,83.9,0,20.7,1017.8,21.2
2021-01-12,6.8,85.9,7.99,14.4,1014,12.9
2021-01-13,6.1,95.2,1.995,10.7,1018.3,9.8
2021-01-14,5,94.3,27.515,12,1016.5,7
2021-01-15,2.4,86.3,0.398,6.3,1029.6,18.5
2021-01-16,4.9,87.8,5.017,14.7,1020,9.5
2021-01-17,5.7,78.3,0,13.6,1023.4,34
2021-01-18,5.3,88.3,0.001,13.9,1021.2,25
2021-01-19,10.6,85.6,0.009,27.9,1004.1,15.8
2021-01-20,10.2,86.8,0.434,31.1,987.5,6.1
2021-01-21,6.6,74.7,3.018,22.3,984.6,32.4
2021-01-22,4,82.9,0.001,11.6,992.1,31.9
2021-01-23,2.1,86.5,0.599,8.3,995.5,24.6
2021-01-24,0.6,91,2.993,8.9,996.9,10.6
2021-01-25,1.7,78.2,0.201,12.4,1009.5,35.3
2021-01-26,3,89.5,0.602,11.4,1015.8,19.9
2021-01-27,8.3,95.3,1.201,9.1,1011,17.9
2021-01-28,10.9,89.7,18.561,17.6,1001.5,24
2021-01-29,9.5,84.9,11.984,18.3,998.3,22
2021-01-30,5.4,88.9,12.601,18.8,997.7,10
2021-01-31,3.1,80.5,1.001,12.9,997.8,22.8
2021-02-01,4.1,88.3,0.4,8.8,996.8,11.3
2021-02-02,9.2,87.4,5.589,17.4,994.6,35.1
2021-02-03,8.6,81.9,1.008,13,996.5,18.2
2021-02-04,7,92.7,3.994,9.1,1008.2,23.9
2021-02-05,8.3,85.4,7.984,9.8,1008.1,52.7
2021-02-06,6.8,88.7,2.192,8.7,1006.6,30.2
2021-02-07,1.8,82.8,7.783,24.2,1004.1,18.8
2021-02-08,-0.8,79.4,0,20.5,1003.5,10.8
2021-02-09,-0.1,78.6,0,16.9,1006.8,18.8
2021-02-10,0.3,69,0,13.6,1012.1,50
2021-02-11,-0.9,74.9,0,16.6,1024.6,43.5
2021-02-12,-0.5,62.9,,29.2,,48.5
2021-02-13,-0.9,56.4,0,20.9,1031.9,55.3
2021-02-14,2.9,59.9,0.598,20.5,1025.6,30.9
2021-02-15,8.7,87.5,3.003,14.9,1018.1,27.5
2021-02-16,9.5,85.4,1.207,19.1,1009.9,20.4
2021-02-17,9.9,85.2,0.407,22.1,1009.8,27.4
2021-02-18,8.9,73,1.011,20.6,1003.7,35
2021-02-19,8.8,79.7,0,19.3,1009,31.9
2021-02-20,13.4,63.3,0,20.2,1002.1,57.3
2021-02-21,12,74.8,0.001,10.7,1008.4,40.7
2021-02-22,9.9,86.3,0.799,6.6,1014.7,19.8
2021-02-23,10.7,74.2,0,21.2,1022.9,74.1
2021-02-24,13.3,67.4,0,21.1,1022.3,61
2021-02-25,10.7,71.2,0.198,12.2,1026.6,31.3
2021-02-26,7.2,68.3,0,5.2,1037.1,75.1
2021-02-27,7,76,0.001,5.6,1040.8,75.3
2021-02-28,6.3,82.4,0,10.3,1037,39.8
2021-03-01,6.4,82.5,0,13.8,1031.8,52.1
2021-03-02,5.8,84.6,0,9.2,1029.8,35.5
2021-03-03,5.9,93.1,8.961,6.4,1027.5,20.5
2021-03-04,5.4,84.2,2,11.5,1024.9,24.6
2021-03-05,4.8,63.4,0.001,13.9,1031.6,54.2
2021-03-06,4.5,68.5,0,8.3,1033.6,41
2021-03-07,3.9,60.6,0,5.7,1027.5,48.3
2021-03-08,5.2,70.4,0,6.3,1023.7,62.5
2021-03-09,7.8,64.6,0,12.7,1020,92.2
2021-03-10,8.1,84,1.006,26.9,1007.4,21.8
2021-03-11,9.9,66.5,0.632,35.7,996.3,84.1
2021-03-12,7.7,72.7,2.003,25,1002.1,73.6
2021-03-13,7.2,68,4.8,31.4,995.7,76.7
2021-03-14,8,73.3,0.202,22.3,1012.9,65.9
2021-03-15,9.6,71.3,0.8,15.3,1020.3,58.1
